Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.931,1022
Aaron_Sorkin_,134.499,1094
Abdel_Nasser_Assidi_,173.089,1647
Abdoulaye_Wade_,177.814,1660
Abdullah_,101.814,234
Abdullah_Gul_,106.022,317
Abdullah_al-Attiyah_,163.379,1600
Abdullatif_Sener_,124.88,797
Abel_Pacheco_,135.925,1139
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1658
Adam_Sandler_,115.315,524
Adam_Scott_,160.236,1585
Adel_Al-Jubeir_,148.605,1425
Adolfo_Aguilar_Zinser_,135.521,1128
Adolfo_Rodriguez_Saa_,139.615,1232
Adrian_McPherson_,196.332,1680
Adrian_Nastase_,136.947,1167
Adrien_Brody_,124.413,781
Ahmad_Masood_,149.2,1429
Ahmed_Chalabi_,111.094,423
Ahmet_Necdet_Sezer_,129.484,954
Ai_Sugiyama_,135.277,1119
Aicha_El_Ouafi_,151.227,1464
Aitor_Gonzalez_,170.287,1642
Akbar_Hashemi_Rafsanjani_,103.613,264
Akhmed_Zakayev_,128.851,930
Al_Davis_,149.338,1433
Al_Gore_,139.249,1225
Al_Pacino_,136.661,1160
Al_Sharpton_,144.194,1344
Alan_Ball_,123.342,742
Alan_Greenspan_,139.924,1240
Alan_Mulally_,128.875,931
Alastair_Campbell_,103.847,268
Albert_Costa_,168.74,1632
Alberto_Fujimori_,127.429,879
Alberto_Ruiz_Gallardon_,106.302,325
Albrecht_Mentz_,128.809,927
Aldo_Paredes_,148.935,1428
Alec_Baldwin_,136.274,1149
Alejandro_Atchugarry_,120.512,667
Alejandro_Avila_,160.75,1587
Alejandro_Toledo_,130.826,992
Aleksander_Kwasniewski_,138.493,1207
Alex_Barros_,146.775,1389
Alex_Penelas_,106.85,334
Alex_Sink_,118.592,606
Alexander_Downer_,98.3882,177
Alexander_Losyukov_,112.947,467
Alexander_Rumyantsev_,112.069,443
Alexandra_Stevenson_,160.326,1586
Alexandra_Vodjanikova_,154.616,1521
Ali_Abbas_,109.481,391
Ali_Khamenei_,131.931,1021
Ali_Naimi_,112.331,450
Alice_Fisher_,141.143,1277
Alicia_Silverstone_,129.925,967
Alimzhan_Tokhtakhounov_,117.452,583
Alison_Lohman_,114.434,498
Allen_Iverson_,142.215,1305
Allison_Janney_,131.442,1004
Allyson_Felix_,173.749,1649
Alvaro_Noboa_,111.086,422
Alvaro_Silva_Calderon_,126.819,856
Alvaro_Uribe_,115.851,540
Amanda_Beard_,112.8,461
Amanda_Bynes_,87.5133,69
Amanda_Coetzer_,140.54,1255
Amber_Tamblyn_,109.008,382
Amelia_Vega_,104.661,278
Amelie_Mauresmo_,145.09,1357
Amer_al-Saadi_,98.9473,183
Amram_Mitzna_,150.628,1452
Ana_Guevara_,177.764,1659
Ana_Palacio_,101.286,223
Anastasia_Myskina_,156.069,1542
Anders_Ebbeson_,162.858,1597
Anders_Fogh_Rasmussen_,166.942,1623
Andre_Agassi_,150.553,1449
Andrei_Mikhnevich_,132.034,1024
Andrew_Bunner_,121.101,683
Andrew_Cuomo_,98.6051,181
Andrew_Niccol_,100.535,208
Andrew_Weissmann_,160.891,1589
Andy_Hebb_,110.043,402
