Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,132,369
Aaron_Sorkin_,565,1179
Abdel_Nasser_Assidi_,542,1152
Abdoulaye_Wade_,1164,1632
Abdullah_,32,93
Abdullah_Gul_,317,777
Abdullah_al-Attiyah_,1,1
Abdullatif_Sener_,288,728
Abel_Pacheco_,1132,1622
Abid_Hamid_Mahmud_Al-Tikriti_,398,926
Adam_Sandler_,523,1124
Adam_Scott_,1143,1624
Adel_Al-Jubeir_,1107,1610
Adolfo_Aguilar_Zinser_,640,1275
Adolfo_Rodriguez_Saa_,2,4
Adrian_McPherson_,962,1534
Adrian_Nastase_,2,5
Adrien_Brody_,411,952
Ahmad_Masood_,77,221
Ahmed_Chalabi_,69,200
Ahmet_Necdet_Sezer_,629,1261
Ai_Sugiyama_,1116,1616
Aicha_El_Ouafi_,1250,1653
Aitor_Gonzalez_,1053,1579
Akbar_Hashemi_Rafsanjani_,283,717
Akhmed_Zakayev_,707,1339
Al_Davis_,443,1011
Al_Gore_,39,113
Al_Pacino_,703,1336
Al_Sharpton_,218,591
Alan_Ball_,3,7
Alan_Greenspan_,98,278
Alan_Mulally_,400,930
Alastair_Campbell_,404,939
Albert_Costa_,998,1553
Alberto_Fujimori_,4,10
Alberto_Ruiz_Gallardon_,5,13
Albrecht_Mentz_,690,1324
Aldo_Paredes_,482,1068
Alec_Baldwin_,165,459
Alejandro_Atchugarry_,176,489
Alejandro_Avila_,563,1178
Alejandro_Toledo_,652,1287
Aleksander_Kwasniewski_,547,1159
Alex_Barros_,6,16
Alex_Penelas_,122,343
Alex_Sink_,592,1220
Alexander_Downer_,177,491
Alexander_Losyukov_,381,901
Alexander_Rumyantsev_,314,771
Alexandra_Stevenson_,1068,1587
Alexandra_Vodjanikova_,196,539
Ali_Abbas_,388,909
Ali_Khamenei_,1173,1636
Ali_Naimi_,333,810
Alice_Fisher_,456,1029
Alicia_Silverstone_,7,19
Alimzhan_Tokhtakhounov_,829,1453
Alison_Lohman_,502,1095
Allen_Iverson_,1162,1631
Allison_Janney_,999,1555
Allyson_Felix_,263,677
Alvaro_Noboa_,842,1461
Alvaro_Silva_Calderon_,334,812
Alvaro_Uribe_,343,831
Amanda_Beard_,8,22
Amanda_Bynes_,62,181
Amanda_Coetzer_,388,910
Amber_Tamblyn_,376,891
Amelia_Vega_,282,715
Amelie_Mauresmo_,1057,1581
Amer_al-Saadi_,131,367
Amram_Mitzna_,655,1290
Ana_Guevara_,761,1383
Ana_Palacio_,119,334
Anastasia_Myskina_,892,1489
Anders_Ebbeson_,30,87
Anders_Fogh_Rasmussen_,35,101
Andre_Agassi_,683,1318
Andrei_Mikhnevich_,9,25
Andrew_Bunner_,10,28
Andrew_Cuomo_,561,1176
Andrew_Niccol_,11,31
Andrew_Weissmann_,12,34
Andy_Hebb_,13,37
Andy_Roddick_,567,1183
Angela_Bassett_,261,671
Angela_Lansbury_,14,40
Angela_Merkel_,149,415
Angelina_Jolie_,439,1003
Angelo_Reyes_,781,1403
Anibal_Ibarra_,816,1444
Ann_Veneman_,227,607
Anna_Kournikova_,228,609
Anna_Nicole_Smith_,190,525
Anne_Krueger_,25,72
