Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,136.711,1170
Aaron_Sorkin_,117.389,570
Abdel_Nasser_Assidi_,173.091,1655
Abdoulaye_Wade_,196.951,1680
Abdullah_,139.142,1243
Abdullah_Gul_,128.533,917
Abdullah_al-Attiyah_,163.383,1606
Abdullatif_Sener_,124.884,789
Abel_Pacheco_,135.928,1147
Abid_Hamid_Mahmud_Al-Tikriti_,156.626,1550
Adam_Sandler_,115.316,512
Adam_Scott_,145.653,1378
Adel_Al-Jubeir_,148.605,1427
Adolfo_Aguilar_Zinser_,135.527,1137
Adolfo_Rodriguez_Saa_,90.6279,88
Adrian_McPherson_,155.082,1516
Adrian_Nastase_,136.947,1173
Adrien_Brody_,124.417,767
Ahmad_Masood_,149.202,1431
Ahmed_Chalabi_,111.103,417
Ahmet_Necdet_Sezer_,129.488,956
Ai_Sugiyama_,135.279,1129
Aicha_El_Ouafi_,130.815,1006
Aitor_Gonzalez_,170.289,1647
Akbar_Hashemi_Rafsanjani_,103.617,261
Akhmed_Zakayev_,128.857,927
Al_Davis_,140.23,1266
Al_Gore_,121.42,667
Al_Pacino_,122.297,689
Al_Sharpton_,132.554,1049
Alan_Ball_,123.62,741
Alan_Greenspan_,127.096,862
Alan_Mulally_,128.881,928
Alastair_Campbell_,129.317,946
Albert_Costa_,159.91,1584
Alberto_Fujimori_,127.436,876
Alberto_Ruiz_Gallardon_,129.843,971
Albrecht_Mentz_,117.7,580
Aldo_Paredes_,113.556,474
Alec_Baldwin_,103.864,264
Alejandro_Atchugarry_,120.515,646
Alejandro_Avila_,160.752,1589
Alejandro_Toledo_,130.838,1008
Aleksander_Kwasniewski_,138.496,1224
Alex_Barros_,146.778,1398
Alex_Penelas_,93.9177,121
Alex_Sink_,138.296,1217
Alexander_Downer_,98.3908,182
Alexander_Losyukov_,112.953,460
Alexander_Rumyantsev_,105.976,319
Alexandra_Stevenson_,124.36,765
Alexandra_Vodjanikova_,154.619,1511
Ali_Abbas_,91.2008,98
Ali_Khamenei_,122.181,684
Ali_Naimi_,112.338,444
Alice_Fisher_,141.148,1289
Alicia_Silverstone_,159.522,1577
Alimzhan_Tokhtakhounov_,129.629,964
Alison_Lohman_,114.44,485
Allen_Iverson_,151.967,1476
Allison_Janney_,129.517,957
Allyson_Felix_,173.753,1657
Alvaro_Noboa_,111.095,416
Alvaro_Silva_Calderon_,130.84,1009
Alvaro_Uribe_,115.864,527
Amanda_Beard_,116.523,545
Amanda_Bynes_,87.5223,60
Amanda_Coetzer_,140.544,1276
Amber_Tamblyn_,109.011,376
Amelia_Vega_,137.464,1189
Amelie_Mauresmo_,113.484,472
Amer_al-Saadi_,98.9521,189
Amram_Mitzna_,150.631,1456
Ana_Guevara_,177.764,1663
Ana_Palacio_,101.294,226
Anastasia_Myskina_,156.073,1537
Anders_Ebbeson_,118.342,596
Anders_Fogh_Rasmussen_,124.885,790
Andre_Agassi_,124.812,786
Andrei_Mikhnevich_,132.042,1041
Andrew_Bunner_,121.11,659
Andrew_Cuomo_,98.6109,185
Andrew_Niccol_,100.545,212
Andrew_Weissmann_,149.846,1443
Andy_Hebb_,81.6626,40
