Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,3572,1467
Aaron_Sorkin_,1405,172
Abdel_Nasser_Assidi_,3254,1334
Abdoulaye_Wade_,3557,1460
Abdullah_,2908,1104
Abdullah_Gul_,2538,856
Abdullah_al-Attiyah_,4170,1635
Abdullatif_Sener_,3568,1464
Abel_Pacheco_,2900,1098
Abid_Hamid_Mahmud_Al-Tikriti_,3266,1337
Adam_Sandler_,2095,540
Adam_Scott_,4243,1641
Adel_Al-Jubeir_,3614,1484
Adolfo_Aguilar_Zinser_,2479,817
Adolfo_Rodriguez_Saa_,2633,926
Adrian_McPherson_,3936,1578
Adrian_Nastase_,2469,811
Adrien_Brody_,1561,244
Ahmad_Masood_,3383,1402
Ahmed_Chalabi_,2716,981
Ahmet_Necdet_Sezer_,2988,1167
Ai_Sugiyama_,2811,1043
Aicha_El_Ouafi_,1264,125
Aitor_Gonzalez_,3188,1294
Akbar_Hashemi_Rafsanjani_,1135,94
Akhmed_Zakayev_,2991,1170
Al_Davis_,2646,933
Al_Gore_,2642,930
Al_Pacino_,3217,1308
Al_Sharpton_,3724,1526
Alan_Ball_,1889,417
Alan_Greenspan_,3459,1428
Alan_Mulally_,1822,379
Alastair_Campbell_,2454,799
Albert_Costa_,4151,1630
Alberto_Fujimori_,2108,549
Alberto_Ruiz_Gallardon_,1370,157
Albrecht_Mentz_,2237,654
Aldo_Paredes_,2557,869
Alec_Baldwin_,1931,440
Alejandro_Atchugarry_,1265,126
Alejandro_Avila_,4403,1660
Alejandro_Toledo_,1471,199
Aleksander_Kwasniewski_,1196,108
Alex_Barros_,3345,1385
Alex_Penelas_,1603,268
Alex_Sink_,2791,1029
Alexander_Downer_,1252,120
Alexander_Losyukov_,2999,1183
Alexander_Rumyantsev_,632,20
Alexandra_Stevenson_,3703,1519
Alexandra_Vodjanikova_,2098,543
Ali_Abbas_,2865,1074
Ali_Khamenei_,2899,1097
Ali_Naimi_,2577,884
Alice_Fisher_,3064,1210
Alicia_Silverstone_,2495,829
Alimzhan_Tokhtakhounov_,1953,460
Alison_Lohman_,1496,213
Allen_Iverson_,3287,1351
Allison_Janney_,1455,194
Allyson_Felix_,4152,1631
Alvaro_Noboa_,1535,232
Alvaro_Silva_Calderon_,2164,601
Alvaro_Uribe_,1583,255
Amanda_Beard_,3138,1267
Amanda_Bynes_,1562,246
Amanda_Coetzer_,4265,1646
Amber_Tamblyn_,1707,319
Amelia_Vega_,820,34
Amelie_Mauresmo_,1661,298
Amer_al-Saadi_,3153,1277
Amram_Mitzna_,2648,935
Ana_Guevara_,2954,1147
Ana_Palacio_,1533,230
Anastasia_Myskina_,4260,1644
Anders_Ebbeson_,2947,1144
Anders_Fogh_Rasmussen_,2621,915
Andre_Agassi_,2855,1067
Andrei_Mikhnevich_,3333,1375
Andrew_Bunner_,2199,631
Andrew_Cuomo_,2237,655
Andrew_Niccol_,992,59
Andrew_Weissmann_,2896,1094
Andy_Hebb_,472,8
Andy_Roddick_,2716,982
Angela_Bassett_,2936,1133
Angela_Lansbury_,1563,247
Angela_Merkel_,2923,1121
Angelina_Jolie_,1838,387
Angelo_Reyes_,2776,1021
