Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,1821,378
Aaron_Sorkin_,2712,933
Abdel_Nasser_Assidi_,3110,1223
Abdoulaye_Wade_,3909,1584
Abdullah_,4042,1618
Abdullah_Gul_,1918,451
Abdullah_al-Attiyah_,1544,236
Abdullatif_Sener_,2161,611
Abel_Pacheco_,1920,454
Abid_Hamid_Mahmud_Al-Tikriti_,4078,1627
Adam_Sandler_,2237,647
Adam_Scott_,2158,609
Adel_Al-Jubeir_,2806,1002
Adolfo_Aguilar_Zinser_,2709,931
Adolfo_Rodriguez_Saa_,1903,439
Adrian_McPherson_,3127,1235
Adrian_Nastase_,2820,1011
Adrien_Brody_,2243,657
Ahmad_Masood_,4540,1677
Ahmed_Chalabi_,3665,1506
Ahmet_Necdet_Sezer_,1632,287
Ai_Sugiyama_,2085,561
Aicha_El_Ouafi_,1605,272
Aitor_Gonzalez_,3103,1214
Akbar_Hashemi_Rafsanjani_,2255,666
Akhmed_Zakayev_,1836,389
Al_Davis_,3695,1514
Al_Gore_,2444,786
Al_Pacino_,1512,224
Al_Sharpton_,3866,1571
Alan_Ball_,1378,174
Alan_Greenspan_,4145,1636
Alan_Mulally_,2011,506
Alastair_Campbell_,2612,882
Albert_Costa_,2337,722
Alberto_Fujimori_,2337,723
Alberto_Ruiz_Gallardon_,1351,166
Albrecht_Mentz_,2114,580
Aldo_Paredes_,2571,863
Alec_Baldwin_,3388,1390
Alejandro_Atchugarry_,1070,93
Alejandro_Avila_,3040,1175
Alejandro_Toledo_,2922,1075
Aleksander_Kwasniewski_,3398,1398
Alex_Barros_,2076,554
Alex_Penelas_,714,31
Alex_Sink_,3073,1190
Alexander_Downer_,1149,110
Alexander_Losyukov_,1875,421
Alexander_Rumyantsev_,1729,333
Alexandra_Stevenson_,3053,1182
Alexandra_Vodjanikova_,4347,1662
Ali_Abbas_,1758,348
Ali_Khamenei_,2489,812
Ali_Naimi_,984,74
Alice_Fisher_,3777,1540
Alicia_Silverstone_,2090,564
Alimzhan_Tokhtakhounov_,1643,292
Alison_Lohman_,1595,265
Allen_Iverson_,2496,816
Allison_Janney_,1726,330
Allyson_Felix_,4054,1623
Alvaro_Noboa_,2932,1084
Alvaro_Silva_Calderon_,3603,1488
Alvaro_Uribe_,1889,428
Amanda_Beard_,1434,195
Amanda_Bynes_,2510,828
Amanda_Coetzer_,4307,1659
Amber_Tamblyn_,1424,190
Amelia_Vega_,2200,627
Amelie_Mauresmo_,3091,1203
Amer_al-Saadi_,1070,94
Amram_Mitzna_,1961,475
Ana_Guevara_,2277,679
Ana_Palacio_,1288,149
Anastasia_Myskina_,4110,1632
Anders_Ebbeson_,4414,1669
Anders_Fogh_Rasmussen_,3430,1422
Andre_Agassi_,3538,1468
Andrei_Mikhnevich_,2734,953
Andrew_Bunner_,1909,440
Andrew_Cuomo_,380,5
Andrew_Niccol_,1082,98
Andrew_Weissmann_,2595,877
Andy_Hebb_,2070,548
Andy_Roddick_,2512,829
Angela_Bassett_,3182,1264
Angela_Lansbury_,2788,988
Angela_Merkel_,2325,716
Angelina_Jolie_,2454,791
Angelo_Reyes_,2333,720
Anibal_Ibarra_,2088,562
