Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,131.951,1016
Aaron_Sorkin_,134.511,1091
Abdel_Nasser_Assidi_,158.811,1574
Abdoulaye_Wade_,177.826,1665
Abdullah_,139.148,1234
Abdullah_Gul_,106.047,304
Abdullah_al-Attiyah_,145.233,1374
Abdullatif_Sener_,124.901,779
Abel_Pacheco_,135.94,1138
Abid_Hamid_Mahmud_Al-Tikriti_,116.793,539
Adam_Sandler_,115.318,507
Adam_Scott_,160.24,1595
Adel_Al-Jubeir_,168.614,1638
Adolfo_Aguilar_Zinser_,135.544,1124
Adolfo_Rodriguez_Saa_,139.645,1243
Adrian_McPherson_,155.094,1537
Adrian_Nastase_,136.95,1160
Adrien_Brody_,110.862,391
Ahmad_Masood_,126.432,833
Ahmed_Chalabi_,111.13,397
Ahmet_Necdet_Sezer_,129.499,949
Ai_Sugiyama_,135.285,1115
Aicha_El_Ouafi_,151.246,1487
Aitor_Gonzalez_,170.297,1642
Akbar_Hashemi_Rafsanjani_,103.647,260
Akhmed_Zakayev_,125.174,788
Al_Davis_,149.353,1448
Al_Gore_,139.255,1235
Al_Pacino_,121.688,688
Al_Sharpton_,164.91,1618
Alan_Ball_,123.382,736
Alan_Greenspan_,147.628,1420
Alan_Mulally_,110.286,382
Alastair_Campbell_,129.343,941
Albert_Costa_,159.914,1589
Alberto_Fujimori_,127.456,871
Alberto_Ruiz_Gallardon_,106.361,311
Albrecht_Mentz_,128.813,920
Aldo_Paredes_,148.947,1442
Alec_Baldwin_,136.327,1146
Alejandro_Atchugarry_,120.524,637
Alejandro_Avila_,144.167,1352
Alejandro_Toledo_,130.872,987
Aleksander_Kwasniewski_,138.505,1212
Alex_Barros_,146.788,1403
Alex_Penelas_,106.87,318
Alex_Sink_,149.218,1444
Alexander_Downer_,98.3993,172
Alexander_Losyukov_,118.372,582
Alexander_Rumyantsev_,112.097,421
Alexandra_Stevenson_,160.341,1596
Alexandra_Vodjanikova_,154.628,1529
Ali_Abbas_,91.2122,97
Ali_Khamenei_,138.283,1206
Ali_Naimi_,112.358,430
Alice_Fisher_,141.161,1284
Alicia_Silverstone_,129.948,962
Alimzhan_Tokhtakhounov_,117.505,557
Alison_Lohman_,114.456,481
Allen_Iverson_,142.222,1305
Allison_Janney_,129.532,950
Allyson_Felix_,155.046,1536
Alvaro_Noboa_,154.829,1533
Alvaro_Silva_Calderon_,106.692,316
Alvaro_Uribe_,99.8019,188
Amanda_Beard_,112.844,441
Amanda_Bynes_,87.5536,69
Amanda_Coetzer_,140.554,1268
Amber_Tamblyn_,109.016,361
Amelia_Vega_,104.674,277
Amelie_Mauresmo_,145.111,1370
Amer_al-Saadi_,98.9652,178
Amram_Mitzna_,126.992,855
Ana_Guevara_,177.767,1664
Ana_Palacio_,101.317,219
Anastasia_Myskina_,121.919,693
Anders_Ebbeson_,162.864,1606
Anders_Fogh_Rasmussen_,166.954,1628
Andre_Agassi_,150.564,1469
Andrei_Mikhnevich_,144.315,1357
Andrew_Bunner_,111.835,412
Andrew_Cuomo_,98.6319,175
Andrew_Niccol_,100.578,205
Andrew_Weissmann_,160.902,1599
Andy_Hebb_,81.6822,42
