Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,3157,1260
Aaron_Sorkin_,3433,1406
Abdel_Nasser_Assidi_,3000,1152
Abdoulaye_Wade_,4441,1661
Abdullah_,3889,1581
Abdullah_Gul_,3009,1161
Abdullah_al-Attiyah_,1574,244
Abdullatif_Sener_,3502,1448
Abel_Pacheco_,2086,550
Abid_Hamid_Mahmud_Al-Tikriti_,3410,1395
Adam_Sandler_,1453,203
Adam_Scott_,2105,570
Adel_Al-Jubeir_,3739,1530
Adolfo_Aguilar_Zinser_,3618,1496
Adolfo_Rodriguez_Saa_,3746,1534
Adrian_McPherson_,3926,1590
Adrian_Nastase_,3623,1499
Adrien_Brody_,1683,303
Ahmad_Masood_,1856,410
Ahmed_Chalabi_,2325,720
Ahmet_Necdet_Sezer_,2104,568
Ai_Sugiyama_,2979,1140
Aicha_El_Ouafi_,2781,1016
Aitor_Gonzalez_,3260,1317
Akbar_Hashemi_Rafsanjani_,1578,248
Akhmed_Zakayev_,2696,949
Al_Davis_,3882,1579
Al_Gore_,3842,1566
Al_Pacino_,1605,258
Al_Sharpton_,3053,1191
Alan_Ball_,3527,1460
Alan_Greenspan_,2916,1099
Alan_Mulally_,1730,325
Alastair_Campbell_,3791,1553
Albert_Costa_,3229,1303
Alberto_Fujimori_,1886,426
Alberto_Ruiz_Gallardon_,2512,825
Albrecht_Mentz_,1118,104
Aldo_Paredes_,3069,1202
Alec_Baldwin_,2989,1144
Alejandro_Atchugarry_,1942,463
Alejandro_Avila_,3670,1517
Alejandro_Toledo_,2380,757
Aleksander_Kwasniewski_,3224,1297
Alex_Barros_,3752,1537
Alex_Penelas_,1465,208
Alex_Sink_,2711,962
Alexander_Downer_,1756,344
Alexander_Losyukov_,2406,771
Alexander_Rumyantsev_,1750,339
Alexandra_Stevenson_,3187,1277
Alexandra_Vodjanikova_,2929,1106
Ali_Abbas_,2580,870
Ali_Khamenei_,4046,1619
Ali_Naimi_,1230,131
Alice_Fisher_,3485,1438
Alicia_Silverstone_,2285,683
Alimzhan_Tokhtakhounov_,911,49
Alison_Lohman_,1050,81
Allen_Iverson_,3179,1271
Allison_Janney_,1229,130
Allyson_Felix_,4860,1678
Alvaro_Noboa_,3035,1177
Alvaro_Silva_Calderon_,1413,184
Alvaro_Uribe_,1752,341
Amanda_Beard_,1521,228
Amanda_Bynes_,1166,116
Amanda_Coetzer_,4364,1654
Amber_Tamblyn_,1058,82
Amelia_Vega_,1071,85
Amelie_Mauresmo_,3334,1352
Amer_al-Saadi_,1825,388
Amram_Mitzna_,1888,427
Ana_Guevara_,2783,1020
Ana_Palacio_,2811,1032
Anastasia_Myskina_,2764,1006
Anders_Ebbeson_,3403,1392
Anders_Fogh_Rasmussen_,3853,1573
Andre_Agassi_,3395,1390
Andrei_Mikhnevich_,2889,1088
Andrew_Bunner_,2971,1136
Andrew_Cuomo_,2050,529
Andrew_Niccol_,363,2
Andrew_Weissmann_,3013,1165
Andy_Hebb_,2416,782
Andy_Roddick_,2182,618
Angela_Bassett_,3155,1259
Angela_Lansbury_,1341,165
Angela_Merkel_,651,18
Angelina_Jolie_,2067,540
Angelo_Reyes_,1306,149
