Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.777626,603
Aaron_Sorkin_,0.959467,1027
Abdel_Nasser_Assidi_,0.925412,949
Abdoulaye_Wade_,0.954173,1015
Abdullah_,0.963889,1036
Abdullah_Gul_,1.19683,1484
Abdullah_al-Attiyah_,1.10686,1349
Abdullatif_Sener_,0.951171,1006
Abel_Pacheco_,0.553047,140
Abid_Hamid_Mahmud_Al-Tikriti_,0.686502,391
Adam_Sandler_,0.686275,389
Adam_Scott_,0.566034,158
Adel_Al-Jubeir_,1.22502,1515
Adolfo_Aguilar_Zinser_,0.660208,330
Adolfo_Rodriguez_Saa_,0.997901,1117
Adrian_McPherson_,0.574674,175
Adrian_Nastase_,1.43473,1654
Adrien_Brody_,0.856279,790
Ahmad_Masood_,1.4582,1663
Ahmed_Chalabi_,1.32102,1592
Ahmet_Necdet_Sezer_,0.805596,671
Ai_Sugiyama_,0.800252,653
Aicha_El_Ouafi_,0.968471,1048
Aitor_Gonzalez_,1.00873,1138
Akbar_Hashemi_Rafsanjani_,0.627562,270
Akhmed_Zakayev_,0.822667,712
Al_Davis_,1.09855,1335
Al_Gore_,0.917014,926
Al_Pacino_,0.528692,108
Al_Sharpton_,1.29087,1578
Alan_Ball_,0.765392,563
Alan_Greenspan_,1.26726,1563
Alan_Mulally_,0.935271,969
Alastair_Campbell_,0.863865,808
Albert_Costa_,0.546422,127
Alberto_Fujimori_,0.91539,919
Alberto_Ruiz_Gallardon_,0.668735,349
Albrecht_Mentz_,0.983657,1088
Aldo_Paredes_,1.35566,1614
Alec_Baldwin_,1.03092,1181
Alejandro_Atchugarry_,1.17197,1444
Alejandro_Avila_,0.61453,239
Alejandro_Toledo_,0.889292,858
Aleksander_Kwasniewski_,0.557209,147
Alex_Barros_,0.984623,1090
Alex_Penelas_,0.607557,228
Alex_Sink_,0.814227,696
Alexander_Downer_,0.996474,1114
Alexander_Losyukov_,0.599328,209
Alexander_Rumyantsev_,0.674351,354
Alexandra_Stevenson_,0.770504,582
Alexandra_Vodjanikova_,1.03587,1189
Ali_Abbas_,0.705047,437
Ali_Khamenei_,1.07993,1290
Ali_Naimi_,0.618354,248
Alice_Fisher_,1.23779,1532
Alicia_Silverstone_,0.678007,365
Alimzhan_Tokhtakhounov_,0.691966,413
Alison_Lohman_,0.590714,198
Allen_Iverson_,0.74058,503
Allison_Janney_,0.565374,157
Allyson_Felix_,1.17639,1454
Alvaro_Noboa_,0.928892,958
Alvaro_Silva_Calderon_,1.08135,1293
Alvaro_Uribe_,1.06962,1269
Amanda_Beard_,0.835712,737
Amanda_Bynes_,0.687544,395
Amanda_Coetzer_,1.39169,1634
Amber_Tamblyn_,0.660563,331
Amelia_Vega_,0.766686,567
Amelie_Mauresmo_,0.70953,442
Amer_al-Saadi_,0.70275,434
Amram_Mitzna_,0.632506,281
Ana_Guevara_,0.641972,296
Ana_Palacio_,0.846198,762
Anastasia_Myskina_,0.860564,799
Anders_Ebbeson_,1.29567,1582
Anders_Fogh_Rasmussen_,1.48668,1670
Andre_Agassi_,0.785485,619
Andrei_Mikhnevich_,1.15357,1411
Andrew_Bunner_,0.990827,1101
