Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.879974,1192
Aaron_Sorkin_,0.92676,1313
Abdel_Nasser_Assidi_,0.923773,1306
Abdoulaye_Wade_,0.56579,296
Abdullah_,0.570103,307
Abdullah_Gul_,0.756947,838
Abdullah_al-Attiyah_,1.04027,1516
Abdullatif_Sener_,0.967966,1387
Abel_Pacheco_,0.876803,1183
Abid_Hamid_Mahmud_Al-Tikriti_,0.681298,578
Adam_Sandler_,0.96912,1388
Adam_Scott_,0.957734,1376
Adel_Al-Jubeir_,0.717524,699
Adolfo_Aguilar_Zinser_,0.812897,1009
Adolfo_Rodriguez_Saa_,0.663295,536
Adrian_McPherson_,1.04253,1519
Adrian_Nastase_,0.43039,79
Adrien_Brody_,0.55304,266
Ahmad_Masood_,0.592582,360
Ahmed_Chalabi_,0.800139,972
Ahmet_Necdet_Sezer_,0.874838,1178
Ai_Sugiyama_,0.745059,782
Aicha_El_Ouafi_,1.01096,1466
Aitor_Gonzalez_,1.02712,1494
Akbar_Hashemi_Rafsanjani_,0.675945,565
Akhmed_Zakayev_,0.553074,267
Al_Davis_,1.13049,1612
Al_Gore_,0.900998,1241
Al_Pacino_,0.630585,453
Al_Sharpton_,0.666759,544
Alan_Ball_,0.943215,1348
Alan_Greenspan_,0.572233,313
Alan_Mulally_,0.797367,961
Alastair_Campbell_,1.34685,1675
Albert_Costa_,0.949624,1363
Alberto_Fujimori_,0.908046,1266
Alberto_Ruiz_Gallardon_,0.5944,364
Albrecht_Mentz_,1.08578,1567
Aldo_Paredes_,0.975525,1404
Alec_Baldwin_,0.619182,431
Alejandro_Atchugarry_,0.377585,23
Alejandro_Avila_,1.08451,1564
Alejandro_Toledo_,0.608467,407
Aleksander_Kwasniewski_,1.0194,1484
Alex_Barros_,0.606619,399
Alex_Penelas_,0.704728,651
Alex_Sink_,0.909223,1269
Alexander_Downer_,0.418384,65
Alexander_Losyukov_,0.908604,1267
Alexander_Rumyantsev_,0.52437,205
Alexandra_Stevenson_,0.976966,1406
Alexandra_Vodjanikova_,0.335641,12
Ali_Abbas_,0.934796,1327
Ali_Khamenei_,1.36903,1676
Ali_Naimi_,0.988455,1432
Alice_Fisher_,0.643379,485
Alicia_Silverstone_,0.975303,1403
Alimzhan_Tokhtakhounov_,0.897899,1238
Alison_Lohman_,0.616487,424
Allen_Iverson_,0.872423,1172
Allison_Janney_,0.713975,683
Allyson_Felix_,0.974161,1402
Alvaro_Noboa_,0.497895,167
Alvaro_Silva_Calderon_,0.606004,396
Alvaro_Uribe_,1.0702,1545
Amanda_Beard_,0.781167,916
Amanda_Bynes_,0.538704,239
Amanda_Coetzer_,0.834136,1081
Amber_Tamblyn_,0.779102,907
Amelia_Vega_,0.334606,10
Amelie_Mauresmo_,1.15457,1627
Amer_al-Saadi_,0.504228,174
Amram_Mitzna_,0.823173,1045
Ana_Guevara_,0.791436,946
Ana_Palacio_,0.614513,421
Anastasia_Myskina_,0.823764,1046
Anders_Ebbeson_,0.526881,214
Anders_Fogh_Rasmussen_,0.697059,629
Andre_Agassi_,1.0875,1572
Andrei_Mikhnevich_,0.921103,1300
Andrew_Bunner_,1.07338,1550
