Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,145802,1513
Aaron_Sorkin_,119247,833
Abdel_Nasser_Assidi_,0,1
Abdoulaye_Wade_,149099,1546
Abdullah_,138784,1398
Abdullah_Gul_,115368,704
Abdullah_al-Attiyah_,113779,657
Abdullatif_Sener_,179456,1674
Abel_Pacheco_,126745,1076
Abid_Hamid_Mahmud_Al-Tikriti_,87729.7,151
Adam_Sandler_,121725,911
Adam_Scott_,119543,848
Adel_Al-Jubeir_,93570.7,214
Adolfo_Aguilar_Zinser_,100185,319
Adolfo_Rodriguez_Saa_,158886,1630
Adrian_McPherson_,132157,1235
Adrian_Nastase_,129350,1142
Adrien_Brody_,91962.5,194
Ahmad_Masood_,132756,1246
Ahmed_Chalabi_,128364,1115
Ahmet_Necdet_Sezer_,59599,53
Ai_Sugiyama_,113080,634
Aicha_El_Ouafi_,132661,1240
Aitor_Gonzalez_,110881,580
Akbar_Hashemi_Rafsanjani_,131143,1200
Akhmed_Zakayev_,90829.8,183
Al_Davis_,137806,1370
Al_Gore_,115974,721
Al_Pacino_,124167,995
Al_Sharpton_,130719,1190
Alan_Ball_,122860,944
Alan_Greenspan_,86343,138
Alan_Mulally_,128391,1117
Alastair_Campbell_,102766,359
Albert_Costa_,124415,1008
Alberto_Fujimori_,141848,1457
Alberto_Ruiz_Gallardon_,137686,1367
Albrecht_Mentz_,134318,1293
Aldo_Paredes_,124841,1026
Alec_Baldwin_,108139,501
Alejandro_Atchugarry_,170550,1660
Alejandro_Avila_,121796,914
Alejandro_Toledo_,113874,660
Aleksander_Kwasniewski_,175654,1670
Alex_Barros_,126890,1081
Alex_Penelas_,125482,1043
Alex_Sink_,119393,842
Alexander_Downer_,127924,1102
Alexander_Losyukov_,96542,258
Alexander_Rumyantsev_,72631.5,66
Alexandra_Stevenson_,93439,211
Alexandra_Vodjanikova_,105090,416
Ali_Abbas_,110518,568
Ali_Khamenei_,133114,1256
Ali_Naimi_,134864,1303
Alice_Fisher_,111774,603
Alicia_Silverstone_,103888,388
Alimzhan_Tokhtakhounov_,132766,1247
Alison_Lohman_,127908,1100
Allen_Iverson_,83912.5,117
Allison_Janney_,142600,1469
Allyson_Felix_,132685,1241
Alvaro_Noboa_,121747,912
Alvaro_Silva_Calderon_,140887,1439
Alvaro_Uribe_,85188,126
Amanda_Beard_,125248,1038
Amanda_Bynes_,149864,1551
Amanda_Coetzer_,110896,582
Amber_Tamblyn_,123809,984
Amelia_Vega_,125515,1044
Amelie_Mauresmo_,113267,644
Amer_al-Saadi_,131921,1228
Amram_Mitzna_,170069,1659
Ana_Guevara_,113922,662
Ana_Palacio_,116131,731
Anastasia_Myskina_,106443,459
Anders_Ebbeson_,110015,550
Anders_Fogh_Rasmussen_,112965,629
Andre_Agassi_,127451,1090
Andrei_Mikhnevich_,77683,80
Andrew_Bunner_,133096,1255
Andrew_Cuomo_,137691,1368
Andrew_Niccol_,81222,104
Andrew_Weissmann_,109607,540
Andy_Hebb_,132927,1252
Andy_Roddick_,111688,599
Angela_Bassett_,111813,607
Angela_Lansbury_,0,2
Angela_Merkel_,151642,1569
Angelina_Jolie_,108864,521
