Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.298,567
Aaron_Sorkin_,134.509,1067
Abdel_Nasser_Assidi_,173.096,1647
Abdoulaye_Wade_,177.826,1663
Abdullah_,139.147,1200
Abdullah_Gul_,128.553,890
Abdullah_al-Attiyah_,139.417,1208
Abdullatif_Sener_,131.052,968
Abel_Pacheco_,135.935,1115
Abid_Hamid_Mahmud_Al-Tikriti_,116.793,551
Adam_Sandler_,115.317,510
Adam_Scott_,160.239,1579
Adel_Al-Jubeir_,148.607,1398
Adolfo_Aguilar_Zinser_,135.542,1101
Adolfo_Rodriguez_Saa_,139.64,1213
Adrian_McPherson_,196.338,1680
Adrian_Nastase_,136.95,1143
Adrien_Brody_,110.857,402
Ahmad_Masood_,149.206,1405
Ahmed_Chalabi_,110.767,399
Ahmet_Necdet_Sezer_,135.118,1086
Ai_Sugiyama_,130.588,952
Aicha_El_Ouafi_,151.243,1444
Aitor_Gonzalez_,170.295,1641
Akbar_Hashemi_Rafsanjani_,103.634,247
Akhmed_Zakayev_,128.87,897
Al_Davis_,149.354,1408
Al_Gore_,139.255,1201
Al_Pacino_,136.664,1136
Al_Sharpton_,144.211,1323
Alan_Ball_,123.373,718
Alan_Greenspan_,139.933,1220
Alan_Mulally_,128.896,899
Alastair_Campbell_,129.339,916
Albert_Costa_,168.754,1630
Alberto_Fujimori_,127.452,852
Alberto_Ruiz_Gallardon_,106.35,308
Albrecht_Mentz_,128.813,895
Aldo_Paredes_,148.946,1403
Alec_Baldwin_,136.312,1126
Alejandro_Atchugarry_,120.365,649
Alejandro_Avila_,160.759,1581
Alejandro_Toledo_,130.864,960
Aleksander_Kwasniewski_,138.503,1180
Alex_Barros_,109.34,372
Alex_Penelas_,93.939,113
Alex_Sink_,118.621,600
Alexander_Downer_,106.019,298
Alexander_Losyukov_,112.967,454
Alexander_Rumyantsev_,105.99,295
Alexandra_Stevenson_,160.341,1580
Alexandra_Vodjanikova_,155.287,1510
Ali_Abbas_,109.498,376
Ali_Khamenei_,131.956,995
Ali_Naimi_,112.356,433
Alice_Fisher_,139.633,1212
Alicia_Silverstone_,129.943,935
Alimzhan_Tokhtakhounov_,117.496,575
Alison_Lohman_,114.454,484
Allen_Iverson_,142.221,1279
Allison_Janney_,129.531,923
Allyson_Felix_,173.763,1650
Alvaro_Noboa_,111.119,408
Alvaro_Silva_Calderon_,131.963,996
Alvaro_Uribe_,137.402,1154
Amanda_Beard_,116.534,547
Amanda_Bynes_,87.5459,57
Amanda_Coetzer_,140.552,1235
Amber_Tamblyn_,109.016,366
Amelia_Vega_,104.672,264
Amelie_Mauresmo_,145.11,1333
Amer_al-Saadi_,119.012,610
Amram_Mitzna_,126.989,832
Ana_Guevara_,177.767,1662
Ana_Palacio_,101.312,208
Anastasia_Myskina_,156.082,1525
Anders_Ebbeson_,162.864,1595
Anders_Fogh_Rasmussen_,124.89,767
Andre_Agassi_,124.824,766
Andrei_Mikhnevich_,132.061,998
Andrew_Bunner_,111.831,422
Andrew_Cuomo_,98.6265,172
Andrew_Niccol_,128.988,903
Andrew_Weissmann_,160.901,1583
Andy_Hebb_,110.065,386
Andy_Roddick_,94.6645,122
