Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,1.08393,1237
Aaron_Sorkin_,0.957039,1011
Abdel_Nasser_Assidi_,0.832837,730
Abdoulaye_Wade_,0.820916,698
Abdullah_,0.407001,31
Abdullah_Gul_,0.643077,314
Abdullah_al-Attiyah_,1.17333,1409
Abdullatif_Sener_,0.69612,404
Abel_Pacheco_,1.30736,1598
Abid_Hamid_Mahmud_Al-Tikriti_,1.00112,1086
Adam_Sandler_,1.1263,1325
Adam_Scott_,1.18265,1426
Adel_Al-Jubeir_,0.899206,881
Adolfo_Aguilar_Zinser_,0.823831,704
Adolfo_Rodriguez_Saa_,0.725481,477
Adrian_McPherson_,1.23931,1504
Adrian_Nastase_,0.421879,38
Adrien_Brody_,0.861839,791
Ahmad_Masood_,0.485308,82
Ahmed_Chalabi_,0.445787,48
Ahmet_Necdet_Sezer_,1.27648,1562
Ai_Sugiyama_,0.548842,163
Aicha_El_Ouafi_,1.2554,1529
Aitor_Gonzalez_,0.904504,893
Akbar_Hashemi_Rafsanjani_,0.764344,558
Akhmed_Zakayev_,0.860428,789
Al_Davis_,0.813858,680
Al_Gore_,1.07523,1216
Al_Pacino_,0.763545,557
Al_Sharpton_,0.554021,172
Alan_Ball_,1.07359,1214
Alan_Greenspan_,0.479662,72
Alan_Mulally_,0.79684,637
Alastair_Campbell_,1.01222,1110
Albert_Costa_,1.09571,1269
Alberto_Fujimori_,0.884873,853
Alberto_Ruiz_Gallardon_,1.22955,1488
Albrecht_Mentz_,0.82806,717
Aldo_Paredes_,0.509195,106
Alec_Baldwin_,1.26881,1551
Alejandro_Atchugarry_,0.575609,211
Alejandro_Avila_,1.096,1271
Alejandro_Toledo_,0.731752,488
Aleksander_Kwasniewski_,1.20469,1457
Alex_Barros_,1.10065,1274
Alex_Penelas_,0.811229,670
Alex_Sink_,0.874654,829
Alexander_Downer_,1.03182,1144
Alexander_Losyukov_,0.591073,243
Alexander_Rumyantsev_,1.18281,1428
Alexandra_Stevenson_,1.06558,1202
Alexandra_Vodjanikova_,0.68221,379
Ali_Abbas_,1.23392,1493
Ali_Khamenei_,1.04678,1174
Ali_Naimi_,1.1136,1307
Alice_Fisher_,0.587382,231
Alicia_Silverstone_,1.18405,1432
Alimzhan_Tokhtakhounov_,1.265,1547
Alison_Lohman_,0.720851,469
Allen_Iverson_,0.966605,1028
Allison_Janney_,1.05912,1192
Allyson_Felix_,0.699724,412
Alvaro_Noboa_,1.15568,1380
Alvaro_Silva_Calderon_,0.704599,429
Alvaro_Uribe_,1.00899,1101
Amanda_Beard_,1.16091,1390
Amanda_Bynes_,1.07748,1220
Amanda_Coetzer_,0.553555,171
Amber_Tamblyn_,1.15184,1374
Amelia_Vega_,0.728604,481
Amelie_Mauresmo_,1.43926,1673
Amer_al-Saadi_,1.00511,1097
Amram_Mitzna_,1.12721,1326
Ana_Guevara_,0.722135,471
Ana_Palacio_,0.926333,939
Anastasia_Myskina_,0.856265,774
Anders_Ebbeson_,0.552424,170
Anders_Fogh_Rasmussen_,0.40663,30
Andre_Agassi_,0.972481,1038
Andrei_Mikhnevich_,0.653152,337
Andrew_Bunner_,0.834956,732
