Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,290,728
Aaron_Sorkin_,260,670
Abdel_Nasser_Assidi_,436,1000
Abdoulaye_Wade_,351,844
Abdullah_,325,792
Abdullah_Gul_,140,378
Abdullah_al-Attiyah_,1,1
Abdullatif_Sener_,520,1131
Abel_Pacheco_,1130,1620
Abid_Hamid_Mahmud_Al-Tikriti_,557,1181
Adam_Sandler_,514,1121
Adam_Scott_,928,1534
Adel_Al-Jubeir_,781,1419
Adolfo_Aguilar_Zinser_,322,784
Adolfo_Rodriguez_Saa_,370,878
Adrian_McPherson_,1066,1600
Adrian_Nastase_,6,16
Adrien_Brody_,388,916
Ahmad_Masood_,380,901
Ahmed_Chalabi_,51,148
Ahmet_Necdet_Sezer_,935,1541
Ai_Sugiyama_,1110,1614
Aicha_El_Ouafi_,492,1084
Aitor_Gonzalez_,43,125
Akbar_Hashemi_Rafsanjani_,265,681
Akhmed_Zakayev_,2,4
Al_Davis_,627,1260
Al_Gore_,1132,1621
Al_Pacino_,491,1081
Al_Sharpton_,89,253
Alan_Ball_,744,1389
Alan_Greenspan_,155,419
Alan_Mulally_,388,917
Alastair_Campbell_,441,1011
Albert_Costa_,1052,1593
Alberto_Fujimori_,466,1046
Alberto_Ruiz_Gallardon_,3,7
Albrecht_Mentz_,4,10
Aldo_Paredes_,153,414
Alec_Baldwin_,700,1336
Alejandro_Atchugarry_,438,1005
Alejandro_Avila_,620,1250
Alejandro_Toledo_,116,317
Aleksander_Kwasniewski_,563,1190
Alex_Barros_,181,485
Alex_Penelas_,5,13
Alex_Sink_,1205,1639
Alexander_Downer_,6,17
Alexander_Losyukov_,7,19
Alexander_Rumyantsev_,8,22
Alexandra_Stevenson_,246,634
Alexandra_Vodjanikova_,263,676
Ali_Abbas_,59,170
Ali_Khamenei_,285,717
Ali_Naimi_,422,975
Alice_Fisher_,250,643
Alicia_Silverstone_,499,1098
Alimzhan_Tokhtakhounov_,9,25
Alison_Lohman_,489,1079
Allen_Iverson_,10,28
Allison_Janney_,931,1537
Allyson_Felix_,64,185
Alvaro_Noboa_,565,1191
Alvaro_Silva_Calderon_,434,996
Alvaro_Uribe_,294,737
Amanda_Beard_,431,991
Amanda_Bynes_,230,600
Amanda_Coetzer_,11,31
Amber_Tamblyn_,366,872
Amelia_Vega_,385,909
Amelie_Mauresmo_,930,1536
Amer_al-Saadi_,478,1061
Amram_Mitzna_,848,1479
Ana_Guevara_,333,805
Ana_Palacio_,5,14
Anastasia_Myskina_,793,1430
Anders_Ebbeson_,12,34
Anders_Fogh_Rasmussen_,24,70
Andre_Agassi_,588,1216
Andrei_Mikhnevich_,513,1118
Andrew_Bunner_,410,954
Andrew_Cuomo_,182,488
Andrew_Niccol_,399,936
Andrew_Weissmann_,939,1543
Andy_Hebb_,13,37
Andy_Roddick_,188,504
Angela_Bassett_,531,1150
Angela_Lansbury_,505,1109
Angela_Merkel_,652,1284
Angelina_Jolie_,443,1014
Angelo_Reyes_,528,1144
Anibal_Ibarra_,142,384
Ann_Veneman_,312,763
Anna_Kournikova_,291,729
Anna_Nicole_Smith_,14,40
Anne_Krueger_,249,641
Anne_McLellan_,375,889
