Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,854,51
Aaron_Sorkin_,2996,1167
Abdel_Nasser_Assidi_,4431,1658
Abdoulaye_Wade_,3598,1476
Abdullah_,4195,1631
Abdullah_Gul_,2949,1130
Abdullah_al-Attiyah_,2958,1140
Abdullatif_Sener_,2748,1015
Abel_Pacheco_,2443,797
Abid_Hamid_Mahmud_Al-Tikriti_,3418,1393
Adam_Sandler_,2707,992
Adam_Scott_,3852,1564
Adel_Al-Jubeir_,2691,975
Adolfo_Aguilar_Zinser_,3247,1307
Adolfo_Rodriguez_Saa_,1435,197
Adrian_McPherson_,2174,595
Adrian_Nastase_,2932,1120
Adrien_Brody_,2593,903
Ahmad_Masood_,3059,1201
Ahmed_Chalabi_,2956,1138
Ahmet_Necdet_Sezer_,1691,312
Ai_Sugiyama_,2742,1010
Aicha_El_Ouafi_,1709,323
Aitor_Gonzalez_,3561,1465
Akbar_Hashemi_Rafsanjani_,1556,251
Akhmed_Zakayev_,3475,1420
Al_Davis_,3306,1340
Al_Gore_,1767,357
Al_Pacino_,2883,1090
Al_Sharpton_,3325,1350
Alan_Ball_,1028,80
Alan_Greenspan_,4550,1668
Alan_Mulally_,2225,629
Alastair_Campbell_,1607,271
Albert_Costa_,2080,541
Alberto_Fujimori_,2162,587
Alberto_Ruiz_Gallardon_,3261,1316
Albrecht_Mentz_,2846,1067
Aldo_Paredes_,3257,1313
Alec_Baldwin_,3615,1484
Alejandro_Atchugarry_,3717,1512
Alejandro_Avila_,2126,567
Alejandro_Toledo_,2345,721
Aleksander_Kwasniewski_,1561,255
Alex_Barros_,3313,1343
Alex_Penelas_,1205,119
Alex_Sink_,2775,1032
Alexander_Downer_,1659,298
Alexander_Losyukov_,3033,1190
Alexander_Rumyantsev_,1307,158
Alexandra_Stevenson_,2153,582
Alexandra_Vodjanikova_,4615,1672
Ali_Abbas_,2336,713
Ali_Khamenei_,2345,722
Ali_Naimi_,874,57
Alice_Fisher_,3146,1247
Alicia_Silverstone_,2102,554
Alimzhan_Tokhtakhounov_,1131,101
Alison_Lohman_,1508,235
Allen_Iverson_,3483,1431
Allison_Janney_,2388,753
Allyson_Felix_,4401,1656
Alvaro_Noboa_,2643,942
Alvaro_Silva_Calderon_,3578,1470
Alvaro_Uribe_,990,72
Amanda_Beard_,1538,248
Amanda_Bynes_,2302,683
Amanda_Coetzer_,3111,1228
Amber_Tamblyn_,813,41
Amelia_Vega_,2555,875
Amelie_Mauresmo_,2939,1126
Amer_al-Saadi_,1260,138
Amram_Mitzna_,1281,146
Ana_Guevara_,3659,1494
Ana_Palacio_,930,62
Anastasia_Myskina_,4047,1603
Anders_Ebbeson_,3612,1481
Anders_Fogh_Rasmussen_,4602,1671
Andre_Agassi_,1055,87
Andrei_Mikhnevich_,3068,1206
Andrew_Bunner_,2986,1160
Andrew_Cuomo_,321,3
Andrew_Niccol_,1292,150
Andrew_Weissmann_,4100,1611
Andy_Hebb_,1093,92
Andy_Roddick_,2976,1153
Angela_Bassett_,2832,1061
Angela_Lansbury_,3225,1292
Angela_Merkel_,2190,604
Angelina_Jolie_,1702,317
Angelo_Reyes_,1821,382
