Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,99220,384
Aaron_Sorkin_,144489,1470
Abdel_Nasser_Assidi_,136589,1322
Abdoulaye_Wade_,137141,1339
Abdullah_,162406,1635
Abdullah_Gul_,130428,1168
Abdullah_al-Attiyah_,121701,919
Abdullatif_Sener_,126740,1073
Abel_Pacheco_,121064,891
Abid_Hamid_Mahmud_Al-Tikriti_,102623,449
Adam_Sandler_,137703,1348
Adam_Scott_,133781,1258
Adel_Al-Jubeir_,137938,1353
Adolfo_Aguilar_Zinser_,126142,1060
Adolfo_Rodriguez_Saa_,121343,904
Adrian_McPherson_,113151,667
Adrian_Nastase_,117050,788
Adrien_Brody_,105101,484
Ahmad_Masood_,128618,1128
Ahmed_Chalabi_,102314,444
Ahmet_Necdet_Sezer_,0,1
Ai_Sugiyama_,94616,318
Aicha_El_Ouafi_,110405,590
Aitor_Gonzalez_,0,2
Akbar_Hashemi_Rafsanjani_,137051,1337
Akhmed_Zakayev_,141082,1416
Al_Davis_,0,3
Al_Gore_,122281,932
Al_Pacino_,0,4
Al_Sharpton_,102298,443
Alan_Ball_,0,5
Alan_Greenspan_,108685,552
Alan_Mulally_,0,6
Alastair_Campbell_,108858,556
Albert_Costa_,130095,1158
Alberto_Fujimori_,0,7
Alberto_Ruiz_Gallardon_,122934,950
Albrecht_Mentz_,141128,1417
Aldo_Paredes_,0,8
Alec_Baldwin_,117115,792
Alejandro_Atchugarry_,98141,363
Alejandro_Avila_,84801,223
Alejandro_Toledo_,126593,1069
Aleksander_Kwasniewski_,137062,1338
Alex_Barros_,115791,746
Alex_Penelas_,67763,163
Alex_Sink_,151277,1544
Alexander_Downer_,85979.5,231
Alexander_Losyukov_,69042,165
Alexander_Rumyantsev_,87675,242
Alexandra_Stevenson_,0,9
Alexandra_Vodjanikova_,99721.7,398
Ali_Abbas_,132819,1227
Ali_Khamenei_,138802,1380
Ali_Naimi_,130684,1172
Alice_Fisher_,117101,791
Alicia_Silverstone_,97946,360
Alimzhan_Tokhtakhounov_,0,10
Alison_Lohman_,142231,1431
Allen_Iverson_,0,11
Allison_Janney_,109019,564
Allyson_Felix_,158143,1616
Alvaro_Noboa_,128526,1124
Alvaro_Silva_Calderon_,112949,661
Alvaro_Uribe_,143102,1443
Amanda_Beard_,0,12
Amanda_Bynes_,99655.5,396
Amanda_Coetzer_,87998,246
Amber_Tamblyn_,120029,869
Amelia_Vega_,116758,778
Amelie_Mauresmo_,128487,1123
Amer_al-Saadi_,111679,622
Amram_Mitzna_,161260,1629
Ana_Guevara_,117941,813
Ana_Palacio_,111807,631
Anastasia_Myskina_,104865,479
Anders_Ebbeson_,105993,502
Anders_Fogh_Rasmussen_,116240,758
Andre_Agassi_,133272,1243
Andrei_Mikhnevich_,0,13
Andrew_Bunner_,0,14
Andrew_Cuomo_,155402,1590
Andrew_Niccol_,0,15
Andrew_Weissmann_,143967,1461
Andy_Hebb_,139116,1387
Andy_Roddick_,144690,1473
Angela_Bassett_,120451,879
Angela_Lansbury_,82007.5,214
Angela_Merkel_,138597,1370
Angelina_Jolie_,138180,1363
Angelo_Reyes_,126797,1076
Anibal_Ibarra_,127435,1093
