Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,90,246
Aaron_Sorkin_,892,1463
Abdel_Nasser_Assidi_,1037,1542
Abdoulaye_Wade_,233,570
Abdullah_,1217,1622
Abdullah_Gul_,899,1470
Abdullah_al-Attiyah_,738,1340
Abdullatif_Sener_,772,1370
Abel_Pacheco_,458,984
Abid_Hamid_Mahmud_Al-Tikriti_,1369,1666
Adam_Sandler_,500,1050
Adam_Scott_,839,1429
Adel_Al-Jubeir_,236,577
Adolfo_Aguilar_Zinser_,1112,1572
Adolfo_Rodriguez_Saa_,1227,1625
Adrian_McPherson_,523,1087
Adrian_Nastase_,274,662
Adrien_Brody_,389,870
Ahmad_Masood_,1248,1633
Ahmed_Chalabi_,394,878
Ahmet_Necdet_Sezer_,118,308
Ai_Sugiyama_,683,1280
Aicha_El_Ouafi_,323,761
Aitor_Gonzalez_,845,1435
Akbar_Hashemi_Rafsanjani_,246,600
Akhmed_Zakayev_,168,428
Al_Davis_,392,874
Al_Gore_,314,743
Al_Pacino_,22,63
Al_Sharpton_,393,876
Alan_Ball_,71,200
Alan_Greenspan_,1040,1545
Alan_Mulally_,115,302
Alastair_Campbell_,546,1121
Albert_Costa_,577,1164
Alberto_Fujimori_,302,722
Alberto_Ruiz_Gallardon_,300,718
Albrecht_Mentz_,820,1410
Aldo_Paredes_,453,977
Alec_Baldwin_,1076,1560
Alejandro_Atchugarry_,647,1249
Alejandro_Avila_,245,598
Alejandro_Toledo_,147,379
Aleksander_Kwasniewski_,29,83
Alex_Barros_,361,822
Alex_Penelas_,253,619
Alex_Sink_,592,1186
Alexander_Downer_,294,705
Alexander_Losyukov_,441,957
Alexander_Rumyantsev_,417,916
Alexandra_Stevenson_,289,694
Alexandra_Vodjanikova_,1419,1670
Ali_Abbas_,1,1
Ali_Khamenei_,942,1493
Ali_Naimi_,202,505
Alice_Fisher_,1030,1540
Alicia_Silverstone_,283,683
Alimzhan_Tokhtakhounov_,291,697
Alison_Lohman_,473,1011
Allen_Iverson_,859,1442
Allison_Janney_,734,1336
Allyson_Felix_,680,1276
Alvaro_Noboa_,122,317
Alvaro_Silva_Calderon_,312,739
Alvaro_Uribe_,518,1081
Amanda_Beard_,379,856
Amanda_Bynes_,55,157
Amanda_Coetzer_,1216,1621
Amber_Tamblyn_,263,639
Amelia_Vega_,263,640
Amelie_Mauresmo_,1013,1530
Amer_al-Saadi_,259,632
Amram_Mitzna_,36,103
Ana_Guevara_,114,300
Ana_Palacio_,210,519
Anastasia_Myskina_,368,838
Anders_Ebbeson_,1598,1680
Anders_Fogh_Rasmussen_,1213,1620
Andre_Agassi_,244,595
Andrei_Mikhnevich_,471,1007
Andrew_Bunner_,408,905
Andrew_Cuomo_,92,252
Andrew_Niccol_,69,196
Andrew_Weissmann_,452,974
Andy_Hebb_,376,849
Andy_Roddick_,979,1516
Angela_Bassett_,610,1208
Angela_Lansbury_,420,922
Angela_Merkel_,46,132
Angelina_Jolie_,448,966
Angelo_Reyes_,262,637
Anibal_Ibarra_,586,1177
Ann_Veneman_,214,525
Anna_Kournikova_,279,673
Anna_Nicole_Smith_,475,1014
Anne_Krueger_,589,1182
