Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.74293,665
Aaron_Sorkin_,0.774931,874
Abdel_Nasser_Assidi_,0.752535,733
Abdoulaye_Wade_,0.773775,864
Abdullah_,0.645502,178
Abdullah_Gul_,0.883188,1404
Abdullah_al-Attiyah_,0.777245,889
Abdullatif_Sener_,0.851401,1267
Abel_Pacheco_,0.691906,370
Abid_Hamid_Mahmud_Al-Tikriti_,0.971679,1614
Adam_Sandler_,0.656365,224
Adam_Scott_,0.822367,1126
Adel_Al-Jubeir_,0.856101,1296
Adolfo_Aguilar_Zinser_,0.700815,415
Adolfo_Rodriguez_Saa_,1.02601,1655
Adrian_McPherson_,0.75693,749
Adrian_Nastase_,0.862398,1325
Adrien_Brody_,0.867835,1353
Ahmad_Masood_,0.877329,1386
Ahmed_Chalabi_,0.817688,1099
Ahmet_Necdet_Sezer_,0.793503,979
Ai_Sugiyama_,0.885423,1408
Aicha_El_Ouafi_,0.833683,1175
Aitor_Gonzalez_,1.00206,1639
Akbar_Hashemi_Rafsanjani_,0.720008,526
Akhmed_Zakayev_,0.796173,992
Al_Davis_,0.741279,652
Al_Gore_,1.28851,1679
Al_Pacino_,0.83102,1163
Al_Sharpton_,0.72448,545
Alan_Ball_,0.901844,1454
Alan_Greenspan_,0.784619,927
Alan_Mulally_,0.661373,241
Alastair_Campbell_,0.937706,1546
Albert_Costa_,0.548348,27
Alberto_Fujimori_,0.760879,778
Alberto_Ruiz_Gallardon_,0.864845,1340
Albrecht_Mentz_,0.561788,32
Aldo_Paredes_,0.804647,1036
Alec_Baldwin_,0.868392,1359
Alejandro_Atchugarry_,0.797953,1001
Alejandro_Avila_,0.631036,146
Alejandro_Toledo_,0.732541,600
Aleksander_Kwasniewski_,0.835628,1184
Alex_Barros_,0.88709,1409
Alex_Penelas_,0.620176,110
Alex_Sink_,0.743151,668
Alexander_Downer_,0.890715,1419
Alexander_Losyukov_,0.741765,657
Alexander_Rumyantsev_,0.838784,1204
Alexandra_Stevenson_,0.647147,185
Alexandra_Vodjanikova_,0.73055,590
Ali_Abbas_,0.942808,1561
Ali_Khamenei_,0.920882,1516
Ali_Naimi_,0.662942,247
Alice_Fisher_,0.75749,759
Alicia_Silverstone_,0.8049,1038
Alimzhan_Tokhtakhounov_,0.869826,1363
Alison_Lohman_,1.00609,1642
Allen_Iverson_,0.625818,130
Allison_Janney_,0.867113,1349
Allyson_Felix_,0.749884,717
Alvaro_Noboa_,0.830242,1158
Alvaro_Silva_Calderon_,0.96936,1606
Alvaro_Uribe_,1.04451,1660
Amanda_Beard_,0.70668,450
Amanda_Bynes_,0.733703,610
Amanda_Coetzer_,0.626717,133
Amber_Tamblyn_,0.736539,621
Amelia_Vega_,0.742162,661
Amelie_Mauresmo_,0.783849,923
Amer_al-Saadi_,0.87348,1376
Amram_Mitzna_,0.760137,771
Ana_Guevara_,0.703902,436
Ana_Palacio_,0.936832,1543
Anastasia_Myskina_,0.571402,39
Anders_Ebbeson_,0.788858,955
Anders_Fogh_Rasmussen_,0.764087,802
Andre_Agassi_,0.646313,183
Andrei_Mikhnevich_,0.649528,193
Andrew_Bunner_,0.618009,105
