Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,123,344
Aaron_Sorkin_,217,574
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,864,1492
Abdullah_,178,479
Abdullah_Gul_,832,1466
Abdullah_al-Attiyah_,2,4
Abdullatif_Sener_,769,1411
Abel_Pacheco_,370,883
Abid_Hamid_Mahmud_Al-Tikriti_,1443,1669
Adam_Sandler_,224,588
Adam_Scott_,3,7
Adel_Al-Jubeir_,258,661
Adolfo_Aguilar_Zinser_,41,121
Adolfo_Rodriguez_Saa_,1219,1640
Adrian_McPherson_,749,1393
Adrian_Nastase_,4,10
Adrien_Brody_,385,913
Ahmad_Masood_,821,1457
Ahmed_Chalabi_,391,924
Ahmet_Necdet_Sezer_,378,901
Ai_Sugiyama_,5,13
Aicha_El_Ouafi_,6,16
Aitor_Gonzalez_,1639,1679
Akbar_Hashemi_Rafsanjani_,256,656
Akhmed_Zakayev_,643,1296
Al_Davis_,375,893
Al_Gore_,325,809
Al_Pacino_,675,1328
Al_Sharpton_,545,1166
Alan_Ball_,637,1287
Alan_Greenspan_,231,607
Alan_Mulally_,241,627
Alastair_Campbell_,260,667
Albert_Costa_,27,79
Alberto_Fujimori_,7,19
Alberto_Ruiz_Gallardon_,8,22
Albrecht_Mentz_,32,94
Aldo_Paredes_,9,25
Alec_Baldwin_,974,1559
Alejandro_Atchugarry_,10,28
Alejandro_Avila_,146,400
Alejandro_Toledo_,600,1236
Aleksander_Kwasniewski_,546,1167
Alex_Barros_,366,878
Alex_Penelas_,110,311
Alex_Sink_,668,1321
Alexander_Downer_,171,462
Alexander_Losyukov_,400,940
Alexander_Rumyantsev_,11,31
Alexandra_Stevenson_,185,498
Alexandra_Vodjanikova_,12,34
Ali_Abbas_,13,37
Ali_Khamenei_,913,1521
Ali_Naimi_,247,637
Alice_Fisher_,287,729
Alicia_Silverstone_,1038,1588
Alimzhan_Tokhtakhounov_,14,40
Alison_Lohman_,473,1062
Allen_Iverson_,130,360
Allison_Janney_,533,1154
Allyson_Felix_,717,1366
Alvaro_Noboa_,1158,1629
Alvaro_Silva_Calderon_,835,1468
Alvaro_Uribe_,513,1128
Amanda_Beard_,450,1025
Amanda_Bynes_,56,164
Amanda_Coetzer_,133,368
Amber_Tamblyn_,359,871
Amelia_Vega_,661,1311
Amelie_Mauresmo_,923,1526
Amer_al-Saadi_,176,474
Amram_Mitzna_,771,1413
Ana_Guevara_,436,1003
Ana_Palacio_,580,1204
Anastasia_Myskina_,39,115
Anders_Ebbeson_,581,1206
Anders_Fogh_Rasmussen_,802,1441
Andre_Agassi_,183,492
Andrei_Mikhnevich_,193,518
Andrew_Bunner_,105,298
Andrew_Cuomo_,174,470
Andrew_Niccol_,15,43
Andrew_Weissmann_,403,946
Andy_Hebb_,375,894
Andy_Roddick_,45,133
Angela_Bassett_,941,1534
Angela_Lansbury_,21,61
Angela_Merkel_,45,134
Angelina_Jolie_,440,1008
Angelo_Reyes_,603,1243
Anibal_Ibarra_,603,1244
Ann_Veneman_,219,578
Anna_Kournikova_,213,567
Anna_Nicole_Smith_,476,1068
Anne_Krueger_,205,545
Anne_McLellan_,265,680
