Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,3397,1382
Aaron_Sorkin_,1974,464
Abdel_Nasser_Assidi_,3860,1581
Abdoulaye_Wade_,3485,1432
Abdullah_,1578,241
Abdullah_Gul_,3141,1256
Abdullah_al-Attiyah_,3484,1431
Abdullatif_Sener_,2518,853
Abel_Pacheco_,3536,1459
Abid_Hamid_Mahmud_Al-Tikriti_,2179,583
Adam_Sandler_,2287,670
Adam_Scott_,4149,1643
Adel_Al-Jubeir_,2246,625
Adolfo_Aguilar_Zinser_,3657,1501
Adolfo_Rodriguez_Saa_,1720,313
Adrian_McPherson_,2659,961
Adrian_Nastase_,1606,253
Adrien_Brody_,2858,1096
Ahmad_Masood_,3292,1334
Ahmed_Chalabi_,1120,84
Ahmet_Necdet_Sezer_,3823,1572
Ai_Sugiyama_,3874,1584
Aicha_El_Ouafi_,2451,799
Aitor_Gonzalez_,3153,1264
Akbar_Hashemi_Rafsanjani_,1246,117
Akhmed_Zakayev_,2371,741
Al_Davis_,1879,416
Al_Gore_,4301,1658
Al_Pacino_,2042,502
Al_Sharpton_,3348,1365
Alan_Ball_,2430,786
Alan_Greenspan_,3809,1568
Alan_Mulally_,994,52
Alastair_Campbell_,2986,1181
Albert_Costa_,2733,1015
Alberto_Fujimori_,2626,932
Alberto_Ruiz_Gallardon_,2919,1134
Albrecht_Mentz_,3496,1440
Aldo_Paredes_,2305,682
Alec_Baldwin_,2722,1004
Alejandro_Atchugarry_,2269,650
Alejandro_Avila_,1958,453
Alejandro_Toledo_,1828,384
Aleksander_Kwasniewski_,3085,1230
Alex_Barros_,4160,1645
Alex_Penelas_,2512,848
Alex_Sink_,2635,943
Alexander_Downer_,1667,292
Alexander_Losyukov_,3273,1321
Alexander_Rumyantsev_,3150,1263
Alexandra_Stevenson_,3023,1210
Alexandra_Vodjanikova_,3565,1467
Ali_Abbas_,2354,725
Ali_Khamenei_,2927,1140
Ali_Naimi_,1384,163
Alice_Fisher_,3418,1393
Alicia_Silverstone_,2433,788
Alimzhan_Tokhtakhounov_,4066,1630
Alison_Lohman_,2624,930
Allen_Iverson_,2655,957
Allison_Janney_,2385,754
Allyson_Felix_,3502,1446
Alvaro_Noboa_,2754,1029
Alvaro_Silva_Calderon_,2873,1105
Alvaro_Uribe_,1836,389
Amanda_Beard_,1789,363
Amanda_Bynes_,1408,170
Amanda_Coetzer_,3347,1364
Amber_Tamblyn_,3784,1555
Amelia_Vega_,1674,296
Amelie_Mauresmo_,4243,1652
Amer_al-Saadi_,1812,376
Amram_Mitzna_,1249,119
Ana_Guevara_,3739,1536
Ana_Palacio_,1335,145
Anastasia_Myskina_,3490,1436
Anders_Ebbeson_,3996,1614
Anders_Fogh_Rasmussen_,4273,1656
Andre_Agassi_,2247,626
Andrei_Mikhnevich_,1263,125
Andrew_Bunner_,600,9
Andrew_Cuomo_,2181,584
Andrew_Niccol_,1645,277
Andrew_Weissmann_,3879,1587
Andy_Hebb_,1519,214
Andy_Roddick_,2348,720
Angela_Bassett_,3919,1602
Angela_Lansbury_,2121,547
Angela_Merkel_,2787,1050
Angelina_Jolie_,736,19
Angelo_Reyes_,3281,1328
