Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2858,1100
Aaron_Sorkin_,2400,739
Abdel_Nasser_Assidi_,3434,1427
Abdoulaye_Wade_,2341,695
Abdullah_,3546,1483
Abdullah_Gul_,3131,1268
Abdullah_al-Attiyah_,1603,255
Abdullatif_Sener_,3387,1402
Abel_Pacheco_,1591,249
Abid_Hamid_Mahmud_Al-Tikriti_,3114,1257
Adam_Sandler_,1162,104
Adam_Scott_,2635,923
Adel_Al-Jubeir_,2115,541
Adolfo_Aguilar_Zinser_,3265,1335
Adolfo_Rodriguez_Saa_,1292,142
Adrian_McPherson_,2334,689
Adrian_Nastase_,2927,1142
Adrien_Brody_,2888,1121
Ahmad_Masood_,4271,1649
Ahmed_Chalabi_,3583,1496
Ahmet_Necdet_Sezer_,1194,115
Ai_Sugiyama_,1539,226
Aicha_El_Ouafi_,2755,1020
Aitor_Gonzalez_,3172,1291
Akbar_Hashemi_Rafsanjani_,1960,445
Akhmed_Zakayev_,2759,1024
Al_Davis_,3165,1282
Al_Gore_,3009,1202
Al_Pacino_,3169,1289
Al_Sharpton_,3502,1462
Alan_Ball_,2263,641
Alan_Greenspan_,2766,1032
Alan_Mulally_,2411,752
Alastair_Campbell_,2195,593
Albert_Costa_,3395,1406
Alberto_Fujimori_,3590,1499
Alberto_Ruiz_Gallardon_,2413,756
Albrecht_Mentz_,2258,639
Aldo_Paredes_,3833,1566
Alec_Baldwin_,3911,1585
Alejandro_Atchugarry_,3633,1514
Alejandro_Avila_,2594,890
Alejandro_Toledo_,2998,1187
Aleksander_Kwasniewski_,2330,685
Alex_Barros_,1744,319
Alex_Penelas_,2274,650
Alex_Sink_,2174,578
Alexander_Downer_,951,62
Alexander_Losyukov_,2890,1124
Alexander_Rumyantsev_,2942,1152
Alexandra_Stevenson_,2180,585
Alexandra_Vodjanikova_,4274,1651
Ali_Abbas_,1559,233
Ali_Khamenei_,2770,1035
Ali_Naimi_,2162,570
Alice_Fisher_,3292,1354
Alicia_Silverstone_,2081,520
Alimzhan_Tokhtakhounov_,1257,129
Alison_Lohman_,1054,82
Allen_Iverson_,1900,404
Allison_Janney_,2304,667
Allyson_Felix_,4272,1650
Alvaro_Noboa_,2309,670
Alvaro_Silva_Calderon_,3305,1362
Alvaro_Uribe_,2692,964
Amanda_Beard_,1562,237
Amanda_Bynes_,1234,124
Amanda_Coetzer_,2914,1136
Amber_Tamblyn_,1289,141
Amelia_Vega_,1555,231
Amelie_Mauresmo_,2612,903
Amer_al-Saadi_,1819,358
Amram_Mitzna_,1711,303
Ana_Guevara_,2814,1065
Ana_Palacio_,1913,413
Anastasia_Myskina_,3692,1532
Anders_Ebbeson_,3920,1588
Anders_Fogh_Rasmussen_,4450,1666
Andre_Agassi_,3414,1420
Andrei_Mikhnevich_,2037,495
Andrew_Bunner_,1910,411
Andrew_Cuomo_,1114,91
Andrew_Niccol_,2701,974
Andrew_Weissmann_,3658,1521
Andy_Hebb_,2394,734
Andy_Roddick_,2913,1135
Angela_Bassett_,2872,1113
Angela_Lansbury_,1188,113
Angela_Merkel_,935,58
Angelina_Jolie_,1928,424
Angelo_Reyes_,1336,149
