Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,463,1007
Aaron_Sorkin_,473,1026
Abdel_Nasser_Assidi_,662,1259
Abdoulaye_Wade_,844,1423
Abdullah_,105,294
Abdullah_Gul_,290,711
Abdullah_al-Attiyah_,1217,1620
Abdullatif_Sener_,327,777
Abel_Pacheco_,1124,1595
Abid_Hamid_Mahmud_Al-Tikriti_,782,1372
Adam_Sandler_,981,1522
Adam_Scott_,939,1495
Adel_Al-Jubeir_,921,1481
Adolfo_Aguilar_Zinser_,434,965
Adolfo_Rodriguez_Saa_,78,226
Adrian_McPherson_,1444,1670
Adrian_Nastase_,136,374
Adrien_Brody_,384,876
Ahmad_Masood_,249,640
Ahmed_Chalabi_,99,281
Ahmet_Necdet_Sezer_,356,832
Ai_Sugiyama_,600,1183
Aicha_El_Ouafi_,304,738
Aitor_Gonzalez_,356,833
Akbar_Hashemi_Rafsanjani_,243,625
Akhmed_Zakayev_,202,537
Al_Davis_,785,1374
Al_Gore_,1215,1619
Al_Pacino_,569,1147
Al_Sharpton_,480,1038
Alan_Ball_,580,1163
Alan_Greenspan_,823,1405
Alan_Mulally_,230,601
Alastair_Campbell_,906,1469
Albert_Costa_,1133,1601
Alberto_Fujimori_,392,888
Alberto_Ruiz_Gallardon_,296,720
Albrecht_Mentz_,900,1467
Aldo_Paredes_,1,1
Alec_Baldwin_,267,671
Alejandro_Atchugarry_,628,1216
Alejandro_Avila_,36,105
Alejandro_Toledo_,418,937
Aleksander_Kwasniewski_,1194,1613
Alex_Barros_,120,334
Alex_Penelas_,307,744
Alex_Sink_,577,1160
Alexander_Downer_,161,439
Alexander_Losyukov_,188,508
Alexander_Rumyantsev_,135,371
Alexandra_Stevenson_,574,1156
Alexandra_Vodjanikova_,468,1014
Ali_Abbas_,362,843
Ali_Khamenei_,862,1439
Ali_Naimi_,413,930
Alice_Fisher_,337,797
Alicia_Silverstone_,682,1277
Alimzhan_Tokhtakhounov_,2,4
Alison_Lohman_,301,732
Allen_Iverson_,955,1506
Allison_Janney_,325,773
Allyson_Felix_,826,1409
Alvaro_Noboa_,389,884
Alvaro_Silva_Calderon_,304,739
Alvaro_Uribe_,175,474
Amanda_Beard_,527,1091
Amanda_Bynes_,547,1115
Amanda_Coetzer_,840,1420
Amber_Tamblyn_,3,7
Amelia_Vega_,262,665
Amelie_Mauresmo_,575,1157
Amer_al-Saadi_,460,1004
Amram_Mitzna_,831,1413
Ana_Guevara_,971,1516
Ana_Palacio_,206,547
Anastasia_Myskina_,965,1513
Anders_Ebbeson_,422,943
Anders_Fogh_Rasmussen_,472,1023
Andre_Agassi_,759,1355
Andrei_Mikhnevich_,4,10
Andrew_Bunner_,402,910
Andrew_Cuomo_,464,1008
Andrew_Niccol_,907,1471
Andrew_Weissmann_,477,1033
Andy_Hebb_,370,855
Andy_Roddick_,979,1521
Angela_Bassett_,553,1125
Angela_Lansbury_,487,1047
Angela_Merkel_,43,126
Angelina_Jolie_,368,850
Angelo_Reyes_,1129,1597
Anibal_Ibarra_,308,745
Ann_Veneman_,208,551
Anna_Kournikova_,939,1496
Anna_Nicole_Smith_,468,1015
Anne_Krueger_,313,755
