Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,3006,1164
Aaron_Sorkin_,3010,1166
Abdel_Nasser_Assidi_,2639,912
Abdoulaye_Wade_,4369,1658
Abdullah_,2542,854
Abdullah_Gul_,2733,971
Abdullah_al-Attiyah_,3685,1509
Abdullatif_Sener_,2782,1004
Abel_Pacheco_,2300,669
Abid_Hamid_Mahmud_Al-Tikriti_,2854,1052
Adam_Sandler_,1237,152
Adam_Scott_,3223,1289
Adel_Al-Jubeir_,3920,1586
Adolfo_Aguilar_Zinser_,3519,1437
Adolfo_Rodriguez_Saa_,2705,953
Adrian_McPherson_,4276,1650
Adrian_Nastase_,3908,1578
Adrien_Brody_,650,26
Ahmad_Masood_,4053,1611
Ahmed_Chalabi_,2942,1120
Ahmet_Necdet_Sezer_,1556,266
Ai_Sugiyama_,1764,353
Aicha_El_Ouafi_,2933,1114
Aitor_Gonzalez_,4240,1642
Akbar_Hashemi_Rafsanjani_,1057,103
Akhmed_Zakayev_,2259,646
Al_Davis_,3762,1531
Al_Gore_,3903,1575
Al_Pacino_,2617,907
Al_Sharpton_,3587,1464
Alan_Ball_,1534,258
Alan_Greenspan_,3557,1449
Alan_Mulally_,3093,1220
Alastair_Campbell_,4257,1648
Albert_Costa_,2408,765
Alberto_Fujimori_,1815,384
Alberto_Ruiz_Gallardon_,1958,459
Albrecht_Mentz_,2447,794
Aldo_Paredes_,3552,1445
Alec_Baldwin_,2831,1038
Alejandro_Atchugarry_,2878,1071
Alejandro_Avila_,3455,1401
Alejandro_Toledo_,2337,697
Aleksander_Kwasniewski_,3566,1454
Alex_Barros_,1534,259
Alex_Penelas_,805,46
Alex_Sink_,3155,1259
Alexander_Downer_,679,30
Alexander_Losyukov_,2792,1008
Alexander_Rumyantsev_,1914,437
Alexandra_Stevenson_,3443,1389
Alexandra_Vodjanikova_,2316,680
Ali_Abbas_,2761,989
Ali_Khamenei_,2322,683
Ali_Naimi_,2837,1039
Alice_Fisher_,2491,823
Alicia_Silverstone_,2339,699
Alimzhan_Tokhtakhounov_,998,87
Alison_Lohman_,2882,1074
Allen_Iverson_,3327,1340
Allison_Janney_,2357,716
Allyson_Felix_,4406,1664
Alvaro_Noboa_,1478,226
Alvaro_Silva_Calderon_,1712,328
Alvaro_Uribe_,2338,698
Amanda_Beard_,2698,946
Amanda_Bynes_,231,1
Amanda_Coetzer_,3892,1573
Amber_Tamblyn_,2067,523
Amelia_Vega_,598,20
Amelie_Mauresmo_,2489,821
Amer_al-Saadi_,2861,1055
Amram_Mitzna_,3255,1302
Ana_Guevara_,2089,536
Ana_Palacio_,955,72
Anastasia_Myskina_,3121,1236
Anders_Ebbeson_,2695,944
Anders_Fogh_Rasmussen_,4126,1621
Andre_Agassi_,3799,1547
Andrei_Mikhnevich_,2721,960
Andrew_Bunner_,2805,1014
Andrew_Cuomo_,2416,771
Andrew_Niccol_,1486,232
Andrew_Weissmann_,3332,1344
Andy_Hebb_,3042,1184
Andy_Roddick_,4006,1600
Angela_Bassett_,2613,904
Angela_Lansbury_,1090,110
Angela_Merkel_,1036,98
Angelina_Jolie_,1808,375
Angelo_Reyes_,2098,542
