Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.867822,1480
Aaron_Sorkin_,0.91562,1545
Abdel_Nasser_Assidi_,0.574943,489
Abdoulaye_Wade_,0.926067,1559
Abdullah_,0.562752,433
Abdullah_Gul_,0.893707,1517
Abdullah_al-Attiyah_,1.26384,1677
Abdullatif_Sener_,0.548537,381
Abel_Pacheco_,0.623589,704
Abid_Hamid_Mahmud_Al-Tikriti_,0.944314,1574
Adam_Sandler_,0.465999,146
Adam_Scott_,0.62494,712
Adel_Al-Jubeir_,0.840005,1432
Adolfo_Aguilar_Zinser_,0.655316,851
Adolfo_Rodriguez_Saa_,0.848963,1449
Adrian_McPherson_,0.921718,1553
Adrian_Nastase_,0.44993,108
Adrien_Brody_,0.65805,867
Ahmad_Masood_,0.679827,942
Ahmed_Chalabi_,0.724814,1125
Ahmet_Necdet_Sezer_,0.699506,1033
Ai_Sugiyama_,0.644405,812
Aicha_El_Ouafi_,0.858752,1463
Aitor_Gonzalez_,1.09707,1660
Akbar_Hashemi_Rafsanjani_,0.703747,1048
Akhmed_Zakayev_,0.465286,144
Al_Davis_,0.924444,1557
Al_Gore_,0.694335,1016
Al_Pacino_,0.450137,109
Al_Sharpton_,0.534917,337
Alan_Ball_,0.844424,1439
Alan_Greenspan_,0.613064,656
Alan_Mulally_,0.389829,27
Alastair_Campbell_,0.704387,1052
Albert_Costa_,1.12103,1665
Alberto_Fujimori_,0.620808,690
Alberto_Ruiz_Gallardon_,0.622929,700
Albrecht_Mentz_,0.434721,72
Aldo_Paredes_,0.76428,1253
Alec_Baldwin_,0.662808,879
Alejandro_Atchugarry_,0.62352,703
Alejandro_Avila_,0.841385,1434
Alejandro_Toledo_,0.47772,166
Aleksander_Kwasniewski_,0.687027,983
Alex_Barros_,0.626227,720
Alex_Penelas_,0.581542,516
Alex_Sink_,0.798662,1341
Alexander_Downer_,0.505765,246
Alexander_Losyukov_,0.756956,1229
Alexander_Rumyantsev_,1.01018,1617
Alexandra_Stevenson_,0.616322,674
Alexandra_Vodjanikova_,0.575139,490
Ali_Abbas_,0.718981,1101
Ali_Khamenei_,1.04992,1642
Ali_Naimi_,0.748934,1199
Alice_Fisher_,0.438352,83
Alicia_Silverstone_,0.714472,1088
Alimzhan_Tokhtakhounov_,0.712518,1082
Alison_Lohman_,0.722115,1114
Allen_Iverson_,0.626487,724
Allison_Janney_,0.764816,1255
Allyson_Felix_,0.45844,127
Alvaro_Noboa_,0.389316,26
Alvaro_Silva_Calderon_,0.542361,360
Alvaro_Uribe_,1.08388,1654
Amanda_Beard_,0.908087,1536
Amanda_Bynes_,0.520484,292
Amanda_Coetzer_,0.682907,961
Amber_Tamblyn_,0.600825,589
Amelia_Vega_,0.539219,351
Amelie_Mauresmo_,1.03739,1631
Amer_al-Saadi_,1.00294,1614
Amram_Mitzna_,0.699835,1034
Ana_Guevara_,0.550356,388
Ana_Palacio_,0.850655,1452
Anastasia_Myskina_,0.679845,944
Anders_Ebbeson_,0.680281,949
Anders_Fogh_Rasmussen_,0.611413,646
Andre_Agassi_,0.81414,1374
Andrei_Mikhnevich_,0.646803,822
Andrew_Bunner_,0.668855,906
