Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,131.926,989
Aaron_Sorkin_,134.496,1059
Abdel_Nasser_Assidi_,173.087,1644
Abdoulaye_Wade_,186.109,1674
Abdullah_,139.138,1189
Abdullah_Gul_,128.517,886
Abdullah_al-Attiyah_,139.396,1198
Abdullatif_Sener_,124.876,758
Abel_Pacheco_,137.022,1124
Abid_Hamid_Mahmud_Al-Tikriti_,116.787,521
Adam_Sandler_,133.493,1034
Adam_Scott_,145.648,1347
Adel_Al-Jubeir_,148.604,1400
Adolfo_Aguilar_Zinser_,135.515,1089
Adolfo_Rodriguez_Saa_,139.608,1203
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,136.946,1120
Adrien_Brody_,116.095,500
Ahmad_Masood_,149.199,1411
Ahmed_Chalabi_,110.725,370
Ahmet_Necdet_Sezer_,129.481,920
Ai_Sugiyama_,136.837,1116
Aicha_El_Ouafi_,151.222,1453
Aitor_Gonzalez_,174.413,1647
Akbar_Hashemi_Rafsanjani_,118.588,569
Akhmed_Zakayev_,128.846,898
Al_Davis_,140.217,1225
Al_Gore_,139.248,1192
Al_Pacino_,121.662,662
Al_Sharpton_,168.746,1629
Alan_Ball_,123.608,711
Alan_Greenspan_,144.897,1331
Alan_Mulally_,110.252,361
Alastair_Campbell_,110.589,367
Albert_Costa_,168.736,1628
Alberto_Fujimori_,136.563,1111
Alberto_Ruiz_Gallardon_,129.842,936
Albrecht_Mentz_,117.687,547
Aldo_Paredes_,148.932,1406
Alec_Baldwin_,103.855,232
Alejandro_Atchugarry_,120.51,621
Alejandro_Avila_,144.151,1320
Alejandro_Toledo_,145.854,1357
Aleksander_Kwasniewski_,117.051,528
Alex_Barros_,146.773,1372
Alex_Penelas_,93.9002,107
Alex_Sink_,118.585,568
Alexander_Downer_,98.3861,159
Alexander_Losyukov_,122.952,693
Alexander_Rumyantsev_,105.969,279
Alexandra_Stevenson_,160.323,1580
Alexandra_Vodjanikova_,155.266,1518
Ali_Abbas_,91.1945,83
Ali_Khamenei_,138.249,1162
Ali_Naimi_,112.324,402
Alice_Fisher_,139.591,1202
Alicia_Silverstone_,129.92,938
Alimzhan_Tokhtakhounov_,117.439,539
Alison_Lohman_,106.465,291
Allen_Iverson_,151.965,1464
Allison_Janney_,129.507,921
Allyson_Felix_,139.29,1194
Alvaro_Noboa_,125.617,775
Alvaro_Silva_Calderon_,126.803,823
Alvaro_Uribe_,115.839,496
Amanda_Beard_,116.513,515
Amanda_Bynes_,87.5055,56
Amanda_Coetzer_,140.537,1236
Amber_Tamblyn_,109.006,340
Amelia_Vega_,104.658,248
Amelie_Mauresmo_,145.084,1336
Amer_al-Saadi_,118.982,580
Amram_Mitzna_,150.625,1442
Ana_Guevara_,177.763,1659
Ana_Palacio_,101.279,201
Anastasia_Myskina_,156.065,1529
Anders_Ebbeson_,162.857,1596
Anders_Fogh_Rasmussen_,166.939,1619
Andre_Agassi_,124.802,756
Andrei_Mikhnevich_,144.294,1324
Andrew_Bunner_,121.092,635
Andrew_Cuomo_,98.6003,160
Andrew_Niccol_,128.958,904
Andrew_Weissmann_,160.889,1584
Andy_Hebb_,110.037,357
