Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.62964,754
Aaron_Sorkin_,0.814032,1229
Abdel_Nasser_Assidi_,0.536234,494
Abdoulaye_Wade_,0.669485,868
Abdullah_,0.846014,1307
Abdullah_Gul_,0.918368,1445
Abdullah_al-Attiyah_,0.553847,538
Abdullatif_Sener_,1.0113,1565
Abel_Pacheco_,0.427613,168
Abid_Hamid_Mahmud_Al-Tikriti_,0.714645,985
Adam_Sandler_,0.275801,6
Adam_Scott_,0.513859,426
Adel_Al-Jubeir_,0.666184,853
Adolfo_Aguilar_Zinser_,0.681604,901
Adolfo_Rodriguez_Saa_,0.853868,1328
Adrian_McPherson_,0.974217,1518
Adrian_Nastase_,1.03125,1581
Adrien_Brody_,0.478674,307
Ahmad_Masood_,0.820503,1248
Ahmed_Chalabi_,1.15109,1643
Ahmet_Necdet_Sezer_,0.297005,8
Ai_Sugiyama_,0.569867,595
Aicha_El_Ouafi_,0.568665,587
Aitor_Gonzalez_,0.965783,1504
Akbar_Hashemi_Rafsanjani_,0.645625,800
Akhmed_Zakayev_,0.851187,1317
Al_Davis_,1.03761,1589
Al_Gore_,0.550099,529
Al_Pacino_,0.369163,69
Al_Sharpton_,0.865986,1349
Alan_Ball_,0.721853,1006
Alan_Greenspan_,0.950807,1481
Alan_Mulally_,0.56584,576
Alastair_Campbell_,0.939825,1469
Albert_Costa_,0.371839,74
Alberto_Fujimori_,0.768429,1123
Alberto_Ruiz_Gallardon_,0.475924,297
Albrecht_Mentz_,0.366063,66
Aldo_Paredes_,1.04827,1595
Alec_Baldwin_,0.788216,1170
Alejandro_Atchugarry_,0.813922,1227
Alejandro_Avila_,0.628528,750
Alejandro_Toledo_,0.576066,612
Aleksander_Kwasniewski_,0.38287,87
Alex_Barros_,0.754626,1092
Alex_Penelas_,0.391314,104
Alex_Sink_,0.50808,406
Alexander_Downer_,0.495996,362
Alexander_Losyukov_,0.40454,129
Alexander_Rumyantsev_,0.685277,908
Alexandra_Stevenson_,0.945842,1475
Alexandra_Vodjanikova_,0.705105,957
Ali_Abbas_,0.887431,1387
Ali_Khamenei_,1.09364,1624
Ali_Naimi_,0.573232,605
Alice_Fisher_,0.713695,984
Alicia_Silverstone_,0.563811,570
Alimzhan_Tokhtakhounov_,0.506749,399
Alison_Lohman_,0.820624,1249
Allen_Iverson_,0.541707,511
Allison_Janney_,0.569996,597
Allyson_Felix_,0.81985,1246
Alvaro_Noboa_,0.563976,572
Alvaro_Silva_Calderon_,0.888026,1388
Alvaro_Uribe_,0.542081,512
Amanda_Beard_,0.63995,782
Amanda_Bynes_,0.47623,298
Amanda_Coetzer_,1.13884,1641
Amber_Tamblyn_,0.345757,37
Amelia_Vega_,0.525804,462
Amelie_Mauresmo_,0.519909,444
Amer_al-Saadi_,0.840612,1294
Amram_Mitzna_,0.444311,206
Ana_Guevara_,0.386439,92
Ana_Palacio_,0.851845,1321
Anastasia_Myskina_,0.851909,1322
Anders_Ebbeson_,0.676316,881
Anders_Fogh_Rasmussen_,1.11059,1631
Andre_Agassi_,0.730103,1029
Andrei_Mikhnevich_,0.570645,599
Andrew_Bunner_,0.986094,1536
