Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2793,1038
Aaron_Sorkin_,3980,1575
Abdel_Nasser_Assidi_,2449,804
Abdoulaye_Wade_,2548,869
Abdullah_,2867,1089
Abdullah_Gul_,4318,1646
Abdullah_al-Attiyah_,2420,781
Abdullatif_Sener_,3552,1436
Abel_Pacheco_,2004,524
Abid_Hamid_Mahmud_Al-Tikriti_,3579,1447
Adam_Sandler_,770,33
Adam_Scott_,3640,1472
Adel_Al-Jubeir_,3588,1450
Adolfo_Aguilar_Zinser_,2637,931
Adolfo_Rodriguez_Saa_,3319,1318
Adrian_McPherson_,4251,1637
Adrian_Nastase_,2877,1092
Adrien_Brody_,2336,734
Ahmad_Masood_,3728,1511
Ahmed_Chalabi_,3691,1491
Ahmet_Necdet_Sezer_,1669,314
Ai_Sugiyama_,2007,531
Aicha_El_Ouafi_,2454,808
Aitor_Gonzalez_,4115,1610
Akbar_Hashemi_Rafsanjani_,1624,294
Akhmed_Zakayev_,3118,1205
Al_Davis_,3551,1435
Al_Gore_,1501,232
Al_Pacino_,1748,360
Al_Sharpton_,3273,1296
Alan_Ball_,1980,504
Alan_Greenspan_,2879,1094
Alan_Mulally_,2175,641
Alastair_Campbell_,2481,821
Albert_Costa_,2005,527
Alberto_Fujimori_,2764,1018
Alberto_Ruiz_Gallardon_,1268,148
Albrecht_Mentz_,1330,170
Aldo_Paredes_,3450,1394
Alec_Baldwin_,2692,970
Alejandro_Atchugarry_,3207,1252
Alejandro_Avila_,3227,1267
Alejandro_Toledo_,2691,969
Aleksander_Kwasniewski_,1120,110
Alex_Barros_,1782,381
Alex_Penelas_,776,35
Alex_Sink_,1617,287
Alexander_Downer_,823,47
Alexander_Losyukov_,1188,130
Alexander_Rumyantsev_,2305,716
Alexandra_Stevenson_,2245,682
Alexandra_Vodjanikova_,3028,1159
Ali_Abbas_,2816,1053
Ali_Khamenei_,4124,1613
Ali_Naimi_,2172,637
Alice_Fisher_,3281,1299
Alicia_Silverstone_,2114,602
Alimzhan_Tokhtakhounov_,1488,226
Alison_Lohman_,1573,269
Allen_Iverson_,2006,529
Allison_Janney_,1837,411
Allyson_Felix_,3594,1456
Alvaro_Noboa_,1527,245
Alvaro_Silva_Calderon_,3548,1434
Alvaro_Uribe_,1104,104
Amanda_Beard_,1374,186
Amanda_Bynes_,978,78
Amanda_Coetzer_,4116,1611
Amber_Tamblyn_,1477,221
Amelia_Vega_,1197,132
Amelie_Mauresmo_,1564,265
Amer_al-Saadi_,1987,509
Amram_Mitzna_,1908,459
Ana_Guevara_,1917,464
Ana_Palacio_,2151,630
Anastasia_Myskina_,2543,862
Anders_Ebbeson_,3980,1576
Anders_Fogh_Rasmussen_,4891,1679
Andre_Agassi_,3711,1503
Andrei_Mikhnevich_,1968,498
Andrew_Bunner_,3226,1266
Andrew_Cuomo_,869,56
Andrew_Niccol_,2723,991
Andrew_Weissmann_,2932,1117
Andy_Hebb_,2066,562
Andy_Roddick_,2712,985
Angela_Bassett_,3215,1256
Angela_Lansbury_,736,29
Angela_Merkel_,2085,574
Angelina_Jolie_,2650,941
Angelo_Reyes_,2068,564
Anibal_Ibarra_,1639,303
