Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.49336,39
Aaron_Sorkin_,0.954897,1124
Abdel_Nasser_Assidi_,1.00056,1293
Abdoulaye_Wade_,0.746983,370
Abdullah_,0.954748,1123
Abdullah_Gul_,0.767815,427
Abdullah_al-Attiyah_,0.593896,100
Abdullatif_Sener_,0.65164,173
Abel_Pacheco_,1.0086,1317
Abid_Hamid_Mahmud_Al-Tikriti_,0.813096,589
Adam_Sandler_,1.06629,1488
Adam_Scott_,0.993,1269
Adel_Al-Jubeir_,0.71467,292
Adolfo_Aguilar_Zinser_,1.04098,1420
Adolfo_Rodriguez_Saa_,1.0382,1415
Adrian_McPherson_,0.475223,31
Adrian_Nastase_,0.881417,838
Adrien_Brody_,1.09438,1543
Ahmad_Masood_,1.05821,1471
Ahmed_Chalabi_,0.914281,980
Ahmet_Necdet_Sezer_,0.827559,630
Ai_Sugiyama_,0.95177,1110
Aicha_El_Ouafi_,0.546999,64
Aitor_Gonzalez_,0.770379,435
Akbar_Hashemi_Rafsanjani_,0.8439,685
Akhmed_Zakayev_,0.899371,923
Al_Davis_,0.715714,297
Al_Gore_,0.634213,145
Al_Pacino_,0.857647,741
Al_Sharpton_,0.979446,1211
Alan_Ball_,0.461189,28
Alan_Greenspan_,1.23095,1666
Alan_Mulally_,0.77231,441
Alastair_Campbell_,0.532422,57
Albert_Costa_,0.702301,273
Alberto_Fujimori_,0.893803,893
Alberto_Ruiz_Gallardon_,1.05265,1450
Albrecht_Mentz_,0.890201,879
Aldo_Paredes_,0.976059,1201
Alec_Baldwin_,0.597778,106
Alejandro_Atchugarry_,0.953415,1115
Alejandro_Avila_,0.588915,96
Alejandro_Toledo_,0.805981,564
Aleksander_Kwasniewski_,0.592823,99
Alex_Barros_,0.956168,1129
Alex_Penelas_,0.852517,722
Alex_Sink_,0.813422,591
Alexander_Downer_,0.87376,801
Alexander_Losyukov_,0.82439,618
Alexander_Rumyantsev_,0.888624,869
Alexandra_Stevenson_,0.9157,984
Alexandra_Vodjanikova_,1.14231,1607
Ali_Abbas_,0.814425,594
Ali_Khamenei_,0.736758,349
Ali_Naimi_,0.643669,160
Alice_Fisher_,1.16214,1627
Alicia_Silverstone_,0.754746,393
Alimzhan_Tokhtakhounov_,0.894137,894
Alison_Lohman_,0.956246,1130
Allen_Iverson_,0.829042,636
Allison_Janney_,0.831779,644
Allyson_Felix_,1.02606,1370
Alvaro_Noboa_,0.621043,130
Alvaro_Silva_Calderon_,1.08624,1522
Alvaro_Uribe_,0.577238,85
Amanda_Beard_,0.908409,951
Amanda_Bynes_,0.905096,944
Amanda_Coetzer_,0.880093,832
Amber_Tamblyn_,0.865687,774
Amelia_Vega_,1.07643,1509
Amelie_Mauresmo_,0.861165,749
Amer_al-Saadi_,1.01768,1345
Amram_Mitzna_,0.666403,194
Ana_Guevara_,0.956018,1128
Ana_Palacio_,0.764243,412
Anastasia_Myskina_,0.715491,296
Anders_Ebbeson_,1.09707,1550
Anders_Fogh_Rasmussen_,1.16448,1630
Andre_Agassi_,0.600424,108
Andrei_Mikhnevich_,0.657297,180
Andrew_Bunner_,0.700485,267
