Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,131.947,1018
Aaron_Sorkin_,134.508,1098
Abdel_Nasser_Assidi_,173.095,1650
Abdoulaye_Wade_,196.953,1679
Abdullah_,160.615,1579
Abdullah_Gul_,128.551,908
Abdullah_al-Attiyah_,163.391,1598
Abdullatif_Sener_,124.894,789
Abel_Pacheco_,138.142,1208
Abid_Hamid_Mahmud_Al-Tikriti_,177.242,1659
Adam_Sandler_,115.317,504
Adam_Scott_,160.238,1576
Adel_Al-Jubeir_,148.607,1426
Adolfo_Aguilar_Zinser_,135.541,1130
Adolfo_Rodriguez_Saa_,90.6388,87
Adrian_McPherson_,196.337,1678
Adrian_Nastase_,136.949,1168
Adrien_Brody_,110.855,406
Ahmad_Masood_,149.205,1433
Ahmed_Chalabi_,111.12,411
Ahmet_Necdet_Sezer_,129.496,943
Ai_Sugiyama_,135.283,1124
Aicha_El_Ouafi_,130.819,984
Aitor_Gonzalez_,170.295,1641
Akbar_Hashemi_Rafsanjani_,103.629,270
Akhmed_Zakayev_,125.17,796
Al_Davis_,149.353,1436
Al_Gore_,139.254,1238
Al_Pacino_,136.663,1161
Al_Sharpton_,164.909,1609
Alan_Ball_,123.634,747
Alan_Greenspan_,147.626,1412
Alan_Mulally_,110.281,399
Alastair_Campbell_,129.337,938
Albert_Costa_,159.913,1570
Alberto_Fujimori_,136.587,1158
Alberto_Ruiz_Gallardon_,129.843,951
Albrecht_Mentz_,128.812,915
Aldo_Paredes_,113.565,464
Alec_Baldwin_,103.874,273
Alejandro_Atchugarry_,120.364,642
Alejandro_Avila_,148.387,1421
Alejandro_Toledo_,130.862,988
Aleksander_Kwasniewski_,101.15,219
Alex_Barros_,146.785,1397
Alex_Penelas_,106.868,331
Alex_Sink_,138.304,1217
Alexander_Downer_,98.3962,168
Alexander_Losyukov_,118.37,585
Alexander_Rumyantsev_,105.986,315
Alexandra_Stevenson_,103.068,256
Alexandra_Vodjanikova_,154.624,1511
Ali_Abbas_,109.496,388
Ali_Khamenei_,122.206,693
Ali_Naimi_,112.353,435
Alice_Fisher_,141.158,1289
Alicia_Silverstone_,159.531,1565
Alimzhan_Tokhtakhounov_,129.65,946
Alison_Lohman_,106.487,325
Allen_Iverson_,151.97,1473
Allison_Janney_,131.47,1002
Allyson_Felix_,155.044,1516
Alvaro_Noboa_,111.114,410
Alvaro_Silva_Calderon_,130.858,987
Alvaro_Uribe_,115.889,523
Amanda_Beard_,112.842,443
Amanda_Bynes_,87.5425,61
Amanda_Coetzer_,124.81,787
Amber_Tamblyn_,109.015,377
Amelia_Vega_,104.671,287
Amelie_Mauresmo_,123.657,748
Amer_al-Saadi_,98.9622,179
Amram_Mitzna_,150.638,1458
Ana_Guevara_,177.766,1661
Ana_Palacio_,63.4509,4
Anastasia_Myskina_,156.081,1526
Anders_Ebbeson_,162.863,1594
Anders_Fogh_Rasmussen_,166.95,1622
Andre_Agassi_,150.561,1455
Andrei_Mikhnevich_,144.311,1344
Andrew_Bunner_,121.13,666
Andrew_Cuomo_,98.6241,173
Andrew_Niccol_,128.986,924
Andrew_Weissmann_,149.853,1446
Andy_Hebb_,81.6788,39
