Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.63569,822
Aaron_Sorkin_,0.632384,805
Abdel_Nasser_Assidi_,0.700051,1060
Abdoulaye_Wade_,0.731077,1162
Abdullah_,0.343473,15
Abdullah_Gul_,0.59187,665
Abdullah_al-Attiyah_,0.914367,1535
Abdullatif_Sener_,0.693791,1035
Abel_Pacheco_,0.978533,1619
Abid_Hamid_Mahmud_Al-Tikriti_,0.758346,1235
Adam_Sandler_,0.734223,1168
Adam_Scott_,0.952602,1584
Adel_Al-Jubeir_,0.629814,794
Adolfo_Aguilar_Zinser_,0.482348,281
Adolfo_Rodriguez_Saa_,0.65764,924
Adrian_McPherson_,0.980325,1621
Adrian_Nastase_,0.358665,26
Adrien_Brody_,0.600464,698
Ahmad_Masood_,0.612348,729
Ahmed_Chalabi_,0.462504,211
Ahmet_Necdet_Sezer_,0.713111,1110
Ai_Sugiyama_,0.87881,1489
Aicha_El_Ouafi_,0.8999,1523
Aitor_Gonzalez_,0.753281,1225
Akbar_Hashemi_Rafsanjani_,0.592713,668
Akhmed_Zakayev_,0.47544,258
Al_Davis_,0.651241,896
Al_Gore_,0.821413,1384
Al_Pacino_,0.587249,649
Al_Sharpton_,0.44628,160
Alan_Ball_,0.647064,882
Alan_Greenspan_,0.595405,674
Alan_Mulally_,0.518821,417
Alastair_Campbell_,0.815025,1373
Albert_Costa_,0.930824,1557
Alberto_Fujimori_,0.63655,828
Alberto_Ruiz_Gallardon_,0.520271,425
Albrecht_Mentz_,0.850301,1443
Aldo_Paredes_,0.491694,316
Alec_Baldwin_,0.478917,268
Alejandro_Atchugarry_,0.743164,1191
Alejandro_Avila_,0.646446,876
Alejandro_Toledo_,0.582543,633
Aleksander_Kwasniewski_,0.439627,138
Alex_Barros_,0.321781,9
Alex_Penelas_,0.657129,923
Alex_Sink_,0.738389,1176
Alexander_Downer_,0.682077,1002
Alexander_Losyukov_,0.436387,127
Alexander_Rumyantsev_,0.80153,1342
Alexandra_Stevenson_,0.70671,1085
Alexandra_Vodjanikova_,0.437997,132
Ali_Abbas_,0.984709,1627
Ali_Khamenei_,0.707453,1092
Ali_Naimi_,0.785921,1314
Alice_Fisher_,0.545867,508
Alicia_Silverstone_,1.03897,1654
Alimzhan_Tokhtakhounov_,0.871693,1479
Alison_Lohman_,0.420215,100
Allen_Iverson_,0.704433,1081
Allison_Janney_,0.730392,1160
Allyson_Felix_,0.525532,438
Alvaro_Noboa_,0.641001,844
Alvaro_Silva_Calderon_,0.654288,911
Alvaro_Uribe_,0.85358,1451
Amanda_Beard_,0.740552,1181
Amanda_Bynes_,0.769359,1272
Amanda_Coetzer_,0.81162,1365
Amber_Tamblyn_,0.835916,1412
Amelia_Vega_,0.607051,706
Amelie_Mauresmo_,0.670909,958
Amer_al-Saadi_,0.461828,207
Amram_Mitzna_,0.639707,838
Ana_Guevara_,0.465389,221
Ana_Palacio_,0.613006,730
Anastasia_Myskina_,0.71911,1125
Anders_Ebbeson_,0.51157,387
Anders_Fogh_Rasmussen_,0.49679,329
Andre_Agassi_,0.700114,1061
Andrei_Mikhnevich_,0.504392,354
Andrew_Bunner_,0.691441,1027
