Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.279,531
Aaron_Sorkin_,134.498,1079
Abdel_Nasser_Assidi_,173.089,1643
Abdoulaye_Wade_,195.73,1678
Abdullah_,139.14,1207
Abdullah_Gul_,128.522,884
Abdullah_al-Attiyah_,163.379,1597
Abdullatif_Sener_,124.878,747
Abel_Pacheco_,135.924,1122
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1661
Adam_Sandler_,133.494,1054
Adam_Scott_,160.235,1579
Adel_Al-Jubeir_,148.605,1415
Adolfo_Aguilar_Zinser_,135.519,1108
Adolfo_Rodriguez_Saa_,90.6219,79
Adrian_McPherson_,196.331,1679
Adrian_Nastase_,136.946,1141
Adrien_Brody_,110.823,367
Ahmad_Masood_,149.2,1421
Ahmed_Chalabi_,111.091,375
Ahmet_Necdet_Sezer_,129.483,924
Ai_Sugiyama_,130.556,959
Aicha_El_Ouafi_,130.813,969
Aitor_Gonzalez_,174.414,1649
Akbar_Hashemi_Rafsanjani_,103.612,233
Akhmed_Zakayev_,128.849,895
Al_Davis_,149.337,1424
Al_Gore_,139.249,1210
Al_Pacino_,122.292,665
Al_Sharpton_,144.193,1341
Alan_Ball_,123.612,703
Alan_Greenspan_,139.924,1229
Alan_Mulally_,128.873,897
Alastair_Campbell_,129.304,916
Albert_Costa_,168.739,1628
Alberto_Fujimori_,127.427,840
Alberto_Ruiz_Gallardon_,129.842,942
Albrecht_Mentz_,128.809,893
Aldo_Paredes_,113.55,432
Alec_Baldwin_,103.858,237
Alejandro_Atchugarry_,120.511,614
Alejandro_Avila_,160.749,1580
Alejandro_Toledo_,130.822,970
Aleksander_Kwasniewski_,138.492,1189
Alex_Barros_,146.774,1383
Alex_Penelas_,106.849,293
Alex_Sink_,118.59,563
Alexander_Downer_,123.855,710
Alexander_Losyukov_,112.946,418
Alexander_Rumyantsev_,105.972,272
Alexandra_Stevenson_,103.035,221
Alexandra_Vodjanikova_,155.268,1522
Ali_Abbas_,109.48,344
Ali_Khamenei_,138.254,1179
Ali_Naimi_,112.329,402
Alice_Fisher_,139.597,1218
Alicia_Silverstone_,129.923,944
Alimzhan_Tokhtakhounov_,129.616,931
Alison_Lohman_,106.469,287
Allen_Iverson_,151.965,1467
Allison_Janney_,129.51,925
Allyson_Felix_,155.023,1518
Alvaro_Noboa_,111.085,374
Alvaro_Silva_Calderon_,106.672,291
Alvaro_Uribe_,115.846,497
Amanda_Beard_,116.516,513
Amanda_Bynes_,87.5105,53
Amanda_Coetzer_,124.805,745
Amber_Tamblyn_,109.008,337
Amelia_Vega_,104.66,246
Amelie_Mauresmo_,145.088,1355
Amer_al-Saadi_,114.07,444
Amram_Mitzna_,126.971,822
Ana_Guevara_,177.764,1662
Ana_Palacio_,101.284,199
Anastasia_Myskina_,156.067,1535
Anders_Ebbeson_,162.858,1593
Anders_Fogh_Rasmussen_,166.941,1618
Andre_Agassi_,124.805,744
Andrei_Mikhnevich_,132.033,1006
Andrew_Bunner_,121.098,630
Andrew_Cuomo_,119.448,589
Andrew_Niccol_,128.962,901
Andrew_Weissmann_,160.89,1582
Andy_Hebb_,110.042,356
Andy_Roddick_,131.037,978
