Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.785998,791
Aaron_Sorkin_,1.03709,1418
Abdel_Nasser_Assidi_,0.80209,833
Abdoulaye_Wade_,0.904561,1126
Abdullah_,1.32245,1658
Abdullah_Gul_,1.33317,1659
Abdullah_al-Attiyah_,0.53339,221
Abdullatif_Sener_,1.2904,1643
Abel_Pacheco_,0.486692,161
Abid_Hamid_Mahmud_Al-Tikriti_,1.06337,1472
Adam_Sandler_,0.370632,40
Adam_Scott_,1.12462,1556
Adel_Al-Jubeir_,0.84926,963
Adolfo_Aguilar_Zinser_,0.771992,755
Adolfo_Rodriguez_Saa_,0.982495,1302
Adrian_McPherson_,0.730013,637
Adrian_Nastase_,1.19588,1612
Adrien_Brody_,0.849251,962
Ahmad_Masood_,0.810249,857
Ahmed_Chalabi_,1.2471,1627
Ahmet_Necdet_Sezer_,0.835706,931
Ai_Sugiyama_,0.581524,300
Aicha_El_Ouafi_,0.730384,638
Aitor_Gonzalez_,1.2238,1621
Akbar_Hashemi_Rafsanjani_,0.935554,1200
Akhmed_Zakayev_,0.754232,699
Al_Davis_,1.10285,1525
Al_Gore_,0.715954,605
Al_Pacino_,0.45332,124
Al_Sharpton_,0.855891,990
Alan_Ball_,1.05881,1466
Alan_Greenspan_,0.937605,1204
Alan_Mulally_,0.778538,772
Alastair_Campbell_,0.921372,1164
Albert_Costa_,0.668807,486
Alberto_Fujimori_,0.944006,1221
Alberto_Ruiz_Gallardon_,1.07803,1498
Albrecht_Mentz_,0.340719,24
Aldo_Paredes_,1.26029,1633
Alec_Baldwin_,0.193122,1
Alejandro_Atchugarry_,0.721341,615
Alejandro_Avila_,0.881397,1055
Alejandro_Toledo_,0.762782,724
Aleksander_Kwasniewski_,0.894029,1092
Alex_Barros_,1.11566,1537
Alex_Penelas_,0.639836,409
Alex_Sink_,0.804238,841
Alexander_Downer_,0.815162,872
Alexander_Losyukov_,0.526904,214
Alexander_Rumyantsev_,0.883489,1059
Alexandra_Stevenson_,0.697723,552
Alexandra_Vodjanikova_,0.899042,1113
Ali_Abbas_,0.984663,1305
Ali_Khamenei_,1.15124,1577
Ali_Naimi_,0.699114,558
Alice_Fisher_,0.838723,939
Alicia_Silverstone_,0.671403,492
Alimzhan_Tokhtakhounov_,0.568595,267
Alison_Lohman_,1.05806,1464
Allen_Iverson_,0.726883,629
Allison_Janney_,0.751933,690
Allyson_Felix_,0.777006,767
Alvaro_Noboa_,0.694648,545
Alvaro_Silva_Calderon_,0.514353,198
Alvaro_Uribe_,0.403468,70
Amanda_Beard_,0.93902,1207
Amanda_Bynes_,0.447773,115
Amanda_Coetzer_,0.687176,536
Amber_Tamblyn_,0.38562,54
Amelia_Vega_,0.739642,659
Amelie_Mauresmo_,0.859685,1002
Amer_al-Saadi_,1.01866,1390
Amram_Mitzna_,0.728842,632
Ana_Guevara_,0.474585,145
Ana_Palacio_,1.0069,1363
Anastasia_Myskina_,0.726562,628
Anders_Ebbeson_,0.939476,1209
Anders_Fogh_Rasmussen_,1.05156,1448
Andre_Agassi_,1.18863,1606
Andrei_Mikhnevich_,1.11096,1532
Andrew_Bunner_,1.29546,1645
