Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,395,888
Aaron_Sorkin_,410,917
Abdel_Nasser_Assidi_,511,1084
Abdoulaye_Wade_,158,420
Abdullah_,1165,1602
Abdullah_Gul_,302,733
Abdullah_al-Attiyah_,619,1223
Abdullatif_Sener_,1,1
Abel_Pacheco_,525,1100
Abid_Hamid_Mahmud_Al-Tikriti_,540,1123
Adam_Sandler_,1062,1560
Adam_Scott_,531,1112
Adel_Al-Jubeir_,255,633
Adolfo_Aguilar_Zinser_,747,1361
Adolfo_Rodriguez_Saa_,957,1506
Adrian_McPherson_,2,4
Adrian_Nastase_,158,421
Adrien_Brody_,393,884
Ahmad_Masood_,1416,1670
Ahmed_Chalabi_,392,882
Ahmet_Necdet_Sezer_,644,1253
Ai_Sugiyama_,1021,1546
Aicha_El_Ouafi_,717,1325
Aitor_Gonzalez_,1319,1652
Akbar_Hashemi_Rafsanjani_,256,636
Akhmed_Zakayev_,16,46
Al_Davis_,165,439
Al_Gore_,177,468
Al_Pacino_,17,49
Al_Sharpton_,480,1038
Alan_Ball_,104,291
Alan_Greenspan_,1232,1621
Alan_Mulally_,209,536
Alastair_Campbell_,116,323
Albert_Costa_,739,1348
Alberto_Fujimori_,859,1452
Alberto_Ruiz_Gallardon_,309,747
Albrecht_Mentz_,564,1160
Aldo_Paredes_,3,7
Alec_Baldwin_,442,969
Alejandro_Atchugarry_,613,1216
Alejandro_Avila_,557,1151
Alejandro_Toledo_,160,426
Aleksander_Kwasniewski_,47,136
Alex_Barros_,206,529
Alex_Penelas_,113,315
Alex_Sink_,596,1203
Alexander_Downer_,4,10
Alexander_Losyukov_,443,972
Alexander_Rumyantsev_,221,559
Alexandra_Stevenson_,1012,1540
Alexandra_Vodjanikova_,901,1478
Ali_Abbas_,372,844
Ali_Khamenei_,968,1514
Ali_Naimi_,146,397
Alice_Fisher_,4,11
Alicia_Silverstone_,228,574
Alimzhan_Tokhtakhounov_,563,1158
Alison_Lohman_,476,1029
Allen_Iverson_,729,1336
Allison_Janney_,403,902
Allyson_Felix_,864,1460
Alvaro_Noboa_,193,500
Alvaro_Silva_Calderon_,837,1436
Alvaro_Uribe_,189,491
Amanda_Beard_,533,1116
Amanda_Bynes_,477,1032
Amanda_Coetzer_,770,1385
Amber_Tamblyn_,361,824
Amelia_Vega_,274,673
Amelie_Mauresmo_,164,436
Amer_al-Saadi_,178,471
Amram_Mitzna_,79,228
Ana_Guevara_,659,1271
Ana_Palacio_,588,1193
Anastasia_Myskina_,344,800
Anders_Ebbeson_,1567,1679
Anders_Fogh_Rasmussen_,783,1398
Andre_Agassi_,666,1279
Andrei_Mikhnevich_,590,1197
Andrew_Bunner_,5,13
Andrew_Cuomo_,175,463
Andrew_Niccol_,231,581
Andrew_Weissmann_,303,735
Andy_Hebb_,380,860
Andy_Roddick_,981,1523
Angela_Bassett_,534,1117
Angela_Lansbury_,6,16
Angela_Merkel_,50,145
Angelina_Jolie_,450,984
Angelo_Reyes_,540,1124
Anibal_Ibarra_,605,1211
Ann_Veneman_,320,761
Anna_Kournikova_,326,773
Anna_Nicole_Smith_,480,1039
Anne_Krueger_,856,1448
