Name,Scores,EMD Ranks
,,,
,,,
Aaron_Peirsol_,117.266,516
Aaron_Sorkin_,117.371,517
Abdel_Nasser_Assidi_,173.085,1635
Abdoulaye_Wade_,177.803,1657
Abdullah_,139.135,1191
Abdullah_Gul_,106.002,268
Abdullah_al-Attiyah_,163.368,1592
Abdullatif_Sener_,131.011,950
Abel_Pacheco_,135.92,1106
Abid_Hamid_Mahmud_Al-Tikriti_,177.237,1655
Adam_Sandler_,115.313,470
Adam_Scott_,145.644,1342
Adel_Al-Jubeir_,148.603,1401
Adolfo_Aguilar_Zinser_,135.503,1092
Adolfo_Rodriguez_Saa_,139.595,1204
Adrian_McPherson_,196.327,1679
Adrian_Nastase_,136.944,1127
Adrien_Brody_,110.801,361
Ahmad_Masood_,149.195,1407
Ahmed_Chalabi_,111.075,368
Ahmet_Necdet_Sezer_,129.475,896
Ai_Sugiyama_,118.288,543
Aicha_El_Ouafi_,130.809,944
Aitor_Gonzalez_,174.409,1642
Akbar_Hashemi_Rafsanjani_,103.607,226
Akhmed_Zakayev_,128.837,863
Al_Davis_,149.324,1411
Al_Gore_,139.245,1195
Al_Pacino_,136.66,1121
Al_Sharpton_,164.885,1602
Alan_Ball_,123.319,683
Alan_Greenspan_,139.919,1213
Alan_Mulally_,128.857,864
Alastair_Campbell_,129.283,888
Albert_Costa_,168.73,1622
Alberto_Fujimori_,127.413,817
Alberto_Ruiz_Gallardon_,106.266,275
Albrecht_Mentz_,128.806,860
Aldo_Paredes_,113.54,425
Alec_Baldwin_,136.712,1123
Alejandro_Atchugarry_,120.505,612
Alejandro_Avila_,144.144,1316
Alejandro_Toledo_,130.797,942
Aleksander_Kwasniewski_,138.484,1173
Alex_Barros_,146.767,1366
Alex_Penelas_,93.8831,101
Alex_Sink_,118.57,548
Alexander_Downer_,123.849,696
Alexander_Losyukov_,112.929,414
Alexander_Rumyantsev_,105.962,266
Alexandra_Stevenson_,160.314,1575
Alexandra_Vodjanikova_,154.612,1504
Ali_Abbas_,109.468,341
Ali_Khamenei_,138.234,1165
Ali_Naimi_,112.307,396
Alice_Fisher_,141.13,1256
Alicia_Silverstone_,129.912,912
Alimzhan_Tokhtakhounov_,117.416,522
Alison_Lohman_,114.419,446
Allen_Iverson_,151.963,1458
Allison_Janney_,131.417,963
Allyson_Felix_,173.743,1638
Alvaro_Noboa_,111.058,367
Alvaro_Silva_Calderon_,126.771,795
Alvaro_Uribe_,99.7757,174
Amanda_Beard_,116.505,501
Amanda_Bynes_,141.614,1269
Amanda_Coetzer_,140.53,1233
Amber_Tamblyn_,131.552,965
Amelia_Vega_,137.453,1141
Amelie_Mauresmo_,145.071,1332
Amer_al-Saadi_,114.055,442
Amram_Mitzna_,126.96,799
Ana_Guevara_,131.941,985
Ana_Palacio_,101.265,193
Anastasia_Myskina_,121.884,648
Anders_Ebbeson_,162.854,1586
Anders_Fogh_Rasmussen_,166.936,1614
Andre_Agassi_,124.794,736
Andrei_Mikhnevich_,132.011,988
Andrew_Bunner_,111.781,384
Andrew_Cuomo_,119.434,582
Andrew_Niccol_,128.943,869
Andrew_Weissmann_,160.884,1578
Andy_Hebb_,110.025,351
Andy_Roddick_,131.028,952
