Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2867,1093
Aaron_Sorkin_,2091,555
Abdel_Nasser_Assidi_,2826,1068
Abdoulaye_Wade_,3125,1253
Abdullah_,2611,914
Abdullah_Gul_,2858,1090
Abdullah_al-Attiyah_,3518,1449
Abdullatif_Sener_,3721,1527
Abel_Pacheco_,2981,1162
Abid_Hamid_Mahmud_Al-Tikriti_,2447,791
Adam_Sandler_,1452,195
Adam_Scott_,2222,637
Adel_Al-Jubeir_,3556,1465
Adolfo_Aguilar_Zinser_,2392,752
Adolfo_Rodriguez_Saa_,1216,112
Adrian_McPherson_,4659,1675
Adrian_Nastase_,2546,862
Adrien_Brody_,1113,91
Ahmad_Masood_,1510,221
Ahmed_Chalabi_,3082,1225
Ahmet_Necdet_Sezer_,2667,953
Ai_Sugiyama_,3248,1327
Aicha_El_Ouafi_,4149,1630
Aitor_Gonzalez_,2189,617
Akbar_Hashemi_Rafsanjani_,3403,1411
Akhmed_Zakayev_,973,59
Al_Davis_,2871,1098
Al_Gore_,2182,613
Al_Pacino_,1960,460
Al_Sharpton_,3699,1522
Alan_Ball_,2434,783
Alan_Greenspan_,3841,1565
Alan_Mulally_,3110,1245
Alastair_Campbell_,4129,1627
Albert_Costa_,2736,1007
Alberto_Fujimori_,2904,1110
Alberto_Ruiz_Gallardon_,1339,153
Albrecht_Mentz_,2399,755
Aldo_Paredes_,2733,1006
Alec_Baldwin_,3327,1361
Alejandro_Atchugarry_,2695,975
Alejandro_Avila_,2971,1155
Alejandro_Toledo_,3253,1332
Aleksander_Kwasniewski_,2925,1128
Alex_Barros_,1210,111
Alex_Penelas_,755,23
Alex_Sink_,3450,1430
Alexander_Downer_,1672,286
Alexander_Losyukov_,3131,1260
Alexander_Rumyantsev_,1444,193
Alexandra_Stevenson_,1352,161
Alexandra_Vodjanikova_,3015,1183
Ali_Abbas_,521,7
Ali_Khamenei_,2355,722
Ali_Naimi_,1607,257
Alice_Fisher_,2240,650
Alicia_Silverstone_,4041,1612
Alimzhan_Tokhtakhounov_,2041,520
Alison_Lohman_,1857,388
Allen_Iverson_,1679,291
Allison_Janney_,2120,577
Allyson_Felix_,4737,1677
Alvaro_Noboa_,3406,1413
Alvaro_Silva_Calderon_,2147,597
Alvaro_Uribe_,2597,900
Amanda_Beard_,2044,522
Amanda_Bynes_,1768,335
Amanda_Coetzer_,4435,1662
Amber_Tamblyn_,2200,622
Amelia_Vega_,2225,641
Amelie_Mauresmo_,2188,616
Amer_al-Saadi_,1369,169
Amram_Mitzna_,1902,417
Ana_Guevara_,3016,1186
Ana_Palacio_,1977,480
Anastasia_Myskina_,3606,1484
Anders_Ebbeson_,2650,938
Anders_Fogh_Rasmussen_,2059,530
Andre_Agassi_,3271,1338
Andrei_Mikhnevich_,1705,302
Andrew_Bunner_,1545,228
Andrew_Cuomo_,3529,1455
Andrew_Niccol_,1359,166
Andrew_Weissmann_,2616,917
Andy_Hebb_,1369,170
Andy_Roddick_,2726,999
Angela_Bassett_,3052,1206
Angela_Lansbury_,2952,1142
Angela_Merkel_,1556,234
Angelina_Jolie_,841,36
Angelo_Reyes_,1644,275
