Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,91912.8,403
Aaron_Sorkin_,122275,1139
Abdel_Nasser_Assidi_,0,1
Abdoulaye_Wade_,95268.5,458
Abdullah_,131084,1351
Abdullah_Gul_,89589,356
Abdullah_al-Attiyah_,126602,1256
Abdullatif_Sener_,0,2
Abel_Pacheco_,148173,1591
Abid_Hamid_Mahmud_Al-Tikriti_,135525,1441
Adam_Sandler_,83307,248
Adam_Scott_,141824,1525
Adel_Al-Jubeir_,116728,1007
Adolfo_Aguilar_Zinser_,102196,631
Adolfo_Rodriguez_Saa_,123302,1171
Adrian_McPherson_,110984,864
Adrian_Nastase_,98964,554
Adrien_Brody_,127165,1267
Ahmad_Masood_,136449,1457
Ahmed_Chalabi_,116318,999
Ahmet_Necdet_Sezer_,118014,1040
Ai_Sugiyama_,135263,1432
Aicha_El_Ouafi_,122798,1157
Aitor_Gonzalez_,129032,1313
Akbar_Hashemi_Rafsanjani_,96087.7,471
Akhmed_Zakayev_,109593,823
Al_Davis_,71204.3,122
Al_Gore_,87470,322
Al_Pacino_,111469,878
Al_Sharpton_,140183,1508
Alan_Ball_,77119.5,170
Alan_Greenspan_,152846,1614
Alan_Mulally_,84736,278
Alastair_Campbell_,83847,260
Albert_Costa_,137386,1477
Alberto_Fujimori_,118959,1065
Alberto_Ruiz_Gallardon_,0,3
Albrecht_Mentz_,120871,1110
Aldo_Paredes_,125493,1232
Alec_Baldwin_,109321,813
Alejandro_Atchugarry_,155717,1630
Alejandro_Avila_,87456.5,321
Alejandro_Toledo_,87126,315
Aleksander_Kwasniewski_,106369,723
Alex_Barros_,123311,1172
Alex_Penelas_,138775,1490
Alex_Sink_,109730,827
Alexander_Downer_,106886,737
Alexander_Losyukov_,84522,276
Alexander_Rumyantsev_,133401,1401
Alexandra_Stevenson_,92899,415
Alexandra_Vodjanikova_,129958,1334
Ali_Abbas_,97070,496
Ali_Khamenei_,149162,1598
Ali_Naimi_,82266.5,230
Alice_Fisher_,0,4
Alicia_Silverstone_,113034,912
Alimzhan_Tokhtakhounov_,125167,1226
Alison_Lohman_,120189,1095
Allen_Iverson_,107655,765
Allison_Janney_,109303,812
Allyson_Felix_,156677,1634
Alvaro_Noboa_,131883,1370
Alvaro_Silva_Calderon_,123956,1198
Alvaro_Uribe_,106393,724
Amanda_Beard_,60521,65
Amanda_Bynes_,97311,506
Amanda_Coetzer_,127957,1291
Amber_Tamblyn_,84187,270
Amelia_Vega_,162904,1658
Amelie_Mauresmo_,103510,667
Amer_al-Saadi_,131108,1352
Amram_Mitzna_,84276,273
Ana_Guevara_,123597,1181
Ana_Palacio_,119074,1068
Anastasia_Myskina_,77698,178
Anders_Ebbeson_,142893,1532
Anders_Fogh_Rasmussen_,170453,1671
Andre_Agassi_,61432.2,67
Andrei_Mikhnevich_,95185.7,454
Andrew_Bunner_,132734,1386
Andrew_Cuomo_,101774,623
Andrew_Niccol_,119449,1080
Andrew_Weissmann_,91536,391
Andy_Hebb_,121850,1132
Andy_Roddick_,150171,1602
Angela_Bassett_,148445,1593
Angela_Lansbury_,102070,629
Angela_Merkel_,124467,1212
Angelina_Jolie_,79085.6,194
