Name,Scores,Fused Ranks
,,,
,,,
Aaron_Peirsol_,2673,951
Aaron_Sorkin_,3673,1493
Abdel_Nasser_Assidi_,2875,1104
Abdoulaye_Wade_,3670,1491
Abdullah_,3256,1315
Abdullah_Gul_,2447,794
Abdullah_al-Attiyah_,3689,1502
Abdullatif_Sener_,3470,1420
Abel_Pacheco_,2533,850
Abid_Hamid_Mahmud_Al-Tikriti_,3261,1321
Adam_Sandler_,1779,358
Adam_Scott_,3045,1194
Adel_Al-Jubeir_,3288,1341
Adolfo_Aguilar_Zinser_,3612,1471
Adolfo_Rodriguez_Saa_,2092,544
Adrian_McPherson_,3323,1358
Adrian_Nastase_,2813,1058
Adrien_Brody_,1695,311
Ahmad_Masood_,2181,597
Ahmed_Chalabi_,2962,1154
Ahmet_Necdet_Sezer_,2391,756
Ai_Sugiyama_,3122,1242
Aicha_El_Ouafi_,3560,1456
Aitor_Gonzalez_,3525,1444
Akbar_Hashemi_Rafsanjani_,1577,248
Akhmed_Zakayev_,2231,631
Al_Davis_,3570,1457
Al_Gore_,1694,309
Al_Pacino_,1372,163
Al_Sharpton_,3737,1520
Alan_Ball_,3193,1281
Alan_Greenspan_,2814,1062
Alan_Mulally_,1705,318
Alastair_Campbell_,2715,974
Albert_Costa_,2753,1005
Alberto_Fujimori_,3448,1409
Alberto_Ruiz_Gallardon_,1273,136
Albrecht_Mentz_,2150,573
Aldo_Paredes_,3076,1216
Alec_Baldwin_,2787,1037
Alejandro_Atchugarry_,2791,1042
Alejandro_Avila_,2789,1040
Alejandro_Toledo_,1873,418
Aleksander_Kwasniewski_,3151,1260
Alex_Barros_,1474,207
Alex_Penelas_,559,14
Alex_Sink_,2445,792
Alexander_Downer_,1001,77
Alexander_Losyukov_,2240,638
Alexander_Rumyantsev_,2780,1032
Alexandra_Stevenson_,2986,1167
Alexandra_Vodjanikova_,2721,977
Ali_Abbas_,1893,429
Ali_Khamenei_,4237,1637
Ali_Naimi_,1547,233
Alice_Fisher_,2277,668
Alicia_Silverstone_,2346,726
Alimzhan_Tokhtakhounov_,1303,144
Alison_Lohman_,2541,861
Allen_Iverson_,3132,1248
Allison_Janney_,1904,435
Allyson_Felix_,3017,1181
Alvaro_Noboa_,2558,871
Alvaro_Silva_Calderon_,3140,1251
Alvaro_Uribe_,3343,1368
Amanda_Beard_,1685,304
Amanda_Bynes_,1241,129
Amanda_Coetzer_,3528,1446
Amber_Tamblyn_,959,71
Amelia_Vega_,2050,529
Amelie_Mauresmo_,2170,588
Amer_al-Saadi_,2406,765
Amram_Mitzna_,1393,175
Ana_Guevara_,1850,397
Ana_Palacio_,1727,324
Anastasia_Myskina_,3897,1575
Anders_Ebbeson_,3398,1395
Anders_Fogh_Rasmussen_,4520,1671
Andre_Agassi_,3368,1378
Andrei_Mikhnevich_,2006,497
Andrew_Bunner_,2317,707
Andrew_Cuomo_,2270,661
Andrew_Niccol_,3183,1276
Andrew_Weissmann_,2162,586
Andy_Hebb_,2533,851
Andy_Roddick_,2083,540
Angela_Bassett_,3257,1316
Angela_Lansbury_,1065,85
Angela_Merkel_,1355,156
Angelina_Jolie_,1411,180
Angelo_Reyes_,2546,865
