Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,560,1168
Aaron_Sorkin_,1062,1579
Abdel_Nasser_Assidi_,507,1083
Abdoulaye_Wade_,400,916
Abdullah_,827,1446
Abdullah_Gul_,423,950
Abdullah_al-Attiyah_,801,1425
Abdullatif_Sener_,972,1543
Abel_Pacheco_,251,634
Abid_Hamid_Mahmud_Al-Tikriti_,545,1144
Adam_Sandler_,39,113
Adam_Scott_,379,881
Adel_Al-Jubeir_,926,1516
Adolfo_Aguilar_Zinser_,940,1524
Adolfo_Rodriguez_Saa_,84,245
Adrian_McPherson_,290,720
Adrian_Nastase_,1,1
Adrien_Brody_,305,752
Ahmad_Masood_,413,938
Ahmed_Chalabi_,390,895
Ahmet_Necdet_Sezer_,366,856
Ai_Sugiyama_,578,1187
Aicha_El_Ouafi_,567,1176
Aitor_Gonzalez_,355,835
Akbar_Hashemi_Rafsanjani_,248,626
Akhmed_Zakayev_,404,923
Al_Davis_,794,1418
Al_Gore_,35,102
Al_Pacino_,44,128
Al_Sharpton_,1165,1620
Alan_Ball_,723,1347
Alan_Greenspan_,200,530
Alan_Mulally_,120,343
Alastair_Campbell_,142,397
Albert_Costa_,107,309
Alberto_Fujimori_,849,1466
Alberto_Ruiz_Gallardon_,2,4
Albrecht_Mentz_,3,7
Aldo_Paredes_,4,10
Alec_Baldwin_,383,890
Alejandro_Atchugarry_,645,1256
Alejandro_Avila_,482,1040
Alejandro_Toledo_,449,992
Aleksander_Kwasniewski_,554,1158
Alex_Barros_,201,532
Alex_Penelas_,86,250
Alex_Sink_,587,1195
Alexander_Downer_,162,446
Alexander_Losyukov_,285,709
Alexander_Rumyantsev_,412,936
Alexandra_Stevenson_,536,1127
Alexandra_Vodjanikova_,586,1193
Ali_Abbas_,368,860
Ali_Khamenei_,997,1555
Ali_Naimi_,406,926
Alice_Fisher_,5,13
Alicia_Silverstone_,669,1286
Alimzhan_Tokhtakhounov_,281,702
Alison_Lohman_,480,1036
Allen_Iverson_,769,1394
Allison_Janney_,162,447
Allyson_Felix_,696,1322
Alvaro_Noboa_,6,16
Alvaro_Silva_Calderon_,827,1447
Alvaro_Uribe_,520,1105
Amanda_Beard_,7,19
Amanda_Bynes_,60,175
Amanda_Coetzer_,747,1371
Amber_Tamblyn_,24,70
Amelia_Vega_,136,380
Amelie_Mauresmo_,515,1098
Amer_al-Saadi_,169,458
Amram_Mitzna_,253,639
Ana_Guevara_,51,149
Ana_Palacio_,212,555
Anastasia_Myskina_,747,1372
Anders_Ebbeson_,513,1095
Anders_Fogh_Rasmussen_,1349,1667
Andre_Agassi_,560,1169
Andrei_Mikhnevich_,238,608
Andrew_Bunner_,8,22
Andrew_Cuomo_,9,25
Andrew_Niccol_,694,1316
Andrew_Weissmann_,216,563
Andy_Hebb_,30,88
Andy_Roddick_,276,688
Angela_Bassett_,755,1384
Angela_Lansbury_,93,271
Angela_Merkel_,48,140
Angelina_Jolie_,252,637
Angelo_Reyes_,224,581
Anibal_Ibarra_,479,1035
Ann_Veneman_,215,560
Anna_Kournikova_,573,1183
Anna_Nicole_Smith_,481,1038
Anne_Krueger_,559,1167
Anne_McLellan_,648,1261
