Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,119846,768
Aaron_Sorkin_,138621,1312
Abdel_Nasser_Assidi_,121332,809
Abdoulaye_Wade_,105211,400
Abdullah_,121887,827
Abdullah_Gul_,147895,1496
Abdullah_al-Attiyah_,121017,801
Abdullatif_Sener_,125978,973
Abel_Pacheco_,133307,1169
Abid_Hamid_Mahmud_Al-Tikriti_,140757,1362
Adam_Sandler_,135965,1236
Adam_Scott_,130477,1087
Adel_Al-Jubeir_,124866,926
Adolfo_Aguilar_Zinser_,154152,1571
Adolfo_Rodriguez_Saa_,114985,627
Adrian_McPherson_,98938,290
Adrian_Nastase_,0,1
Adrien_Brody_,127151,1002
Ahmad_Masood_,106182,413
Ahmed_Chalabi_,126821,991
Ahmet_Necdet_Sezer_,103479,366
Ai_Sugiyama_,145138,1452
Aicha_El_Ouafi_,150109,1532
Aitor_Gonzalez_,103079,355
Akbar_Hashemi_Rafsanjani_,120986,800
Akhmed_Zakayev_,125026,930
Al_Davis_,120749,794
Al_Gore_,136255,1240
Al_Pacino_,89009,197
Al_Sharpton_,136427,1247
Alan_Ball_,130533,1090
Alan_Greenspan_,89799,200
Alan_Mulally_,69897,120
Alastair_Campbell_,78053,142
Albert_Costa_,130052,1072
Alberto_Fujimori_,154550,1576
Alberto_Ruiz_Gallardon_,0,2
Albrecht_Mentz_,0,3
Aldo_Paredes_,0,4
Alec_Baldwin_,137066,1271
Alejandro_Atchugarry_,136513,1252
Alejandro_Avila_,109343,482
Alejandro_Toledo_,107975,461
Aleksander_Kwasniewski_,166452,1646
Alex_Barros_,89881,201
Alex_Penelas_,82165,155
Alex_Sink_,115727,648
Alexander_Downer_,95064,239
Alexander_Losyukov_,117674,708
Alexander_Rumyantsev_,145702,1462
Alexandra_Stevenson_,111634,536
Alexandra_Vodjanikova_,113651,586
Ali_Abbas_,130094,1073
Ali_Khamenei_,156460,1601
Ali_Naimi_,105540,406
Alice_Fisher_,0,5
Alicia_Silverstone_,116347,669
Alimzhan_Tokhtakhounov_,98364,281
Alison_Lohman_,133954,1185
Allen_Iverson_,130211,1076
Allison_Janney_,121540,814
Allyson_Felix_,131164,1111
Alvaro_Noboa_,0,6
Alvaro_Silva_Calderon_,137687,1284
Alvaro_Uribe_,135235,1214
Amanda_Beard_,0,7
Amanda_Bynes_,128128,1024
Amanda_Coetzer_,118989,747
Amber_Tamblyn_,113380,582
Amelia_Vega_,167568,1650
Amelie_Mauresmo_,124848,925
Amer_al-Saadi_,133517,1173
Amram_Mitzna_,96032.3,253
Ana_Guevara_,75767,135
Ana_Palacio_,100286,319
Anastasia_Myskina_,159534,1619
Anders_Ebbeson_,110709,513
Anders_Fogh_Rasmussen_,139992,1349
Andre_Agassi_,112614,560
Andrei_Mikhnevich_,94962,238
Andrew_Bunner_,0,8
Andrew_Cuomo_,0,9
Andrew_Niccol_,155075,1586
Andrew_Weissmann_,103292,362
Andy_Hebb_,150385,1534
Andy_Roddick_,98000,276
Angela_Bassett_,128282,1031
Angela_Lansbury_,108937,477
Angela_Merkel_,129583,1060
Angelina_Jolie_,96016,252
Angelo_Reyes_,134764,1205
Anibal_Ibarra_,126966,996
