Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,538,1149
Aaron_Sorkin_,856,1475
Abdel_Nasser_Assidi_,680,1316
Abdoulaye_Wade_,1121,1615
Abdullah_,1211,1635
Abdullah_Gul_,283,702
Abdullah_al-Attiyah_,1218,1637
Abdullatif_Sener_,632,1268
Abel_Pacheco_,135,378
Abid_Hamid_Mahmud_Al-Tikriti_,525,1129
Adam_Sandler_,6,16
Adam_Scott_,392,914
Adel_Al-Jubeir_,201,532
Adolfo_Aguilar_Zinser_,692,1331
Adolfo_Rodriguez_Saa_,1,1
Adrian_McPherson_,1000,1564
Adrian_Nastase_,1268,1655
Adrien_Brody_,508,1102
Ahmad_Masood_,1325,1663
Ahmed_Chalabi_,382,897
Ahmet_Necdet_Sezer_,96,270
Ai_Sugiyama_,534,1144
Aicha_El_Ouafi_,690,1329
Aitor_Gonzalez_,1431,1672
Akbar_Hashemi_Rafsanjani_,244,624
Akhmed_Zakayev_,441,997
Al_Davis_,246,629
Al_Gore_,541,1154
Al_Pacino_,3,7
Al_Sharpton_,812,1439
Alan_Ball_,719,1353
Alan_Greenspan_,461,1027
Alan_Mulally_,2,4
Alastair_Campbell_,923,1519
Albert_Costa_,605,1232
Alberto_Fujimori_,157,433
Alberto_Ruiz_Gallardon_,292,718
Albrecht_Mentz_,140,392
Aldo_Paredes_,226,587
Alec_Baldwin_,397,921
Alejandro_Atchugarry_,624,1258
Alejandro_Avila_,657,1294
Alejandro_Toledo_,386,904
Aleksander_Kwasniewski_,454,1017
Alex_Barros_,345,826
Alex_Penelas_,109,307
Alex_Sink_,645,1282
Alexander_Downer_,168,462
Alexander_Losyukov_,423,964
Alexander_Rumyantsev_,403,932
Alexandra_Stevenson_,233,599
Alexandra_Vodjanikova_,282,700
Ali_Abbas_,354,845
Ali_Khamenei_,160,442
Ali_Naimi_,297,731
Alice_Fisher_,1010,1570
Alicia_Silverstone_,310,756
Alimzhan_Tokhtakhounov_,343,820
Alison_Lohman_,294,723
Allen_Iverson_,3,8
Allison_Janney_,414,948
Allyson_Felix_,883,1494
Alvaro_Noboa_,4,10
Alvaro_Silva_Calderon_,223,582
Alvaro_Uribe_,275,685
Amanda_Beard_,517,1115
Amanda_Bynes_,292,719
Amanda_Coetzer_,486,1066
Amber_Tamblyn_,59,171
Amelia_Vega_,1103,1604
Amelie_Mauresmo_,1103,1605
Amer_al-Saadi_,175,475
Amram_Mitzna_,5,13
Ana_Guevara_,89,251
Ana_Palacio_,4,11
Anastasia_Myskina_,566,1190
Anders_Ebbeson_,1263,1653
Anders_Fogh_Rasmussen_,1111,1611
Andre_Agassi_,1002,1566
Andrei_Mikhnevich_,503,1094
Andrew_Bunner_,6,17
Andrew_Cuomo_,171,468
Andrew_Niccol_,189,508
Andrew_Weissmann_,420,958
Andy_Hebb_,34,100
Andy_Roddick_,486,1067
Angela_Bassett_,836,1457
Angela_Lansbury_,85,239
Angela_Merkel_,46,136
Angelina_Jolie_,431,979
Angelo_Reyes_,28,82
Anibal_Ibarra_,384,900
Ann_Veneman_,211,552
Anna_Kournikova_,934,1529
Anna_Nicole_Smith_,462,1030
Anne_Krueger_,500,1089
