Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,98635,211
Aaron_Sorkin_,109502,373
Abdel_Nasser_Assidi_,89954,139
Abdoulaye_Wade_,137191,1190
Abdullah_,135023,1135
Abdullah_Gul_,121427,676
Abdullah_al-Attiyah_,132401,1039
Abdullatif_Sener_,160010,1590
Abel_Pacheco_,133978,1098
Abid_Hamid_Mahmud_Al-Tikriti_,133665,1088
Adam_Sandler_,118189,591
Adam_Scott_,105530,306
Adel_Al-Jubeir_,150194,1474
Adolfo_Aguilar_Zinser_,142861,1336
Adolfo_Rodriguez_Saa_,138627,1219
Adrian_McPherson_,141994,1320
Adrian_Nastase_,147292,1418
Adrien_Brody_,114412,489
Ahmad_Masood_,139234,1237
Ahmed_Chalabi_,140234,1264
Ahmet_Necdet_Sezer_,122575,705
Ai_Sugiyama_,127458,860
Aicha_El_Ouafi_,140597,1275
Aitor_Gonzalez_,152459,1512
Akbar_Hashemi_Rafsanjani_,102896,265
Akhmed_Zakayev_,132621,1051
Al_Davis_,114705,497
Al_Gore_,162088,1607
Al_Pacino_,130491,971
Al_Sharpton_,146126,1395
Alan_Ball_,89719.5,137
Alan_Greenspan_,106693,319
Alan_Mulally_,107916,342
Alastair_Campbell_,143482,1348
Albert_Costa_,140737,1285
Alberto_Fujimori_,158153,1580
Alberto_Ruiz_Gallardon_,122912,720
Albrecht_Mentz_,116501,539
Aldo_Paredes_,159104,1584
Alec_Baldwin_,123119,726
Alejandro_Atchugarry_,124842,778
Alejandro_Avila_,123902,750
Alejandro_Toledo_,123349,733
Aleksander_Kwasniewski_,148701,1444
Alex_Barros_,141239,1299
Alex_Penelas_,130869,992
Alex_Sink_,143179,1341
Alexander_Downer_,121135,666
Alexander_Losyukov_,190072,1678
Alexander_Rumyantsev_,126140,821
Alexandra_Stevenson_,130352,967
Alexandra_Vodjanikova_,164179,1622
Ali_Abbas_,125381,794
Ali_Khamenei_,148501,1439
Ali_Naimi_,114763,501
Alice_Fisher_,143814,1356
Alicia_Silverstone_,132505,1046
Alimzhan_Tokhtakhounov_,124538,769
Alison_Lohman_,0,1
Allen_Iverson_,134561,1123
Allison_Janney_,136726,1179
Allyson_Felix_,155752,1554
Alvaro_Noboa_,128988,915
Alvaro_Silva_Calderon_,139704,1250
Alvaro_Uribe_,107869,340
Amanda_Beard_,107470,334
Amanda_Bynes_,120884,655
Amanda_Coetzer_,152652,1514
Amber_Tamblyn_,112403,429
Amelia_Vega_,110735,396
Amelie_Mauresmo_,129437,934
Amer_al-Saadi_,139744,1252
Amram_Mitzna_,101678,246
Ana_Guevara_,93314.5,165
Ana_Palacio_,122663,709
Anastasia_Myskina_,147227,1416
Anders_Ebbeson_,165792,1629
Anders_Fogh_Rasmussen_,121477,677
Andre_Agassi_,137757,1204
Andrei_Mikhnevich_,154027,1533
Andrew_Bunner_,128099,887
Andrew_Cuomo_,109226,369
Andrew_Niccol_,161305,1599
Andrew_Weissmann_,113155,452
Andy_Hebb_,103346,274
Andy_Roddick_,127898,878
Angela_Bassett_,137623,1201
Angela_Lansbury_,101288,240
Angela_Merkel_,102721,262
Angelina_Jolie_,138641,1221
Angelo_Reyes_,129144,922
