Name,Scores,Corelation Ranks
,,,
,,,
Aaron_Peirsol_,0.992371,1169
Aaron_Sorkin_,1.13149,1594
Abdel_Nasser_Assidi_,1.06935,1445
Abdoulaye_Wade_,0.921321,788
Abdullah_,1.04277,1365
Abdullah_Gul_,1.0112,1236
Abdullah_al-Attiyah_,0.741434,121
Abdullatif_Sener_,0.879266,573
Abel_Pacheco_,1.01722,1268
Abid_Hamid_Mahmud_Al-Tikriti_,0.796773,229
Adam_Sandler_,0.936066,857
Adam_Scott_,0.744011,124
Adel_Al-Jubeir_,0.955699,975
Adolfo_Aguilar_Zinser_,0.826823,338
Adolfo_Rodriguez_Saa_,0.944366,917
Adrian_McPherson_,0.683501,63
Adrian_Nastase_,1.08732,1504
Adrien_Brody_,0.939445,881
Ahmad_Masood_,1.00231,1200
Ahmed_Chalabi_,1.07914,1481
Ahmet_Necdet_Sezer_,0.859006,464
Ai_Sugiyama_,1.03798,1351
Aicha_El_Ouafi_,0.634293,34
Aitor_Gonzalez_,1.10592,1553
Akbar_Hashemi_Rafsanjani_,0.92905,826
Akhmed_Zakayev_,1.10588,1552
Al_Davis_,0.659823,47
Al_Gore_,0.62463,30
Al_Pacino_,0.887442,604
Al_Sharpton_,0.877285,553
Alan_Ball_,0.755979,141
Alan_Greenspan_,1.16948,1642
Alan_Mulally_,0.932537,837
Alastair_Campbell_,0.959327,988
Albert_Costa_,0.699299,74
Alberto_Fujimori_,0.99894,1184
Alberto_Ruiz_Gallardon_,0.942375,902
Albrecht_Mentz_,0.917666,770
Aldo_Paredes_,1.07387,1465
Alec_Baldwin_,1.01032,1231
Alejandro_Atchugarry_,0.68855,68
Alejandro_Avila_,0.854953,447
Alejandro_Toledo_,0.838454,377
Aleksander_Kwasniewski_,0.86336,488
Alex_Barros_,0.917624,769
Alex_Penelas_,0.708929,82
Alex_Sink_,0.837382,375
Alexander_Downer_,0.98028,1087
Alexander_Losyukov_,1.00209,1197
Alexander_Rumyantsev_,0.885746,596
Alexandra_Stevenson_,1.03613,1342
Alexandra_Vodjanikova_,1.07353,1464
Ali_Abbas_,0.813922,284
Ali_Khamenei_,0.75254,134
Ali_Naimi_,0.738546,119
Alice_Fisher_,0.940208,887
Alicia_Silverstone_,0.897226,648
Alimzhan_Tokhtakhounov_,0.868048,507
Alison_Lohman_,0.804935,253
Allen_Iverson_,0.89522,635
Allison_Janney_,0.790528,217
Allyson_Felix_,1.17136,1643
Alvaro_Noboa_,0.926882,809
Alvaro_Silva_Calderon_,0.837522,376
Alvaro_Uribe_,0.711137,85
Amanda_Beard_,0.973571,1060
Amanda_Bynes_,0.937146,863
Amanda_Coetzer_,1.1292,1592
Amber_Tamblyn_,0.742664,122
Amelia_Vega_,1.03189,1329
Amelie_Mauresmo_,0.987694,1139
Amer_al-Saadi_,0.573807,16
Amram_Mitzna_,0.888538,606
Ana_Guevara_,0.878769,565
Ana_Palacio_,0.93117,834
Anastasia_Myskina_,1.01885,1279
Anders_Ebbeson_,1.01338,1251
Anders_Fogh_Rasmussen_,1.03768,1350
Andre_Agassi_,0.988815,1148
Andrei_Mikhnevich_,0.809378,272
Andrew_Bunner_,0.933489,845
