Name,Scores,Sift Ranks
,,,
,,,
Aaron_Peirsol_,110372,588
Aaron_Sorkin_,111516,623
Abdel_Nasser_Assidi_,122404,895
Abdoulaye_Wade_,131069,1106
Abdullah_,131231,1112
Abdullah_Gul_,129678,1070
Abdullah_al-Attiyah_,119583,821
Abdullatif_Sener_,0,1
Abel_Pacheco_,125907,983
Abid_Hamid_Mahmud_Al-Tikriti_,122406,896
Adam_Sandler_,123822,931
Adam_Scott_,110042,584
Adel_Al-Jubeir_,144700,1438
Adolfo_Aguilar_Zinser_,96349,326
Adolfo_Rodriguez_Saa_,156457,1586
Adrian_McPherson_,112511,655
Adrian_Nastase_,120759,847
Adrien_Brody_,78761,188
Ahmad_Masood_,115846,740
Ahmed_Chalabi_,88318,240
Ahmet_Necdet_Sezer_,110888,610
Ai_Sugiyama_,109538,575
Aicha_El_Ouafi_,105044,462
Aitor_Gonzalez_,115438,729
Akbar_Hashemi_Rafsanjani_,110720,600
Akhmed_Zakayev_,117836,778
Al_Davis_,104832,457
Al_Gore_,65261,139
Al_Pacino_,131561,1124
Al_Sharpton_,139346,1319
Alan_Ball_,108941,558
Alan_Greenspan_,121298,859
Alan_Mulally_,125999,985
Alastair_Campbell_,133203,1174
Albert_Costa_,98828,366
Alberto_Fujimori_,132956,1172
Alberto_Ruiz_Gallardon_,133327,1178
Albrecht_Mentz_,109132,565
Aldo_Paredes_,132588,1153
Alec_Baldwin_,139982,1340
Alejandro_Atchugarry_,139605,1328
Alejandro_Avila_,134499,1205
Alejandro_Toledo_,124875,955
Aleksander_Kwasniewski_,161305,1628
Alex_Barros_,0,2
Alex_Penelas_,102391,418
Alex_Sink_,136580,1251
Alexander_Downer_,144660,1437
Alexander_Losyukov_,91530,264
Alexander_Rumyantsev_,106281,489
Alexandra_Stevenson_,151935,1548
Alexandra_Vodjanikova_,130691,1097
Ali_Abbas_,126063,987
Ali_Khamenei_,104612,452
Ali_Naimi_,87623,234
Alice_Fisher_,98905,367
Alicia_Silverstone_,117765,777
Alimzhan_Tokhtakhounov_,0,3
Alison_Lohman_,113496,684
Allen_Iverson_,138525,1304
Allison_Janney_,140019,1342
Allyson_Felix_,122850,910
Alvaro_Noboa_,152568,1557
Alvaro_Silva_Calderon_,0,4
Alvaro_Uribe_,131503,1121
Amanda_Beard_,79806,192
Amanda_Bynes_,106635,500
Amanda_Coetzer_,73023,161
Amber_Tamblyn_,120942,853
Amelia_Vega_,117731,775
Amelie_Mauresmo_,142273,1391
Amer_al-Saadi_,145727,1464
Amram_Mitzna_,101131,400
Ana_Guevara_,124010,935
Ana_Palacio_,106861,508
Anastasia_Myskina_,137768,1291
Anders_Ebbeson_,87326,232
Anders_Fogh_Rasmussen_,164531,1645
Andre_Agassi_,140645,1355
Andrei_Mikhnevich_,141328,1372
Andrew_Bunner_,111879,630
Andrew_Cuomo_,143386,1415
Andrew_Niccol_,60521,132
Andrew_Weissmann_,127103,1012
Andy_Hebb_,112537,657
Andy_Roddick_,173372,1665
Angela_Bassett_,131796,1131
Angela_Lansbury_,103402,435
Angela_Merkel_,138718,1308
Angelina_Jolie_,121802,874
Angelo_Reyes_,143365,1414
