Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,551,1135
Aaron_Sorkin_,1,1
Abdel_Nasser_Assidi_,809,1405
Abdoulaye_Wade_,311,756
Abdullah_,1211,1622
Abdullah_Gul_,229,583
Abdullah_al-Attiyah_,831,1427
Abdullatif_Sener_,987,1534
Abel_Pacheco_,49,143
Abid_Hamid_Mahmud_Al-Tikriti_,420,934
Adam_Sandler_,140,386
Adam_Scott_,773,1381
Adel_Al-Jubeir_,840,1436
Adolfo_Aguilar_Zinser_,530,1105
Adolfo_Rodriguez_Saa_,1145,1601
Adrian_McPherson_,814,1408
Adrian_Nastase_,1296,1642
Adrien_Brody_,758,1367
Ahmad_Masood_,827,1424
Ahmed_Chalabi_,393,889
Ahmet_Necdet_Sezer_,158,428
Ai_Sugiyama_,586,1180
Aicha_El_Ouafi_,685,1302
Aitor_Gonzalez_,1495,1674
Akbar_Hashemi_Rafsanjani_,260,647
Akhmed_Zakayev_,539,1118
Al_Davis_,404,907
Al_Gore_,46,134
Al_Pacino_,90,256
Al_Sharpton_,1099,1583
Alan_Ball_,630,1241
Alan_Greenspan_,376,861
Alan_Mulally_,490,1042
Alastair_Campbell_,933,1497
Albert_Costa_,694,1311
Alberto_Fujimori_,111,310
Alberto_Ruiz_Gallardon_,310,753
Albrecht_Mentz_,2,4
Aldo_Paredes_,455,989
Alec_Baldwin_,251,625
Alejandro_Atchugarry_,648,1259
Alejandro_Avila_,3,7
Alejandro_Toledo_,308,748
Aleksander_Kwasniewski_,527,1102
Alex_Barros_,370,850
Alex_Penelas_,106,296
Alex_Sink_,593,1193
Alexander_Downer_,182,481
Alexander_Losyukov_,127,353
Alexander_Rumyantsev_,265,655
Alexandra_Stevenson_,521,1092
Alexandra_Vodjanikova_,215,553
Ali_Abbas_,375,859
Ali_Khamenei_,1013,1548
Ali_Naimi_,187,493
Alice_Fisher_,316,764
Alicia_Silverstone_,303,735
Alimzhan_Tokhtakhounov_,254,633
Alison_Lohman_,4,10
Allen_Iverson_,495,1049
Allison_Janney_,273,673
Allyson_Felix_,671,1288
Alvaro_Noboa_,400,899
Alvaro_Silva_Calderon_,341,803
Alvaro_Uribe_,512,1076
Amanda_Beard_,529,1104
Amanda_Bynes_,70,202
Amanda_Coetzer_,1258,1634
Amber_Tamblyn_,169,456
Amelia_Vega_,275,676
Amelie_Mauresmo_,880,1468
Amer_al-Saadi_,471,1019
Amram_Mitzna_,553,1139
Ana_Guevara_,182,482
Ana_Palacio_,3,8
Anastasia_Myskina_,683,1301
Anders_Ebbeson_,5,13
Anders_Fogh_Rasmussen_,1501,1676
Andre_Agassi_,777,1384
Andrei_Mikhnevich_,447,975
Andrew_Bunner_,415,925
Andrew_Cuomo_,185,489
Andrew_Niccol_,268,662
Andrew_Weissmann_,285,695
Andy_Hebb_,41,119
Andy_Roddick_,592,1191
Angela_Bassett_,1065,1568
Angela_Lansbury_,31,90
Angela_Merkel_,57,165
Angelina_Jolie_,448,976
Angelo_Reyes_,430,949
Anibal_Ibarra_,407,911
Ann_Veneman_,226,576
Anna_Kournikova_,120,334
Anna_Nicole_Smith_,478,1026
Anne_Krueger_,6,16
