Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.931,1023
Aaron_Sorkin_,134.499,1100
Abdel_Nasser_Assidi_,158.803,1567
Abdoulaye_Wade_,195.73,1677
Abdullah_,139.14,1238
Abdullah_Gul_,124.048,763
Abdullah_al-Attiyah_,145.209,1370
Abdullatif_Sener_,124.88,796
Abel_Pacheco_,135.925,1140
Abid_Hamid_Mahmud_Al-Tikriti_,156.624,1546
Adam_Sandler_,115.315,512
Adam_Scott_,145.65,1381
Adel_Al-Jubeir_,135.185,1121
Adolfo_Aguilar_Zinser_,135.52,1132
Adolfo_Rodriguez_Saa_,139.615,1251
Adrian_McPherson_,196.332,1679
Adrian_Nastase_,136.947,1164
Adrien_Brody_,110.825,396
Ahmad_Masood_,126.411,843
Ahmed_Chalabi_,111.094,405
Ahmet_Necdet_Sezer_,135.099,1117
Ai_Sugiyama_,136.165,1149
Aicha_El_Ouafi_,122.065,690
Aitor_Gonzalez_,170.286,1637
Akbar_Hashemi_Rafsanjani_,103.613,256
Akhmed_Zakayev_,128.851,930
Al_Davis_,149.337,1453
Al_Gore_,90.8076,82
Al_Pacino_,136.661,1160
Al_Sharpton_,144.194,1357
Alan_Ball_,123.341,733
Alan_Greenspan_,139.924,1259
Alan_Mulally_,110.258,387
Alastair_Campbell_,103.846,260
Albert_Costa_,159.908,1579
Alberto_Fujimori_,127.429,878
Alberto_Ruiz_Gallardon_,106.301,316
Albrecht_Mentz_,128.809,926
Aldo_Paredes_,148.935,1445
Alec_Baldwin_,136.273,1153
Alejandro_Atchugarry_,120.343,639
Alejandro_Avila_,144.154,1355
Alejandro_Toledo_,130.825,993
Aleksander_Kwasniewski_,138.492,1218
Alex_Barros_,109.297,370
Alex_Penelas_,93.908,116
Alex_Sink_,149.199,1449
Alexander_Downer_,105.973,305
Alexander_Losyukov_,122.959,725
Alexander_Rumyantsev_,105.972,304
Alexandra_Stevenson_,103.038,246
Alexandra_Vodjanikova_,154.616,1523
Ali_Abbas_,109.48,373
Ali_Khamenei_,131.931,1024
Ali_Naimi_,112.33,431
Alice_Fisher_,139.599,1249
Alicia_Silverstone_,159.518,1576
Alimzhan_Tokhtakhounov_,129.618,958
Alison_Lohman_,106.469,318
Allen_Iverson_,151.966,1493
Allison_Janney_,129.511,953
Allyson_Felix_,158.849,1568
Alvaro_Noboa_,125.619,818
Alvaro_Silva_Calderon_,126.818,856
Alvaro_Uribe_,115.851,528
Amanda_Beard_,112.799,448
Amanda_Bynes_,87.5128,56
Amanda_Coetzer_,124.806,792
Amber_Tamblyn_,109.008,364
Amelia_Vega_,104.661,276
Amelie_Mauresmo_,123.647,744
Amer_al-Saadi_,98.9469,182
Amram_Mitzna_,150.627,1469
Ana_Guevara_,147.62,1417
Ana_Palacio_,116.267,538
Anastasia_Myskina_,156.068,1539
Anders_Ebbeson_,162.858,1601
Anders_Fogh_Rasmussen_,166.941,1626
Andre_Agassi_,138.762,1226
Andrei_Mikhnevich_,144.297,1359
Andrew_Bunner_,121.1,663
Andrew_Cuomo_,119.449,609
Andrew_Niccol_,128.963,936
Andrew_Weissmann_,160.891,1590
Andy_Hebb_,110.043,382
