Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,532,1124
Aaron_Sorkin_,319,773
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,389,899
Abdullah_,1128,1613
Abdullah_Gul_,278,697
Abdullah_al-Attiyah_,1222,1639
Abdullatif_Sener_,967,1533
Abel_Pacheco_,263,665
Abid_Hamid_Mahmud_Al-Tikriti_,1107,1603
Adam_Sandler_,1046,1572
Adam_Scott_,170,456
Adel_Al-Jubeir_,907,1491
Adolfo_Aguilar_Zinser_,902,1489
Adolfo_Rodriguez_Saa_,1228,1642
Adrian_McPherson_,442,993
Adrian_Nastase_,1151,1618
Adrien_Brody_,375,876
Ahmad_Masood_,615,1231
Ahmed_Chalabi_,381,886
Ahmet_Necdet_Sezer_,508,1092
Ai_Sugiyama_,359,847
Aicha_El_Ouafi_,155,419
Aitor_Gonzalez_,1408,1672
Akbar_Hashemi_Rafsanjani_,233,597
Akhmed_Zakayev_,282,707
Al_Davis_,1263,1651
Al_Gore_,186,491
Al_Pacino_,86,244
Al_Sharpton_,568,1172
Alan_Ball_,693,1314
Alan_Greenspan_,231,595
Alan_Mulally_,478,1049
Alastair_Campbell_,911,1493
Albert_Costa_,20,58
Alberto_Fujimori_,647,1269
Alberto_Ruiz_Gallardon_,2,4
Albrecht_Mentz_,186,492
Aldo_Paredes_,433,979
Alec_Baldwin_,236,602
Alejandro_Atchugarry_,625,1246
Alejandro_Avila_,712,1329
Alejandro_Toledo_,355,838
Aleksander_Kwasniewski_,267,673
Alex_Barros_,347,820
Alex_Penelas_,142,390
Alex_Sink_,419,954
Alexander_Downer_,274,690
Alexander_Losyukov_,251,637
Alexander_Rumyantsev_,401,921
Alexandra_Stevenson_,642,1261
Alexandra_Vodjanikova_,3,7
Ali_Abbas_,25,73
Ali_Khamenei_,4,10
Ali_Naimi_,64,184
Alice_Fisher_,78,224
Alicia_Silverstone_,153,415
Alimzhan_Tokhtakhounov_,335,803
Alison_Lohman_,299,736
Allen_Iverson_,761,1374
Allison_Janney_,568,1173
Allyson_Felix_,593,1207
Alvaro_Noboa_,650,1275
Alvaro_Silva_Calderon_,334,801
Alvaro_Uribe_,373,873
Amanda_Beard_,250,635
Amanda_Bynes_,58,168
Amanda_Coetzer_,1089,1591
Amber_Tamblyn_,60,174
Amelia_Vega_,246,625
Amelie_Mauresmo_,889,1480
Amer_al-Saadi_,448,998
Amram_Mitzna_,258,652
Ana_Guevara_,244,620
Ana_Palacio_,199,523
Anastasia_Myskina_,269,678
Anders_Ebbeson_,1042,1571
Anders_Fogh_Rasmussen_,246,626
Andre_Agassi_,505,1086
Andrei_Mikhnevich_,456,1011
Andrew_Bunner_,396,913
Andrew_Cuomo_,159,428
Andrew_Niccol_,374,874
Andrew_Weissmann_,128,353
Andy_Hebb_,29,85
Andy_Roddick_,968,1534
Angela_Bassett_,963,1530
Angela_Lansbury_,409,936
Angela_Merkel_,45,133
Angelina_Jolie_,428,971
Angelo_Reyes_,247,628
Anibal_Ibarra_,780,1394
Ann_Veneman_,203,530
Anna_Kournikova_,625,1247
Anna_Nicole_Smith_,280,702
Anne_Krueger_,830,1434
Anne_McLellan_,256,646
