Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.297,575
Aaron_Sorkin_,117.402,579
Abdel_Nasser_Assidi_,173.096,1645
Abdoulaye_Wade_,195.735,1678
Abdullah_,139.147,1232
Abdullah_Gul_,128.547,922
Abdullah_al-Attiyah_,139.416,1239
Abdullatif_Sener_,124.899,808
Abel_Pacheco_,138.142,1202
Abid_Hamid_Mahmud_Al-Tikriti_,116.792,560
Adam_Sandler_,154.74,1533
Adam_Scott_,160.239,1590
Adel_Al-Jubeir_,148.606,1426
Adolfo_Aguilar_Zinser_,135.538,1127
Adolfo_Rodriguez_Saa_,90.6452,96
Adrian_McPherson_,196.337,1679
Adrian_Nastase_,136.95,1169
Adrien_Brody_,116.108,547
Ahmad_Masood_,126.428,849
Ahmed_Chalabi_,110.767,413
Ahmet_Necdet_Sezer_,135.118,1113
Ai_Sugiyama_,135.284,1120
Aicha_El_Ouafi_,151.243,1475
Aitor_Gonzalez_,174.42,1652
Akbar_Hashemi_Rafsanjani_,103.643,266
Akhmed_Zakayev_,115.172,520
Al_Davis_,140.243,1257
Al_Gore_,139.254,1233
Al_Pacino_,136.666,1162
Al_Sharpton_,164.907,1621
Alan_Ball_,123.634,753
Alan_Greenspan_,147.626,1410
Alan_Mulally_,128.895,931
Alastair_Campbell_,110.617,408
Albert_Costa_,159.913,1586
Alberto_Fujimori_,136.585,1159
Alberto_Ruiz_Gallardon_,106.353,316
Albrecht_Mentz_,128.812,928
Aldo_Paredes_,113.565,473
Alec_Baldwin_,136.322,1153
Alejandro_Atchugarry_,120.523,666
Alejandro_Avila_,148.388,1419
Alejandro_Toledo_,130.865,1006
Aleksander_Kwasniewski_,138.502,1215
Alex_Barros_,146.786,1389
Alex_Penelas_,106.866,323
Alex_Sink_,138.304,1209
Alexander_Downer_,98.3975,184
Alexander_Losyukov_,122.991,733
Alexander_Rumyantsev_,112.091,440
Alexandra_Stevenson_,124.371,782
Alexandra_Vodjanikova_,154.626,1530
Ali_Abbas_,91.2094,103
Ali_Khamenei_,138.276,1207
Ali_Naimi_,133.652,1078
Alice_Fisher_,141.157,1280
Alicia_Silverstone_,159.53,1584
Alimzhan_Tokhtakhounov_,117.496,584
Alison_Lohman_,114.452,499
Allen_Iverson_,151.972,1484
Allison_Janney_,131.472,1015
Allyson_Felix_,139.315,1236
Alvaro_Noboa_,111.109,419
Alvaro_Silva_Calderon_,126.866,861
Alvaro_Uribe_,115.895,538
Amanda_Beard_,116.534,555
Amanda_Bynes_,87.547,69
Amanda_Coetzer_,124.81,802
Amber_Tamblyn_,131.555,1019
Amelia_Vega_,104.672,279
Amelie_Mauresmo_,145.106,1355
Amer_al-Saadi_,114.092,488
Amram_Mitzna_,150.638,1465
Ana_Guevara_,177.766,1661
Ana_Palacio_,118.326,604
Anastasia_Myskina_,121.915,701
Anders_Ebbeson_,162.863,1607
Anders_Fogh_Rasmussen_,124.891,807
Andre_Agassi_,124.825,803
Andrei_Mikhnevich_,144.311,1344
Andrew_Bunner_,111.829,434
Andrew_Cuomo_,119.468,629
Andrew_Niccol_,100.574,214
Andrew_Weissmann_,160.899,1598
Andy_Hebb_,110.062,396
