Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,541,1131
Aaron_Sorkin_,895,1476
Abdel_Nasser_Assidi_,959,1518
Abdoulaye_Wade_,245,602
Abdullah_,858,1450
Abdullah_Gul_,287,688
Abdullah_al-Attiyah_,269,652
Abdullatif_Sener_,973,1528
Abel_Pacheco_,435,952
Abid_Hamid_Mahmud_Al-Tikriti_,1297,1653
Adam_Sandler_,92,256
Adam_Scott_,1,1
Adel_Al-Jubeir_,71,203
Adolfo_Aguilar_Zinser_,257,627
Adolfo_Rodriguez_Saa_,1222,1637
Adrian_McPherson_,2,4
Adrian_Nastase_,625,1229
Adrien_Brody_,380,861
Ahmad_Masood_,3,7
Ahmed_Chalabi_,389,876
Ahmet_Necdet_Sezer_,526,1101
Ai_Sugiyama_,955,1517
Aicha_El_Ouafi_,73,208
Aitor_Gonzalez_,551,1144
Akbar_Hashemi_Rafsanjani_,240,592
Akhmed_Zakayev_,254,619
Al_Davis_,230,570
Al_Gore_,1212,1632
Al_Pacino_,18,52
Al_Sharpton_,566,1159
Alan_Ball_,244,600
Alan_Greenspan_,1168,1616
Alan_Mulally_,276,665
Alastair_Campbell_,910,1489
Albert_Costa_,562,1155
Alberto_Fujimori_,1132,1605
Alberto_Ruiz_Gallardon_,294,704
Albrecht_Mentz_,119,319
Aldo_Paredes_,448,979
Alec_Baldwin_,1125,1603
Alejandro_Atchugarry_,302,721
Alejandro_Avila_,441,966
Alejandro_Toledo_,389,877
Aleksander_Kwasniewski_,535,1118
Alex_Barros_,350,805
Alex_Penelas_,249,611
Alex_Sink_,571,1166
Alexander_Downer_,169,437
Alexander_Losyukov_,435,953
Alexander_Rumyantsev_,411,915
Alexandra_Stevenson_,108,289
Alexandra_Vodjanikova_,275,663
Ali_Abbas_,73,209
Ali_Khamenei_,1186,1625
Ali_Naimi_,136,357
Alice_Fisher_,387,872
Alicia_Silverstone_,371,847
Alimzhan_Tokhtakhounov_,471,1019
Alison_Lohman_,469,1015
Allen_Iverson_,710,1327
Allison_Janney_,431,944
Allyson_Felix_,1443,1671
Alvaro_Noboa_,388,873
Alvaro_Silva_Calderon_,106,285
Alvaro_Uribe_,98,269
Amanda_Beard_,271,655
Amanda_Bynes_,54,155
Amanda_Coetzer_,493,1056
Amber_Tamblyn_,343,793
Amelia_Vega_,562,1156
Amelie_Mauresmo_,447,976
Amer_al-Saadi_,1065,1568
Amram_Mitzna_,186,475
Ana_Guevara_,150,390
Ana_Palacio_,207,520
Anastasia_Myskina_,417,924
Anders_Ebbeson_,815,1413
Anders_Fogh_Rasmussen_,21,61
Andre_Agassi_,692,1309
Andrei_Mikhnevich_,289,693
Andrew_Bunner_,195,495
Andrew_Cuomo_,90,250
Andrew_Niccol_,496,1058
Andrew_Weissmann_,167,433
Andy_Hebb_,365,836
Andy_Roddick_,792,1395
Angela_Bassett_,866,1456
Angela_Lansbury_,137,360
Angela_Merkel_,44,129
Angelina_Jolie_,226,564
Angelo_Reyes_,448,980
Anibal_Ibarra_,527,1103
Ann_Veneman_,209,525
Anna_Kournikova_,1446,1672
Anna_Nicole_Smith_,470,1017
Anne_Krueger_,836,1431
