Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.951,1019
Aaron_Sorkin_,117.404,571
Abdel_Nasser_Assidi_,173.097,1649
Abdoulaye_Wade_,177.827,1661
Abdullah_,139.148,1225
Abdullah_Gul_,142.09,1301
Abdullah_al-Attiyah_,163.394,1599
Abdullatif_Sener_,124.899,780
Abel_Pacheco_,135.937,1136
Abid_Hamid_Mahmud_Al-Tikriti_,116.793,558
Adam_Sandler_,115.318,525
Adam_Scott_,160.239,1576
Adel_Al-Jubeir_,135.192,1113
Adolfo_Aguilar_Zinser_,135.545,1125
Adolfo_Rodriguez_Saa_,139.644,1238
Adrian_McPherson_,155.095,1522
Adrian_Nastase_,141.589,1293
Adrien_Brody_,110.863,401
Ahmad_Masood_,149.207,1434
Ahmed_Chalabi_,111.128,408
Ahmet_Necdet_Sezer_,129.499,946
Ai_Sugiyama_,135.285,1117
Aicha_El_Ouafi_,122.091,698
Aitor_Gonzalez_,174.42,1654
Akbar_Hashemi_Rafsanjani_,103.636,255
Akhmed_Zakayev_,115.172,518
Al_Davis_,140.248,1253
Al_Gore_,139.255,1227
Al_Pacino_,121.686,691
Al_Sharpton_,144.213,1345
Alan_Ball_,123.639,745
Alan_Greenspan_,139.933,1243
Alan_Mulally_,110.286,389
Alastair_Campbell_,129.344,938
Albert_Costa_,162.327,1592
Alberto_Fujimori_,136.591,1151
Alberto_Ruiz_Gallardon_,129.844,962
Albrecht_Mentz_,117.721,583
Aldo_Paredes_,148.947,1431
Alec_Baldwin_,136.323,1145
Alejandro_Atchugarry_,120.523,653
Alejandro_Avila_,144.167,1344
Alejandro_Toledo_,130.871,990
Aleksander_Kwasniewski_,117.055,566
Alex_Barros_,146.788,1394
Alex_Penelas_,93.9436,106
Alex_Sink_,138.307,1203
Alexander_Downer_,98.3984,174
Alexander_Losyukov_,112.97,457
Alexander_Rumyantsev_,112.099,427
Alexandra_Stevenson_,160.343,1577
Alexandra_Vodjanikova_,154.626,1515
Ali_Abbas_,109.5,377
Ali_Khamenei_,138.286,1200
Ali_Naimi_,133.653,1072
Alice_Fisher_,139.638,1237
Alicia_Silverstone_,129.946,966
Alimzhan_Tokhtakhounov_,117.505,575
Alison_Lohman_,106.491,313
Allen_Iverson_,151.971,1477
Allison_Janney_,131.478,1004
Allyson_Felix_,155.048,1521
Alvaro_Noboa_,111.121,407
Alvaro_Silva_Calderon_,126.878,843
Alvaro_Uribe_,115.899,539
Amanda_Beard_,112.85,452
Amanda_Bynes_,87.5505,62
Amanda_Coetzer_,124.811,775
Amber_Tamblyn_,109.017,366
Amelia_Vega_,137.473,1174
Amelie_Mauresmo_,145.113,1360
Amer_al-Saadi_,114.097,487
Amram_Mitzna_,126.991,848
Ana_Guevara_,177.767,1660
Ana_Palacio_,63.4584,3
Anastasia_Myskina_,156.084,1534
Anders_Ebbeson_,162.864,1596
Anders_Fogh_Rasmussen_,124.891,778
Andre_Agassi_,150.563,1459
Andrei_Mikhnevich_,132.063,1024
Andrew_Bunner_,121.136,674
Andrew_Cuomo_,98.6295,179
Andrew_Niccol_,100.575,203
Andrew_Weissmann_,160.902,1581
Andy_Hebb_,81.6839,34
