Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,94.6347,115
Aaron_Sorkin_,117.399,542
Abdel_Nasser_Assidi_,173.095,1647
Abdoulaye_Wade_,177.826,1663
Abdullah_,139.147,1210
Abdullah_Gul_,116.081,511
Abdullah_al-Attiyah_,139.417,1215
Abdullatif_Sener_,131.049,964
Abel_Pacheco_,135.932,1114
Abid_Hamid_Mahmud_Al-Tikriti_,156.628,1540
Adam_Sandler_,115.317,490
Adam_Scott_,145.658,1358
Adel_Al-Jubeir_,135.191,1087
Adolfo_Aguilar_Zinser_,135.542,1102
Adolfo_Rodriguez_Saa_,90.6375,86
Adrian_McPherson_,155.092,1514
Adrian_Nastase_,141.589,1274
Adrien_Brody_,116.105,512
Ahmad_Masood_,126.43,805
Ahmed_Chalabi_,111.117,383
Ahmet_Necdet_Sezer_,129.495,918
Ai_Sugiyama_,130.584,947
Aicha_El_Ouafi_,151.242,1454
Aitor_Gonzalez_,174.419,1652
Akbar_Hashemi_Rafsanjani_,118.424,567
Akhmed_Zakayev_,128.868,890
Al_Davis_,140.244,1240
Al_Gore_,139.254,1211
Al_Pacino_,136.663,1135
Al_Sharpton_,171.514,1642
Alan_Ball_,123.368,715
Alan_Greenspan_,144.903,1344
Alan_Mulally_,128.896,892
Alastair_Campbell_,131.569,975
Albert_Costa_,168.753,1631
Alberto_Fujimori_,136.588,1133
Alberto_Ruiz_Gallardon_,106.346,289
Albrecht_Mentz_,128.812,887
Aldo_Paredes_,113.565,443
Alec_Baldwin_,136.305,1125
Alejandro_Atchugarry_,120.52,633
Alejandro_Avila_,148.386,1414
Alejandro_Toledo_,130.861,957
Aleksander_Kwasniewski_,117.054,534
Alex_Barros_,109.343,352
Alex_Penelas_,106.87,302
Alex_Sink_,149.213,1425
Alexander_Downer_,117.552,548
Alexander_Losyukov_,140.581,1247
Alexander_Rumyantsev_,105.985,279
Alexandra_Stevenson_,103.068,222
Alexandra_Vodjanikova_,155.284,1519
Ali_Abbas_,109.497,360
Ali_Khamenei_,122.207,677
Ali_Naimi_,135.257,1094
Alice_Fisher_,141.159,1262
Alicia_Silverstone_,159.532,1570
Alimzhan_Tokhtakhounov_,129.653,920
Alison_Lohman_,106.489,293
Allen_Iverson_,151.969,1466
Allison_Janney_,131.47,973
Allyson_Felix_,173.759,1649
Alvaro_Noboa_,111.119,384
Alvaro_Silva_Calderon_,126.868,818
Alvaro_Uribe_,115.886,507
Amanda_Beard_,112.849,419
Amanda_Bynes_,87.5416,62
Amanda_Coetzer_,124.81,759
Amber_Tamblyn_,109.016,344
Amelia_Vega_,137.47,1158
Amelie_Mauresmo_,145.111,1346
Amer_al-Saadi_,98.9629,162
Amram_Mitzna_,126.987,822
Ana_Guevara_,177.766,1662
Ana_Palacio_,101.311,201
Anastasia_Myskina_,156.081,1530
Anders_Ebbeson_,162.864,1595
Anders_Fogh_Rasmussen_,103.991,243
Andre_Agassi_,150.307,1439
Andrei_Mikhnevich_,144.312,1332
Andrew_Bunner_,121.131,648
Andrew_Cuomo_,98.6229,161
Andrew_Niccol_,100.561,185
Andrew_Weissmann_,160.9,1582
Andy_Hebb_,81.6812,34
