Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.272,564
Aaron_Sorkin_,134.495,1099
Abdel_Nasser_Assidi_,158.8,1570
Abdoulaye_Wade_,177.808,1660
Abdullah_,160.612,1593
Abdullah_Gul_,116.011,531
Abdullah_al-Attiyah_,163.374,1612
Abdullatif_Sener_,131.019,993
Abel_Pacheco_,124.717,781
Abid_Hamid_Mahmud_Al-Tikriti_,177.238,1657
Adam_Sandler_,115.314,508
Adam_Scott_,160.235,1590
Adel_Al-Jubeir_,148.604,1426
Adolfo_Aguilar_Zinser_,135.51,1134
Adolfo_Rodriguez_Saa_,90.6169,83
Adrian_McPherson_,196.329,1679
Adrian_Nastase_,141.557,1294
Adrien_Brody_,110.812,400
Ahmad_Masood_,126.403,843
Ahmed_Chalabi_,110.72,397
Ahmet_Necdet_Sezer_,129.479,954
Ai_Sugiyama_,130.549,978
Aicha_El_Ouafi_,122.057,693
Aitor_Gonzalez_,170.282,1640
Akbar_Hashemi_Rafsanjani_,118.392,589
Akhmed_Zakayev_,128.843,924
Al_Davis_,149.33,1437
Al_Gore_,139.247,1232
Al_Pacino_,136.66,1157
Al_Sharpton_,144.187,1347
Alan_Ball_,123.605,737
Alan_Greenspan_,147.616,1410
Alan_Mulally_,110.247,386
Alastair_Campbell_,103.833,248
Albert_Costa_,168.734,1635
Alberto_Fujimori_,127.42,876
Alberto_Ruiz_Gallardon_,129.842,963
Albrecht_Mentz_,128.808,921
Aldo_Paredes_,113.545,463
Alec_Baldwin_,136.712,1158
Alejandro_Atchugarry_,120.508,649
Alejandro_Avila_,160.746,1595
Alejandro_Toledo_,130.809,987
Aleksander_Kwasniewski_,117.051,558
Alex_Barros_,146.771,1393
Alex_Penelas_,106.842,311
Alex_Sink_,118.581,592
Alexander_Downer_,98.3846,165
Alexander_Losyukov_,140.561,1266
Alexander_Rumyantsev_,105.967,290
Alexandra_Stevenson_,160.319,1591
Alexandra_Vodjanikova_,155.264,1527
Ali_Abbas_,109.474,373
Ali_Khamenei_,131.922,1021
Ali_Naimi_,133.628,1077
Alice_Fisher_,141.136,1289
Alicia_Silverstone_,159.512,1581
Alimzhan_Tokhtakhounov_,117.431,570
Alison_Lohman_,106.462,305
Allen_Iverson_,151.964,1486
Allison_Janney_,131.427,1001
Allyson_Felix_,155.013,1522
Alvaro_Noboa_,125.616,814
Alvaro_Silva_Calderon_,106.67,310
Alvaro_Uribe_,99.7803,180
Amanda_Beard_,112.776,440
Amanda_Bynes_,87.4997,62
Amanda_Coetzer_,124.804,788
Amber_Tamblyn_,109.005,360
Amelia_Vega_,118.905,602
Amelie_Mauresmo_,123.643,739
Amer_al-Saadi_,114.063,477
Amram_Mitzna_,126.965,861
Ana_Guevara_,177.763,1659
Ana_Palacio_,63.4071,3
Anastasia_Myskina_,144.256,1348
Anders_Ebbeson_,162.856,1609
Anders_Fogh_Rasmussen_,124.88,792
Andre_Agassi_,150.549,1463
Andrei_Mikhnevich_,132.021,1025
Andrew_Bunner_,121.085,669
Andrew_Cuomo_,98.5972,166
Andrew_Niccol_,100.522,199
Andrew_Weissmann_,160.887,1598
Andy_Hebb_,81.6442,35
