Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,513,1139
Aaron_Sorkin_,89,251
Abdel_Nasser_Assidi_,616,1268
Abdoulaye_Wade_,421,1003
Abdullah_,1200,1645
Abdullah_Gul_,270,708
Abdullah_al-Attiyah_,897,1518
Abdullatif_Sener_,738,1399
Abel_Pacheco_,494,1114
Abid_Hamid_Mahmud_Al-Tikriti_,1,1
Adam_Sandler_,338,846
Adam_Scott_,25,73
Adel_Al-Jubeir_,2,4
Adolfo_Aguilar_Zinser_,554,1187
Adolfo_Rodriguez_Saa_,3,7
Adrian_McPherson_,487,1103
Adrian_Nastase_,697,1351
Adrien_Brody_,125,349
Ahmad_Masood_,1254,1657
Ahmed_Chalabi_,356,883
Ahmet_Necdet_Sezer_,320,816
Ai_Sugiyama_,223,610
Aicha_El_Ouafi_,476,1089
Aitor_Gonzalez_,37,108
Akbar_Hashemi_Rafsanjani_,220,602
Akhmed_Zakayev_,722,1383
Al_Davis_,357,885
Al_Gore_,346,863
Al_Pacino_,860,1496
Al_Sharpton_,800,1447
Alan_Ball_,427,1014
Alan_Greenspan_,1227,1650
Alan_Mulally_,344,858
Alastair_Campbell_,509,1132
Albert_Costa_,60,173
Alberto_Fujimori_,828,1473
Alberto_Ruiz_Gallardon_,276,719
Albrecht_Mentz_,4,10
Aldo_Paredes_,858,1493
Alec_Baldwin_,1084,1618
Alejandro_Atchugarry_,595,1241
Alejandro_Avila_,474,1084
Alejandro_Toledo_,905,1523
Aleksander_Kwasniewski_,814,1461
Alex_Barros_,266,701
Alex_Penelas_,101,283
Alex_Sink_,292,752
Alexander_Downer_,154,426
Alexander_Losyukov_,408,981
Alexander_Rumyantsev_,224,612
Alexandra_Stevenson_,1011,1583
Alexandra_Vodjanikova_,207,567
Ali_Abbas_,334,840
Ali_Khamenei_,5,13
Ali_Naimi_,297,764
Alice_Fisher_,1262,1658
Alicia_Silverstone_,162,447
Alimzhan_Tokhtakhounov_,6,16
Alison_Lohman_,279,725
Allen_Iverson_,106,298
Allison_Janney_,374,917
Allyson_Felix_,226,616
Alvaro_Noboa_,355,881
Alvaro_Silva_Calderon_,805,1453
Alvaro_Uribe_,402,971
Amanda_Beard_,314,803
Amanda_Bynes_,47,135
Amanda_Coetzer_,1072,1613
Amber_Tamblyn_,324,826
Amelia_Vega_,845,1485
Amelie_Mauresmo_,696,1350
Amer_al-Saadi_,157,434
Amram_Mitzna_,687,1338
Ana_Guevara_,204,560
Ana_Palacio_,370,912
Anastasia_Myskina_,7,19
Anders_Ebbeson_,541,1170
Anders_Fogh_Rasmussen_,382,937
Andre_Agassi_,389,949
Andrei_Mikhnevich_,191,527
Andrew_Bunner_,376,923
Andrew_Cuomo_,569,1209
Andrew_Niccol_,129,358
Andrew_Weissmann_,323,824
Andy_Hebb_,333,838
Andy_Roddick_,809,1456
Angela_Bassett_,187,517
Angela_Lansbury_,467,1071
Angela_Merkel_,35,102
Angelina_Jolie_,196,540
Angelo_Reyes_,78,221
Anibal_Ibarra_,210,575
Ann_Veneman_,190,524
Anna_Kournikova_,952,1545
Anna_Nicole_Smith_,450,1044
Anne_Krueger_,281,730
Anne_McLellan_,243,655
