Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,550,1164
Aaron_Sorkin_,408,949
Abdel_Nasser_Assidi_,836,1460
Abdoulaye_Wade_,1055,1579
Abdullah_,503,1098
Abdullah_Gul_,301,747
Abdullah_al-Attiyah_,573,1198
Abdullatif_Sener_,1,1
Abel_Pacheco_,342,827
Abid_Hamid_Mahmud_Al-Tikriti_,539,1150
Adam_Sandler_,123,341
Adam_Scott_,137,373
Adel_Al-Jubeir_,815,1445
Adolfo_Aguilar_Zinser_,1109,1595
Adolfo_Rodriguez_Saa_,75,216
Adrian_McPherson_,1204,1625
Adrian_Nastase_,2,4
Adrien_Brody_,390,914
Ahmad_Masood_,803,1435
Ahmed_Chalabi_,393,920
Ahmet_Necdet_Sezer_,228,588
Ai_Sugiyama_,951,1535
Aicha_El_Ouafi_,943,1527
Aitor_Gonzalez_,1235,1635
Akbar_Hashemi_Rafsanjani_,89,253
Akhmed_Zakayev_,158,424
Al_Davis_,463,1035
Al_Gore_,316,777
Al_Pacino_,669,1317
Al_Sharpton_,165,438
Alan_Ball_,709,1360
Alan_Greenspan_,1229,1631
Alan_Mulally_,3,7
Alastair_Campbell_,248,636
Albert_Costa_,725,1382
Alberto_Fujimori_,337,818
Alberto_Ruiz_Gallardon_,308,762
Albrecht_Mentz_,135,367
Aldo_Paredes_,3,8
Alec_Baldwin_,611,1248
Alejandro_Atchugarry_,232,597
Alejandro_Avila_,646,1294
Alejandro_Toledo_,487,1076
Aleksander_Kwasniewski_,227,586
Alex_Barros_,367,875
Alex_Penelas_,316,778
Alex_Sink_,593,1225
Alexander_Downer_,137,374
Alexander_Losyukov_,441,1002
Alexander_Rumyantsev_,297,741
Alexandra_Stevenson_,299,744
Alexandra_Vodjanikova_,949,1534
Ali_Abbas_,373,884
Ali_Khamenei_,643,1291
Ali_Naimi_,422,972
Alice_Fisher_,4,10
Alicia_Silverstone_,591,1223
Alimzhan_Tokhtakhounov_,565,1187
Alison_Lohman_,473,1052
Allen_Iverson_,977,1550
Allison_Janney_,684,1333
Allyson_Felix_,36,106
Alvaro_Noboa_,392,917
Alvaro_Silva_Calderon_,454,1024
Alvaro_Uribe_,517,1119
Amanda_Beard_,253,648
Amanda_Bynes_,414,960
Amanda_Coetzer_,1247,1639
Amber_Tamblyn_,360,864
Amelia_Vega_,263,667
Amelie_Mauresmo_,1165,1613
Amer_al-Saadi_,173,461
Amram_Mitzna_,141,383
Ana_Guevara_,1000,1560
Ana_Palacio_,210,544
Anastasia_Myskina_,633,1278
Anders_Ebbeson_,896,1504
Anders_Fogh_Rasmussen_,805,1436
Andre_Agassi_,756,1407
Andrei_Mikhnevich_,326,791
Andrew_Bunner_,185,490
Andrew_Cuomo_,210,545
Andrew_Niccol_,5,13
Andrew_Weissmann_,92,260
Andy_Hebb_,379,896
Andy_Roddick_,116,325
Angela_Bassett_,352,848
Angela_Lansbury_,397,929
Angela_Merkel_,51,150
Angelina_Jolie_,446,1010
Angelo_Reyes_,691,1341
Anibal_Ibarra_,629,1273
Ann_Veneman_,213,549
Anna_Kournikova_,370,879
Anna_Nicole_Smith_,475,1055
Anne_Krueger_,448,1015
