Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.286,569
Aaron_Sorkin_,117.389,576
Abdel_Nasser_Assidi_,158.806,1571
Abdoulaye_Wade_,195.733,1679
Abdullah_,139.142,1223
Abdullah_Gul_,128.534,914
Abdullah_al-Attiyah_,145.211,1366
Abdullatif_Sener_,131.036,1002
Abel_Pacheco_,135.927,1144
Abid_Hamid_Mahmud_Al-Tikriti_,116.79,555
Adam_Sandler_,115.316,520
Adam_Scott_,160.236,1585
Adel_Al-Jubeir_,148.605,1431
Adolfo_Aguilar_Zinser_,135.528,1135
Adolfo_Rodriguez_Saa_,90.628,88
Adrian_McPherson_,155.083,1521
Adrian_Nastase_,136.948,1166
Adrien_Brody_,110.836,399
Ahmad_Masood_,126.418,848
Ahmed_Chalabi_,110.745,397
Ahmet_Necdet_Sezer_,135.105,1120
Ai_Sugiyama_,135.279,1127
Aicha_El_Ouafi_,151.232,1470
Aitor_Gonzalez_,170.289,1643
Akbar_Hashemi_Rafsanjani_,103.616,252
Akhmed_Zakayev_,125.161,810
Al_Davis_,140.23,1253
Al_Gore_,139.251,1225
Al_Pacino_,136.661,1161
Al_Sharpton_,144.2,1355
Alan_Ball_,123.62,756
Alan_Greenspan_,139.926,1240
Alan_Mulally_,128.882,926
Alastair_Campbell_,103.857,257
Albert_Costa_,168.745,1635
Alberto_Fujimori_,127.436,881
Alberto_Ruiz_Gallardon_,106.317,307
Albrecht_Mentz_,117.7,590
Aldo_Paredes_,148.938,1435
Alec_Baldwin_,136.285,1153
Alejandro_Atchugarry_,120.515,657
Alejandro_Avila_,160.752,1588
Alejandro_Toledo_,130.837,989
Aleksander_Kwasniewski_,117.053,563
Alex_Barros_,109.313,371
Alex_Penelas_,106.857,318
Alex_Sink_,138.297,1201
Alexander_Downer_,98.3908,169
Alexander_Losyukov_,112.954,456
Alexander_Rumyantsev_,112.078,430
Alexandra_Stevenson_,160.331,1586
Alexandra_Vodjanikova_,154.618,1515
Ali_Abbas_,109.486,375
Ali_Khamenei_,122.182,705
Ali_Naimi_,112.339,440
Alice_Fisher_,141.148,1283
Alicia_Silverstone_,129.93,959
Alimzhan_Tokhtakhounov_,117.465,581
Alison_Lohman_,114.441,493
Allen_Iverson_,151.967,1481
Allison_Janney_,131.451,1013
Allyson_Felix_,139.301,1227
Alvaro_Noboa_,111.097,405
Alvaro_Silva_Calderon_,126.836,860
Alvaro_Uribe_,99.7902,189
Amanda_Beard_,112.816,452
Amanda_Bynes_,87.5223,67
Amanda_Coetzer_,140.544,1262
Amber_Tamblyn_,109.011,363
Amelia_Vega_,104.664,272
Amelie_Mauresmo_,123.649,757
Amer_al-Saadi_,114.079,483
Amram_Mitzna_,150.631,1457
Ana_Guevara_,131.961,1035
Ana_Palacio_,101.294,220
Anastasia_Myskina_,156.073,1539
Anders_Ebbeson_,162.86,1604
Anders_Fogh_Rasmussen_,166.944,1629
Andre_Agassi_,150.556,1455
Andrei_Mikhnevich_,144.302,1356
Andrew_Bunner_,111.812,418
Andrew_Cuomo_,119.456,629
Andrew_Niccol_,128.972,929
Andrew_Weissmann_,149.845,1446
Andy_Hebb_,81.6634,35
