Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.933,1019
Aaron_Sorkin_,134.5,1088
Abdel_Nasser_Assidi_,158.804,1567
Abdoulaye_Wade_,196.95,1679
Abdullah_,139.141,1230
Abdullah_Gul_,128.526,912
Abdullah_al-Attiyah_,163.38,1603
Abdullatif_Sener_,131.032,995
Abel_Pacheco_,135.926,1132
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1659
Adam_Sandler_,115.315,522
Adam_Scott_,160.236,1584
Adel_Al-Jubeir_,148.605,1415
Adolfo_Aguilar_Zinser_,135.522,1115
Adolfo_Rodriguez_Saa_,139.618,1239
Adrian_McPherson_,196.332,1678
Adrian_Nastase_,136.947,1159
Adrien_Brody_,110.829,407
Ahmad_Masood_,126.413,836
Ahmed_Chalabi_,111.098,413
Ahmet_Necdet_Sezer_,129.485,951
Ai_Sugiyama_,130.564,984
Aicha_El_Ouafi_,130.814,988
Aitor_Gonzalez_,170.288,1642
Akbar_Hashemi_Rafsanjani_,103.615,258
Akhmed_Zakayev_,115.15,516
Al_Davis_,149.338,1425
Al_Gore_,139.25,1232
Al_Pacino_,136.661,1150
Al_Sharpton_,164.898,1614
Alan_Ball_,123.615,744
Alan_Greenspan_,139.925,1246
Alan_Mulally_,110.26,396
Alastair_Campbell_,129.31,942
Albert_Costa_,168.742,1639
Alberto_Fujimori_,127.431,871
Alberto_Ruiz_Gallardon_,106.308,316
Albrecht_Mentz_,128.809,921
Aldo_Paredes_,113.553,475
Alec_Baldwin_,136.28,1141
Alejandro_Atchugarry_,120.513,652
Alejandro_Avila_,148.379,1411
Alejandro_Toledo_,130.831,989
Aleksander_Kwasniewski_,117.052,566
Alex_Barros_,109.302,379
Alex_Penelas_,106.852,330
Alex_Sink_,138.294,1205
Alexander_Downer_,98.3892,184
Alexander_Losyukov_,140.568,1265
Alexander_Rumyantsev_,112.071,431
Alexandra_Stevenson_,124.353,768
Alexandra_Vodjanikova_,154.617,1510
Ali_Abbas_,109.482,386
Ali_Khamenei_,138.257,1204
Ali_Naimi_,112.333,438
Alice_Fisher_,141.144,1283
Alicia_Silverstone_,129.927,965
Alimzhan_Tokhtakhounov_,117.456,579
Alison_Lohman_,106.471,323
Allen_Iverson_,151.966,1467
Allison_Janney_,131.445,1005
Allyson_Felix_,139.298,1234
Alvaro_Noboa_,154.817,1516
Alvaro_Silva_Calderon_,126.826,849
Alvaro_Uribe_,115.857,538
Amanda_Beard_,112.803,453
Amanda_Bynes_,87.5167,68
Amanda_Coetzer_,140.541,1264
Amber_Tamblyn_,109.009,372
Amelia_Vega_,104.662,275
Amelie_Mauresmo_,123.648,745
Amer_al-Saadi_,114.074,489
Amram_Mitzna_,150.629,1449
Ana_Guevara_,177.764,1661
Ana_Palacio_,63.425,3
Anastasia_Myskina_,156.07,1529
Anders_Ebbeson_,162.859,1597
Anders_Fogh_Rasmussen_,124.884,793
Andre_Agassi_,124.809,790
Andrei_Mikhnevich_,144.299,1346
Andrew_Bunner_,111.806,425
Andrew_Cuomo_,98.6073,188
Andrew_Niccol_,128.966,928
Andrew_Weissmann_,160.891,1588
Andy_Hebb_,81.6557,38
