Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,1014,1530
Aaron_Sorkin_,896,1447
Abdel_Nasser_Assidi_,369,821
Abdoulaye_Wade_,1623,1679
Abdullah_,229,581
Abdullah_Gul_,912,1462
Abdullah_al-Attiyah_,764,1336
Abdullatif_Sener_,967,1499
Abel_Pacheco_,255,628
Abid_Hamid_Mahmud_Al-Tikriti_,138,384
Adam_Sandler_,9,25
Adam_Scott_,586,1145
Adel_Al-Jubeir_,666,1238
Adolfo_Aguilar_Zinser_,489,1012
Adolfo_Rodriguez_Saa_,89,253
Adrian_McPherson_,869,1428
Adrian_Nastase_,803,1371
Adrien_Brody_,240,602
Ahmad_Masood_,1142,1582
Ahmed_Chalabi_,420,894
Ahmet_Necdet_Sezer_,986,1514
Ai_Sugiyama_,598,1159
Aicha_El_Ouafi_,977,1507
Aitor_Gonzalez_,1,1
Akbar_Hashemi_Rafsanjani_,2,4
Akhmed_Zakayev_,388,850
Al_Davis_,582,1140
Al_Gore_,799,1364
Al_Pacino_,34,98
Al_Sharpton_,848,1408
Alan_Ball_,3,7
Alan_Greenspan_,601,1162
Alan_Mulally_,809,1375
Alastair_Campbell_,262,642
Albert_Costa_,95,271
Alberto_Fujimori_,1142,1583
Alberto_Ruiz_Gallardon_,318,737
Albrecht_Mentz_,161,440
Aldo_Paredes_,614,1173
Alec_Baldwin_,711,1283
Alejandro_Atchugarry_,4,10
Alejandro_Avila_,1348,1651
Alejandro_Toledo_,390,852
Aleksander_Kwasniewski_,564,1119
Alex_Barros_,384,843
Alex_Penelas_,30,86
Alex_Sink_,776,1345
Alexander_Downer_,178,479
Alexander_Losyukov_,203,529
Alexander_Rumyantsev_,425,903
Alexandra_Stevenson_,914,1463
Alexandra_Vodjanikova_,667,1239
Ali_Abbas_,389,851
Ali_Khamenei_,702,1273
Ali_Naimi_,450,947
Alice_Fisher_,620,1180
Alicia_Silverstone_,443,935
Alimzhan_Tokhtakhounov_,205,533
Alison_Lohman_,323,746
Allen_Iverson_,200,522
Allison_Janney_,186,495
Allyson_Felix_,1000,1523
Alvaro_Noboa_,5,13
Alvaro_Silva_Calderon_,718,1289
Alvaro_Uribe_,537,1085
Amanda_Beard_,460,966
Amanda_Bynes_,66,189
Amanda_Coetzer_,904,1458
Amber_Tamblyn_,106,304
Amelia_Vega_,159,434
Amelie_Mauresmo_,483,999
Amer_al-Saadi_,184,489
Amram_Mitzna_,6,16
Ana_Guevara_,78,223
Ana_Palacio_,3,8
Anastasia_Myskina_,862,1419
Anders_Ebbeson_,599,1161
Anders_Fogh_Rasmussen_,1442,1666
Andre_Agassi_,899,1452
Andrei_Mikhnevich_,468,977
Andrew_Bunner_,434,920
Andrew_Cuomo_,7,19
Andrew_Niccol_,206,536
Andrew_Weissmann_,8,22
Andy_Hebb_,9,26
Andy_Roddick_,147,408
Angela_Bassett_,693,1265
Angela_Lansbury_,37,106
Angela_Merkel_,52,149
Angelina_Jolie_,472,984
Angelo_Reyes_,89,254
Anibal_Ibarra_,777,1347
Ann_Veneman_,461,967
Anna_Kournikova_,426,906
Anna_Nicole_Smith_,502,1030
Anne_Krueger_,281,672
