Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,573,1146
Aaron_Sorkin_,688,1275
Abdel_Nasser_Assidi_,235,610
Abdoulaye_Wade_,1,1
Abdullah_,57,161
Abdullah_Gul_,886,1450
Abdullah_al-Attiyah_,1085,1556
Abdullatif_Sener_,777,1359
Abel_Pacheco_,241,621
Abid_Hamid_Mahmud_Al-Tikriti_,901,1460
Adam_Sandler_,5,13
Adam_Scott_,1357,1651
Adel_Al-Jubeir_,2,4
Adolfo_Aguilar_Zinser_,561,1133
Adolfo_Rodriguez_Saa_,1072,1551
Adrian_McPherson_,1443,1668
Adrian_Nastase_,845,1413
Adrien_Brody_,606,1177
Ahmad_Masood_,1418,1665
Ahmed_Chalabi_,931,1479
Ahmet_Necdet_Sezer_,3,7
Ai_Sugiyama_,249,640
Aicha_El_Ouafi_,326,783
Aitor_Gonzalez_,900,1459
Akbar_Hashemi_Rafsanjani_,257,653
Akhmed_Zakayev_,4,10
Al_Davis_,5,14
Al_Gore_,1004,1516
Al_Pacino_,34,97
Al_Sharpton_,437,950
Alan_Ball_,732,1319
Alan_Greenspan_,1344,1648
Alan_Mulally_,394,891
Alastair_Campbell_,260,659
Albert_Costa_,1240,1624
Alberto_Fujimori_,6,16
Alberto_Ruiz_Gallardon_,311,756
Albrecht_Mentz_,232,605
Aldo_Paredes_,463,986
Alec_Baldwin_,596,1168
Alejandro_Atchugarry_,228,600
Alejandro_Avila_,7,19
Alejandro_Toledo_,111,308
Aleksander_Kwasniewski_,791,1373
Alex_Barros_,654,1240
Alex_Penelas_,175,477
Alex_Sink_,8,22
Alexander_Downer_,170,468
Alexander_Losyukov_,422,926
Alexander_Rumyantsev_,428,936
Alexandra_Stevenson_,653,1237
Alexandra_Vodjanikova_,885,1449
Ali_Abbas_,9,25
Ali_Khamenei_,685,1274
Ali_Naimi_,126,350
Alice_Fisher_,869,1435
Alicia_Silverstone_,10,28
Alimzhan_Tokhtakhounov_,21,60
Alison_Lohman_,316,762
Allen_Iverson_,11,31
Allison_Janney_,153,422
Allyson_Felix_,1516,1674
Alvaro_Noboa_,406,905
Alvaro_Silva_Calderon_,521,1074
Alvaro_Uribe_,190,515
Amanda_Beard_,12,34
Amanda_Bynes_,64,181
Amanda_Coetzer_,1250,1629
Amber_Tamblyn_,13,36
Amelia_Vega_,274,688
Amelie_Mauresmo_,953,1494
Amer_al-Saadi_,180,491
Amram_Mitzna_,310,753
Ana_Guevara_,139,386
Ana_Palacio_,3,8
Anastasia_Myskina_,794,1377
Anders_Ebbeson_,588,1159
Anders_Fogh_Rasmussen_,10,29
Andre_Agassi_,842,1410
Andrei_Mikhnevich_,998,1513
Andrew_Bunner_,419,922
Andrew_Cuomo_,176,480
Andrew_Niccol_,205,552
Andrew_Weissmann_,396,893
Andy_Hebb_,390,884
Andy_Roddick_,970,1502
Angela_Bassett_,697,1284
Angela_Lansbury_,28,80
Angela_Merkel_,145,400
Angelina_Jolie_,456,975
Angelo_Reyes_,363,846
Anibal_Ibarra_,814,1392
Ann_Veneman_,131,363
Anna_Kournikova_,1313,1642
Anna_Nicole_Smith_,14,39
Anne_Krueger_,523,1079
