Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.276,544
Aaron_Sorkin_,117.379,549
Abdel_Nasser_Assidi_,173.088,1654
Abdoulaye_Wade_,177.811,1666
Abdullah_,139.139,1206
Abdullah_Gul_,106.016,285
Abdullah_al-Attiyah_,139.397,1211
Abdullatif_Sener_,131.022,982
Abel_Pacheco_,137.023,1150
Abid_Hamid_Mahmud_Al-Tikriti_,156.623,1548
Adam_Sandler_,115.314,490
Adam_Scott_,160.235,1580
Adel_Al-Jubeir_,148.604,1425
Adolfo_Aguilar_Zinser_,135.516,1109
Adolfo_Rodriguez_Saa_,139.608,1217
Adrian_McPherson_,196.33,1679
Adrian_Nastase_,136.946,1147
Adrien_Brody_,110.818,383
Ahmad_Masood_,126.408,812
Ahmed_Chalabi_,111.086,390
Ahmet_Necdet_Sezer_,129.481,936
Ai_Sugiyama_,130.551,969
Aicha_El_Ouafi_,151.222,1471
Aitor_Gonzalez_,174.413,1657
Akbar_Hashemi_Rafsanjani_,103.61,244
Akhmed_Zakayev_,128.846,905
Al_Davis_,149.336,1437
Al_Gore_,139.248,1208
Al_Pacino_,136.66,1137
Al_Sharpton_,144.19,1336
Alan_Ball_,123.333,710
Alan_Greenspan_,139.923,1228
Alan_Mulally_,128.869,907
Alastair_Campbell_,129.3,925
Albert_Costa_,168.737,1636
Alberto_Fujimori_,127.425,854
Alberto_Ruiz_Gallardon_,129.842,952
Albrecht_Mentz_,128.808,901
Aldo_Paredes_,148.932,1430
Alec_Baldwin_,136.712,1139
Alejandro_Atchugarry_,120.51,637
Alejandro_Avila_,144.152,1332
Alejandro_Toledo_,130.815,976
Aleksander_Kwasniewski_,138.49,1190
Alex_Barros_,146.772,1386
Alex_Penelas_,106.847,305
Alex_Sink_,149.196,1433
Alexander_Downer_,98.3862,167
Alexander_Losyukov_,140.565,1252
Alexander_Rumyantsev_,105.97,282
Alexandra_Stevenson_,160.324,1581
Alexandra_Vodjanikova_,154.615,1520
Ali_Abbas_,109.477,360
Ali_Khamenei_,138.251,1184
Ali_Naimi_,112.323,413
Alice_Fisher_,141.14,1272
Alicia_Silverstone_,129.92,955
Alimzhan_Tokhtakhounov_,117.439,554
Alison_Lohman_,106.467,296
Allen_Iverson_,151.964,1479
Allison_Janney_,131.433,990
Allyson_Felix_,173.746,1656
Alvaro_Noboa_,154.813,1524
Alvaro_Silva_Calderon_,126.801,828
Alvaro_Uribe_,137.38,1160
Amanda_Beard_,116.514,521
Amanda_Bynes_,87.5054,57
Amanda_Coetzer_,140.537,1250
Amber_Tamblyn_,109.007,349
Amelia_Vega_,104.658,256
Amelie_Mauresmo_,145.085,1349
Amer_al-Saadi_,98.9425,172
Amram_Mitzna_,126.968,832
Ana_Guevara_,177.763,1665
Ana_Palacio_,101.279,203
Anastasia_Myskina_,156.065,1539
Anders_Ebbeson_,162.857,1599
Anders_Fogh_Rasmussen_,166.939,1627
Andre_Agassi_,124.802,754
Andrei_Mikhnevich_,144.295,1337
Andrew_Bunner_,111.797,403
Andrew_Cuomo_,98.6006,169
Andrew_Niccol_,128.959,912
Andrew_Weissmann_,160.889,1585
Andy_Hebb_,110.038,367
