Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,378,868
Aaron_Sorkin_,961,1523
Abdel_Nasser_Assidi_,1,1
Abdoulaye_Wade_,1303,1653
Abdullah_,633,1238
Abdullah_Gul_,295,715
Abdullah_al-Attiyah_,484,1043
Abdullatif_Sener_,1010,1553
Abel_Pacheco_,656,1267
Abid_Hamid_Mahmud_Al-Tikriti_,1156,1607
Adam_Sandler_,133,361
Adam_Scott_,316,756
Adel_Al-Jubeir_,572,1159
Adolfo_Aguilar_Zinser_,159,427
Adolfo_Rodriguez_Saa_,2,4
Adrian_McPherson_,1069,1580
Adrian_Nastase_,194,517
Adrien_Brody_,396,899
Ahmad_Masood_,3,7
Ahmed_Chalabi_,152,407
Ahmet_Necdet_Sezer_,240,608
Ai_Sugiyama_,77,220
Aicha_El_Ouafi_,95,264
Aitor_Gonzalez_,1434,1669
Akbar_Hashemi_Rafsanjani_,249,624
Akhmed_Zakayev_,293,710
Al_Davis_,134,364
Al_Gore_,183,488
Al_Pacino_,26,75
Al_Sharpton_,165,443
Alan_Ball_,743,1367
Alan_Greenspan_,1247,1635
Alan_Mulally_,88,247
Alastair_Campbell_,251,629
Albert_Costa_,267,660
Alberto_Fujimori_,103,287
Alberto_Ruiz_Gallardon_,483,1042
Albrecht_Mentz_,586,1178
Aldo_Paredes_,460,1007
Alec_Baldwin_,213,553
Alejandro_Atchugarry_,663,1277
Alejandro_Avila_,1054,1573
Alejandro_Toledo_,230,585
Aleksander_Kwasniewski_,564,1146
Alex_Barros_,132,359
Alex_Penelas_,16,46
Alex_Sink_,605,1203
Alexander_Downer_,292,709
Alexander_Losyukov_,96,267
Alexander_Rumyantsev_,422,944
Alexandra_Stevenson_,1228,1629
Alexandra_Vodjanikova_,656,1268
Ali_Abbas_,375,862
Ali_Khamenei_,840,1446
Ali_Naimi_,328,779
Alice_Fisher_,171,460
Alicia_Silverstone_,85,242
Alimzhan_Tokhtakhounov_,67,190
Alison_Lohman_,232,591
Allen_Iverson_,498,1066
Allison_Janney_,94,261
Allyson_Felix_,454,997
Alvaro_Noboa_,810,1423
Alvaro_Silva_Calderon_,693,1315
Alvaro_Uribe_,527,1101
Amanda_Beard_,547,1127
Amanda_Bynes_,63,178
Amanda_Coetzer_,782,1404
Amber_Tamblyn_,127,346
Amelia_Vega_,63,179
Amelie_Mauresmo_,740,1363
Amer_al-Saadi_,179,480
Amram_Mitzna_,666,1280
Ana_Guevara_,50,144
Ana_Palacio_,172,463
Anastasia_Myskina_,456,1001
Anders_Ebbeson_,275,677
Anders_Fogh_Rasmussen_,985,1540
Andre_Agassi_,271,668
Andrei_Mikhnevich_,174,469
Andrew_Bunner_,73,208
Andrew_Cuomo_,174,470
Andrew_Niccol_,65,184
Andrew_Weissmann_,404,910
Andy_Hebb_,384,882
Andy_Roddick_,116,318
Angela_Bassett_,747,1370
Angela_Lansbury_,123,334
Angela_Merkel_,32,93
Angelina_Jolie_,451,994
Angelo_Reyes_,335,791
Anibal_Ibarra_,358,830
Ann_Veneman_,311,748
Anna_Kournikova_,967,1529
Anna_Nicole_Smith_,485,1045
Anne_Krueger_,172,464
Anne_McLellan_,273,672
