Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,131.93,1027
Aaron_Sorkin_,134.499,1101
Abdel_Nasser_Assidi_,173.089,1645
Abdoulaye_Wade_,177.813,1661
Abdullah_,139.14,1225
Abdullah_Gul_,128.523,918
Abdullah_al-Attiyah_,145.209,1366
Abdullatif_Sener_,131.028,1002
Abel_Pacheco_,135.925,1138
Abid_Hamid_Mahmud_Al-Tikriti_,177.239,1659
Adam_Sandler_,115.315,512
Adam_Scott_,145.65,1375
Adel_Al-Jubeir_,168.61,1626
Adolfo_Aguilar_Zinser_,135.52,1126
Adolfo_Rodriguez_Saa_,90.6228,82
Adrian_McPherson_,196.332,1679
Adrian_Nastase_,136.947,1162
Adrien_Brody_,124.413,767
Ahmad_Masood_,149.2,1433
Ahmed_Chalabi_,111.094,414
Ahmet_Necdet_Sezer_,129.484,959
Ai_Sugiyama_,135.277,1119
Aicha_El_Ouafi_,151.226,1463
Aitor_Gonzalez_,174.414,1651
Akbar_Hashemi_Rafsanjani_,103.613,252
Akhmed_Zakayev_,128.85,934
Al_Davis_,140.222,1253
Al_Gore_,139.249,1229
Al_Pacino_,136.661,1156
Al_Sharpton_,144.193,1353
Alan_Ball_,123.613,739
Alan_Greenspan_,139.924,1242
Alan_Mulally_,110.257,392
Alastair_Campbell_,129.306,954
Albert_Costa_,168.74,1627
Alberto_Fujimori_,127.428,874
Alberto_Ruiz_Gallardon_,106.301,310
Albrecht_Mentz_,128.809,930
Aldo_Paredes_,113.551,471
Alec_Baldwin_,136.273,1148
Alejandro_Atchugarry_,120.512,651
Alejandro_Avila_,160.75,1580
Alejandro_Toledo_,130.824,994
Aleksander_Kwasniewski_,117.052,559
Alex_Barros_,109.295,375
Alex_Penelas_,106.85,322
Alex_Sink_,118.591,595
Alexander_Downer_,98.3879,176
Alexander_Losyukov_,140.567,1265
Alexander_Rumyantsev_,105.972,299
Alexandra_Stevenson_,160.326,1578
Alexandra_Vodjanikova_,155.27,1522
Ali_Abbas_,109.48,381
Ali_Khamenei_,138.255,1201
Ali_Naimi_,112.329,443
Alice_Fisher_,141.143,1287
Alicia_Silverstone_,129.924,978
Alimzhan_Tokhtakhounov_,117.45,570
Alison_Lohman_,106.469,316
Allen_Iverson_,151.966,1475
Allison_Janney_,131.441,1011
Allyson_Felix_,173.749,1647
Alvaro_Noboa_,111.085,412
Alvaro_Silva_Calderon_,126.816,845
Alvaro_Uribe_,99.7856,190
Amanda_Beard_,116.517,546
Amanda_Bynes_,87.512,61
Amanda_Coetzer_,140.54,1264
Amber_Tamblyn_,109.008,369
Amelia_Vega_,104.661,269
Amelie_Mauresmo_,145.089,1363
Amer_al-Saadi_,98.9465,181
Amram_Mitzna_,126.972,852
Ana_Guevara_,177.764,1660
Ana_Palacio_,63.4203,3
Anastasia_Myskina_,156.068,1533
Anders_Ebbeson_,151.763,1471
Anders_Fogh_Rasmussen_,166.941,1614
Andre_Agassi_,150.553,1450
Andrei_Mikhnevich_,144.297,1354
Andrew_Bunner_,111.802,430
Andrew_Cuomo_,119.449,623
Andrew_Niccol_,128.963,941
Andrew_Weissmann_,147.837,1411
Andy_Hebb_,81.6538,30
