Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,117.289,549
Aaron_Sorkin_,117.392,553
Abdel_Nasser_Assidi_,158.807,1562
Abdoulaye_Wade_,196.951,1679
Abdullah_,160.614,1579
Abdullah_Gul_,106.034,293
Abdullah_al-Attiyah_,139.409,1223
Abdullatif_Sener_,124.887,782
Abel_Pacheco_,135.929,1130
Abid_Hamid_Mahmud_Al-Tikriti_,177.24,1663
Adam_Sandler_,115.316,495
Adam_Scott_,160.237,1576
Adel_Al-Jubeir_,148.606,1421
Adolfo_Aguilar_Zinser_,135.531,1120
Adolfo_Rodriguez_Saa_,139.627,1232
Adrian_McPherson_,196.335,1678
Adrian_Nastase_,136.948,1154
Adrien_Brody_,110.841,384
Ahmad_Masood_,149.203,1427
Ahmed_Chalabi_,111.108,388
Ahmet_Necdet_Sezer_,129.49,949
Ai_Sugiyama_,135.281,1112
Aicha_El_Ouafi_,130.816,988
Aitor_Gonzalez_,170.291,1641
Akbar_Hashemi_Rafsanjani_,103.62,246
Akhmed_Zakayev_,128.86,925
Al_Davis_,149.346,1429
Al_Gore_,83.0058,42
Al_Pacino_,121.674,679
Al_Sharpton_,144.202,1342
Alan_Ball_,123.357,729
Alan_Greenspan_,147.623,1402
Alan_Mulally_,128.886,928
Alastair_Campbell_,129.323,944
Albert_Costa_,168.747,1633
Alberto_Fujimori_,127.44,870
Alberto_Ruiz_Gallardon_,106.327,300
Albrecht_Mentz_,117.705,565
Aldo_Paredes_,148.94,1425
Alec_Baldwin_,136.714,1148
Alejandro_Atchugarry_,120.516,646
Alejandro_Avila_,160.754,1581
Alejandro_Toledo_,130.845,990
Aleksander_Kwasniewski_,138.498,1201
Alex_Barros_,109.32,358
Alex_Penelas_,106.86,310
Alex_Sink_,118.606,591
Alexander_Downer_,105.997,292
Alexander_Losyukov_,140.574,1261
Alexander_Rumyantsev_,112.082,409
Alexandra_Stevenson_,160.334,1577
Alexandra_Vodjanikova_,155.278,1521
Ali_Abbas_,109.489,361
Ali_Khamenei_,122.19,694
Ali_Naimi_,112.343,416
Alice_Fisher_,141.151,1278
Alicia_Silverstone_,129.933,962
Alimzhan_Tokhtakhounov_,117.474,558
Alison_Lohman_,114.444,465
Allen_Iverson_,151.968,1475
Allison_Janney_,131.457,1007
Allyson_Felix_,155.035,1516
Alvaro_Noboa_,111.101,387
Alvaro_Silva_Calderon_,126.845,846
Alvaro_Uribe_,99.7926,191
Amanda_Beard_,112.823,432
Amanda_Bynes_,87.5286,63
Amanda_Coetzer_,124.808,779
Amber_Tamblyn_,109.012,355
Amelia_Vega_,104.666,261
Amelie_Mauresmo_,163.16,1600
Amer_al-Saadi_,98.9554,182
Amram_Mitzna_,150.633,1451
Ana_Guevara_,177.765,1665
Ana_Palacio_,101.299,213
Anastasia_Myskina_,156.075,1532
Anders_Ebbeson_,162.861,1596
Anders_Fogh_Rasmussen_,124.886,780
Andre_Agassi_,150.557,1449
Andrei_Mikhnevich_,132.047,1027
Andrew_Bunner_,111.817,406
Andrew_Cuomo_,98.6148,180
Andrew_Niccol_,100.551,203
Andrew_Weissmann_,160.895,1583
Andy_Hebb_,110.054,367
