Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,559,1120
Aaron_Sorkin_,1053,1569
Abdel_Nasser_Assidi_,746,1346
Abdoulaye_Wade_,306,731
Abdullah_,650,1245
Abdullah_Gul_,302,724
Abdullah_al-Attiyah_,127,346
Abdullatif_Sener_,978,1527
Abel_Pacheco_,397,882
Abid_Hamid_Mahmud_Al-Tikriti_,1302,1653
Adam_Sandler_,282,685
Adam_Scott_,261,647
Adel_Al-Jubeir_,1167,1614
Adolfo_Aguilar_Zinser_,840,1435
Adolfo_Rodriguez_Saa_,652,1248
Adrian_McPherson_,819,1416
Adrian_Nastase_,723,1320
Adrien_Brody_,403,893
Ahmad_Masood_,478,1012
Ahmed_Chalabi_,410,905
Ahmet_Necdet_Sezer_,440,958
Ai_Sugiyama_,509,1056
Aicha_El_Ouafi_,869,1458
Aitor_Gonzalez_,899,1475
Akbar_Hashemi_Rafsanjani_,253,630
Akhmed_Zakayev_,69,194
Al_Davis_,911,1487
Al_Gore_,523,1079
Al_Pacino_,9,25
Al_Sharpton_,1235,1638
Alan_Ball_,551,1112
Alan_Greenspan_,155,415
Alan_Mulally_,314,744
Alastair_Campbell_,293,706
Albert_Costa_,407,898
Alberto_Fujimori_,856,1451
Alberto_Ruiz_Gallardon_,136,368
Albrecht_Mentz_,711,1310
Aldo_Paredes_,465,993
Alec_Baldwin_,59,167
Alejandro_Atchugarry_,642,1232
Alejandro_Avila_,357,814
Alejandro_Toledo_,432,946
Aleksander_Kwasniewski_,395,877
Alex_Barros_,977,1526
Alex_Penelas_,157,420
Alex_Sink_,592,1169
Alexander_Downer_,172,454
Alexander_Losyukov_,218,559
Alexander_Rumyantsev_,300,721
Alexandra_Stevenson_,233,590
Alexandra_Vodjanikova_,897,1474
Ali_Abbas_,84,233
Ali_Khamenei_,331,769
Ali_Naimi_,275,674
Alice_Fisher_,986,1533
Alicia_Silverstone_,110,301
Alimzhan_Tokhtakhounov_,565,1130
Alison_Lohman_,486,1024
Allen_Iverson_,569,1134
Allison_Janney_,527,1083
Allyson_Felix_,413,911
Alvaro_Noboa_,409,902
Alvaro_Silva_Calderon_,319,750
Alvaro_Uribe_,529,1086
Amanda_Beard_,202,524
Amanda_Bynes_,59,168
Amanda_Coetzer_,1183,1620
Amber_Tamblyn_,256,634
Amelia_Vega_,268,661
Amelie_Mauresmo_,738,1335
Amer_al-Saadi_,69,195
Amram_Mitzna_,149,402
Ana_Guevara_,51,147
Ana_Palacio_,212,545
Anastasia_Myskina_,757,1357
Anders_Ebbeson_,773,1377
Anders_Fogh_Rasmussen_,1491,1676
Andre_Agassi_,379,847
Andrei_Mikhnevich_,584,1157
Andrew_Bunner_,1,1
Andrew_Cuomo_,96,267
Andrew_Niccol_,272,668
Andrew_Weissmann_,156,418
Andy_Hebb_,28,81
Andy_Roddick_,330,767
Angela_Bassett_,948,1507
Angela_Lansbury_,294,709
Angela_Merkel_,46,132
Angelina_Jolie_,457,983
Angelo_Reyes_,150,404
Anibal_Ibarra_,693,1291
Ann_Veneman_,215,551
Anna_Kournikova_,664,1256
Anna_Nicole_Smith_,488,1028
Anne_Krueger_,851,1445
