Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,557,1179
Aaron_Sorkin_,734,1353
Abdel_Nasser_Assidi_,108,309
Abdoulaye_Wade_,1,1
Abdullah_,619,1234
Abdullah_Gul_,51,146
Abdullah_al-Attiyah_,2,4
Abdullatif_Sener_,3,7
Abel_Pacheco_,553,1175
Abid_Hamid_Mahmud_Al-Tikriti_,415,974
Adam_Sandler_,511,1121
Adam_Scott_,580,1200
Adel_Al-Jubeir_,1267,1641
Adolfo_Aguilar_Zinser_,4,10
Adolfo_Rodriguez_Saa_,248,662
Adrian_McPherson_,1043,1565
Adrian_Nastase_,449,1031
Adrien_Brody_,103,294
Ahmad_Masood_,5,13
Ahmed_Chalabi_,383,916
Ahmet_Necdet_Sezer_,6,16
Ai_Sugiyama_,751,1368
Aicha_El_Ouafi_,901,1472
Aitor_Gonzalez_,854,1444
Akbar_Hashemi_Rafsanjani_,248,663
Akhmed_Zakayev_,392,932
Al_Davis_,298,763
Al_Gore_,911,1481
Al_Pacino_,679,1302
Al_Sharpton_,416,977
Alan_Ball_,7,19
Alan_Greenspan_,794,1399
Alan_Mulally_,8,22
Alastair_Campbell_,704,1320
Albert_Costa_,803,1409
Alberto_Fujimori_,613,1230
Alberto_Ruiz_Gallardon_,23,66
Albrecht_Mentz_,9,25
Aldo_Paredes_,492,1093
Alec_Baldwin_,252,673
Alejandro_Atchugarry_,639,1258
Alejandro_Avila_,838,1436
Alejandro_Toledo_,1142,1602
Aleksander_Kwasniewski_,10,28
Alex_Barros_,8,23
Alex_Penelas_,318,798
Alex_Sink_,11,31
Alexander_Downer_,745,1364
Alexander_Losyukov_,621,1239
Alexander_Rumyantsev_,12,34
Alexandra_Stevenson_,238,636
Alexandra_Vodjanikova_,92,263
Ali_Abbas_,93,266
Ali_Khamenei_,671,1293
Ali_Naimi_,47,134
Alice_Fisher_,185,515
Alicia_Silverstone_,696,1315
Alimzhan_Tokhtakhounov_,460,1048
Alison_Lohman_,483,1084
Allen_Iverson_,1075,1578
Allison_Janney_,680,1304
Allyson_Felix_,806,1412
Alvaro_Noboa_,391,929
Alvaro_Silva_Calderon_,175,489
Alvaro_Uribe_,178,496
Amanda_Beard_,437,1010
Amanda_Bynes_,65,187
Amanda_Coetzer_,1242,1635
Amber_Tamblyn_,976,1524
Amelia_Vega_,132,372
Amelie_Mauresmo_,234,627
Amer_al-Saadi_,477,1071
Amram_Mitzna_,13,37
Ana_Guevara_,684,1306
Ana_Palacio_,208,567
Anastasia_Myskina_,1178,1612
Anders_Ebbeson_,289,744
Anders_Fogh_Rasmussen_,482,1082
Andre_Agassi_,784,1393
Andrei_Mikhnevich_,673,1297
Andrew_Bunner_,320,802
Andrew_Cuomo_,613,1231
Andrew_Niccol_,934,1496
Andrew_Weissmann_,14,40
Andy_Hebb_,15,43
Andy_Roddick_,123,348
Angela_Bassett_,283,737
Angela_Lansbury_,28,81
Angela_Merkel_,141,399
Angelina_Jolie_,165,463
Angelo_Reyes_,1070,1577
Anibal_Ibarra_,140,396
Ann_Veneman_,211,574
Anna_Kournikova_,862,1451
Anna_Nicole_Smith_,463,1054
Anne_Krueger_,16,45
