Name,Scores,EMD Ranks
,,
,,
Aaron_Peirsol_,136.71,1157
Aaron_Sorkin_,117.389,561
Abdel_Nasser_Assidi_,173.091,1645
Abdoulaye_Wade_,177.818,1660
Abdullah_,139.142,1232
Abdullah_Gul_,128.535,904
Abdullah_al-Attiyah_,139.406,1239
Abdullatif_Sener_,131.035,997
Abel_Pacheco_,135.927,1138
Abid_Hamid_Mahmud_Al-Tikriti_,177.24,1657
Adam_Sandler_,115.316,508
Adam_Scott_,160.236,1576
Adel_Al-Jubeir_,148.606,1418
Adolfo_Aguilar_Zinser_,135.529,1128
Adolfo_Rodriguez_Saa_,139.622,1243
Adrian_McPherson_,196.334,1679
Adrian_Nastase_,141.575,1298
Adrien_Brody_,110.836,380
Ahmad_Masood_,149.202,1427
Ahmed_Chalabi_,110.745,379
Ahmet_Necdet_Sezer_,129.488,942
Ai_Sugiyama_,135.28,1120
Aicha_El_Ouafi_,122.073,682
Aitor_Gonzalez_,170.289,1636
Akbar_Hashemi_Rafsanjani_,103.616,244
Akhmed_Zakayev_,128.857,917
Al_Davis_,140.23,1262
Al_Gore_,139.251,1236
Al_Pacino_,122.297,691
Al_Sharpton_,164.901,1606
Alan_Ball_,123.35,730
Alan_Greenspan_,139.927,1251
Alan_Mulally_,110.266,369
Alastair_Campbell_,129.318,937
Albert_Costa_,168.745,1625
Alberto_Fujimori_,127.436,868
Alberto_Ruiz_Gallardon_,106.316,293
Albrecht_Mentz_,128.81,912
Aldo_Paredes_,148.938,1424
Alec_Baldwin_,136.284,1148
Alejandro_Atchugarry_,120.515,648
Alejandro_Avila_,160.752,1580
Alejandro_Toledo_,130.837,989
Aleksander_Kwasniewski_,138.496,1216
Alex_Barros_,109.312,353
Alex_Penelas_,93.9187,106
Alex_Sink_,138.297,1210
Alexander_Downer_,105.987,283
Alexander_Losyukov_,122.967,719
Alexander_Rumyantsev_,112.078,411
Alexandra_Stevenson_,124.363,769
Alexandra_Vodjanikova_,154.619,1514
Ali_Abbas_,91.2014,84
Ali_Khamenei_,122.181,687
Ali_Naimi_,112.339,420
Alice_Fisher_,141.149,1289
Alicia_Silverstone_,129.93,961
Alimzhan_Tokhtakhounov_,129.631,947
Alison_Lohman_,106.477,298
Allen_Iverson_,142.217,1316
Allison_Janney_,131.451,1005
Allyson_Felix_,173.752,1648
Alvaro_Noboa_,111.098,387
Alvaro_Silva_Calderon_,106.675,302
Alvaro_Uribe_,99.7907,184
Amanda_Beard_,112.818,435
Amanda_Bynes_,87.5223,58
Amanda_Coetzer_,124.807,787
Amber_Tamblyn_,131.554,1008
Amelia_Vega_,104.664,264
Amelie_Mauresmo_,123.649,739
Amer_al-Saadi_,114.08,472
Amram_Mitzna_,126.977,849
Ana_Guevara_,177.765,1659
Ana_Palacio_,101.294,209
Anastasia_Myskina_,121.903,679
Anders_Ebbeson_,162.86,1593
Anders_Fogh_Rasmussen_,124.885,791
Andre_Agassi_,124.812,788
Andrei_Mikhnevich_,144.303,1353
Andrew_Bunner_,111.813,405
Andrew_Cuomo_,98.611,172
Andrew_Niccol_,128.973,921
Andrew_Weissmann_,160.894,1583
Andy_Hebb_,81.6648,34
