Name,Highest Rank,Fused Ranks
,,
,,
Aaron_Peirsol_,553,1158
Aaron_Sorkin_,586,1200
Abdel_Nasser_Assidi_,536,1139
Abdoulaye_Wade_,1037,1574
Abdullah_,16,46
Abdullah_Gul_,286,716
Abdullah_al-Attiyah_,188,492
Abdullatif_Sener_,984,1546
Abel_Pacheco_,373,886
Abid_Hamid_Mahmud_Al-Tikriti_,854,1471
Adam_Sandler_,1056,1583
Adam_Scott_,752,1393
Adel_Al-Jubeir_,185,485
Adolfo_Aguilar_Zinser_,261,660
Adolfo_Rodriguez_Saa_,346,837
Adrian_McPherson_,1465,1669
Adrian_Nastase_,668,1304
Adrien_Brody_,655,1292
Ahmad_Masood_,415,956
Ahmed_Chalabi_,335,819
Ahmet_Necdet_Sezer_,935,1520
Ai_Sugiyama_,636,1266
Aicha_El_Ouafi_,1259,1644
Aitor_Gonzalez_,698,1336
Akbar_Hashemi_Rafsanjani_,588,1204
Akhmed_Zakayev_,92,258
Al_Davis_,571,1178
Al_Gore_,253,642
Al_Pacino_,277,697
Al_Sharpton_,128,343
Alan_Ball_,711,1356
Alan_Greenspan_,517,1112
Alan_Mulally_,374,887
Alastair_Campbell_,244,622
Albert_Costa_,1218,1638
Alberto_Fujimori_,439,1000
Alberto_Ruiz_Gallardon_,292,727
Albrecht_Mentz_,884,1487
Aldo_Paredes_,448,1013
Alec_Baldwin_,733,1381
Alejandro_Atchugarry_,218,559
Alejandro_Avila_,554,1160
Alejandro_Toledo_,235,599
Aleksander_Kwasniewski_,314,771
Alex_Barros_,355,855
Alex_Penelas_,302,747
Alex_Sink_,589,1206
Alexander_Downer_,166,442
Alexander_Losyukov_,353,851
Alexander_Rumyantsev_,1,1
Alexandra_Stevenson_,2,4
Alexandra_Vodjanikova_,455,1024
Ali_Abbas_,290,722
Ali_Khamenei_,450,1017
Ali_Naimi_,419,962
Alice_Fisher_,235,600
Alicia_Silverstone_,278,699
Alimzhan_Tokhtakhounov_,389,911
Alison_Lohman_,469,1043
Allen_Iverson_,600,1217
Allison_Janney_,783,1422
Allyson_Felix_,902,1505
Alvaro_Noboa_,161,430
Alvaro_Silva_Calderon_,299,743
Alvaro_Uribe_,519,1114
Amanda_Beard_,534,1136
Amanda_Bynes_,54,157
Amanda_Coetzer_,641,1269
Amber_Tamblyn_,94,264
Amelia_Vega_,1118,1603
Amelie_Mauresmo_,1347,1658
Amer_al-Saadi_,169,451
Amram_Mitzna_,337,823
Ana_Guevara_,638,1267
Ana_Palacio_,4,10
Anastasia_Myskina_,674,1310
Anders_Ebbeson_,298,742
Anders_Fogh_Rasmussen_,147,393
Andre_Agassi_,736,1383
Andrei_Mikhnevich_,368,876
Andrew_Bunner_,408,946
Andrew_Cuomo_,168,448
Andrew_Niccol_,911,1507
Andrew_Weissmann_,292,728
Andy_Hebb_,371,883
Andy_Roddick_,867,1481
Angela_Bassett_,418,960
Angela_Lansbury_,365,871
Angela_Merkel_,47,137
Angelina_Jolie_,302,748
Angelo_Reyes_,1086,1590
Anibal_Ibarra_,333,813
Ann_Veneman_,300,744
Anna_Kournikova_,180,475
Anna_Nicole_Smith_,472,1047
Anne_Krueger_,490,1077
